Stimulus,Participant,condition,parallel,semantic,RT
ma-ma.01.rtf,P01,ma-ma,2,1,508.4
ma-ma.01.rtf,P02,ma-ma,2,1,454.7
ma-ma.01.rtf,P03,ma-ma,2,1,239.6
ma-ma.01.rtf,P04,ma-ma,2,1,513.4
ma-ma.01.rtf,P05,ma-ma,2,1,327.6
ma-ma.01.rtf,P06,ma-ma,2,1,792.2
ma-ma.01.rtf,P07,ma-ma,2,1,127.2
ma-ma.01.rtf,P08,ma-ma,2,1,865.5
ma-ma.01.rtf,P09,ma-ma,2,1,239.5
ma-ma.01.rtf,P19,ma-ma,2,1,445
ma-ma.01.rtf,P21,ma-ma,2,1,963.4
ma-ma.01.rtf,P27,ma-ma,2,1,337.4
ma-ma.01.rtf,P29,ma-ma,2,1,748.1
ma-ma.01.rtf,P31,ma-ma,2,1,479.2
ma-ma.01.rtf,P33,ma-ma,2,1,695.2
ma-ma.01.rtf,P35,ma-ma,2,1,161.4
ma-ma.01.rtf,P37,ma-ma,2,1,855.7
ma-ma.01.rtf,P10,ma-ma,2,1,709.1
ma-ma.01.rtf,P11,ma-ma,2,1,738.4
ma-ma.01.rtf,P25,ma-ma,2,1,0
ma-ma.01.rtf,P12,ma-ma,2,1,366.8
ma-ma.01.rtf,P13,ma-ma,2,1,948.6
ma-ma.01.rtf,P14,ma-ma,2,1,1007.2
ma-ma.01.rtf,P15,ma-ma,2,1,713.9
ma-ma.01.rtf,P16,ma-ma,2,1,493.9
ma-ma.01.rtf,P18,ma-ma,2,1,298.3
ma-ma.01.rtf,P20,ma-ma,2,1,650.4
ma-ma.01.rtf,P22,ma-ma,2,1,241.9
ma-ma.01.rtf,P26,ma-ma,2,1,503.5
ma-ma.01.rtf,P28,ma-ma,2,1,802
ma-ma.01.rtf,P30,ma-ma,2,1,772.8
ma-ma.01.rtf,P32,ma-ma,2,1,537.9
ma-ma.01.rtf,P34,ma-ma,2,1,195.5
ma-ma.01.rtf,P36,ma-ma,2,1,298.3
ma-ma.02.rtf,P01,ma-ma,2,1,629.4
ma-ma.02.rtf,P03,ma-ma,2,1,640.4
ma-ma.02.rtf,P04,ma-ma,2,1,342.2
ma-ma.02.rtf,P05,ma-ma,2,1,450.3
ma-ma.02.rtf,P06,ma-ma,2,1,762.8
ma-ma.02.rtf,P07,ma-ma,2,1,469.5
ma-ma.02.rtf,P08,ma-ma,2,1,1168.7
ma-ma.02.rtf,P09,ma-ma,2,1,714.1
ma-ma.02.rtf,P19,ma-ma,2,1,791.8
ma-ma.02.rtf,P25,ma-ma,2,1,900.9
ma-ma.02.rtf,P27,ma-ma,2,1,762.9
ma-ma.02.rtf,P29,ma-ma,2,1,1183.1
ma-ma.02.rtf,P31,ma-ma,2,1,337.3
ma-ma.02.rtf,P33,ma-ma,2,1,660.1
ma-ma.02.rtf,P35,ma-ma,2,1,313
ma-ma.03.rtf,P17,ma-ma,2,1,73.4
ma-ma.02.rtf,P37,ma-ma,2,1,601.6
ma-ma.03.rtf,P28,ma-ma,2,1,0
ma-ma.02.rtf,P10,ma-ma,2,1,146.7
ma-ma.02.rtf,P11,ma-ma,2,1,239.8
ma-ma.02.rtf,P13,ma-ma,2,1,1007.5
ma-ma.02.rtf,P16,ma-ma,2,1,361.9
ma-ma.02.rtf,P17,ma-ma,2,1,117.4
ma-ma.02.rtf,P18,ma-ma,2,1,469.5
ma-ma.02.rtf,P20,ma-ma,2,1,640.3
ma-ma.02.rtf,P22,ma-ma,2,1,226.5
ma-ma.02.rtf,P24,ma-ma,2,1,327.3
ma-ma.02.rtf,P26,ma-ma,2,1,931.5
ma-ma.02.rtf,P28,ma-ma,2,1,171.2
ma-ma.02.rtf,P30,ma-ma,2,1,709
ma-ma.02.rtf,P32,ma-ma,2,1,1149
ma-ma.02.rtf,P34,ma-ma,2,1,254.3
ma-ma.02.rtf,P36,ma-ma,2,1,200.5
ma-ma.03.rtf,P01,ma-ma,2,1,301.8
ma-ma.03.rtf,P02,ma-ma,2,1,860.7
ma-ma.03.rtf,P03,ma-ma,2,1,127
ma-ma.03.rtf,P04,ma-ma,2,1,850.7
ma-ma.03.rtf,P05,ma-ma,2,1,136.9
ma-ma.03.rtf,P07,ma-ma,2,1,322.7
ma-ma.03.rtf,P08,ma-ma,2,1,518.4
ma-ma.03.rtf,P09,ma-ma,2,1,684.7
ma-ma.03.rtf,P19,ma-ma,2,1,977.5
ma-ma.03.rtf,P23,ma-ma,2,1,966.5
ma-ma.03.rtf,P25,ma-ma,2,1,352.3
ma-ma.03.rtf,P27,ma-ma,2,1,650.3
ma-ma.03.rtf,P31,ma-ma,2,1,425
ma-ma.03.rtf,P33,ma-ma,2,1,811.8
ma-ma.03.rtf,P35,ma-ma,2,1,797.3
ma-ma.03.rtf,P37,ma-ma,2,1,224.9
ma-ma.03.rtf,P10,ma-ma,2,1,552.5
ma-ma.03.rtf,P12,ma-ma,2,1,1056
ma-ma.03.rtf,P13,ma-ma,2,1,420.5
ma-ma.03.rtf,P14,ma-ma,2,1,689.4
ma-ma.03.rtf,P16,ma-ma,2,1,464.5
ma-ma.03.rtf,P18,ma-ma,2,1,806.8
ma-ma.03.rtf,P20,ma-ma,2,1,837.1
ma-ma.03.rtf,P22,ma-ma,2,1,834.6
ma-ma.03.rtf,P24,ma-ma,2,1,256.7
ma-ma.03.rtf,P26,ma-ma,2,1,750.2
ma-ma.03.rtf,P30,ma-ma,2,1,474.3
ma-ma.03.rtf,P34,ma-ma,2,1,332.6
ma-ma.03.rtf,P36,ma-ma,2,1,328.3
ma-ma.04.rtf,P01,ma-ma,2,1,251.6
ma-ma.04.rtf,P02,ma-ma,2,1,176
ma-ma.04.rtf,P04,ma-ma,2,1,655.8
ma-ma.04.rtf,P05,ma-ma,2,1,195.6
ma-ma.04.rtf,P06,ma-ma,2,1,376.5
ma-ma.04.rtf,P07,ma-ma,2,1,322.6
ma-ma.04.rtf,P08,ma-ma,2,1,161.8
ma-ma.04.rtf,P09,ma-ma,2,1,753.2
ma-ma.04.rtf,P03,ma-ma,2,1,0
ma-ma.04.rtf,P19,ma-ma,2,1,928.9
ma-ma.04.rtf,P25,ma-ma,2,1,201.3
ma-ma.04.rtf,P27,ma-ma,2,1,298.2
ma-ma.04.rtf,P29,ma-ma,2,1,914.6
ma-ma.04.rtf,P33,ma-ma,2,1,200.5
ma-ma.04.rtf,P35,ma-ma,2,1,577.9
ma-ma.04.rtf,P37,ma-ma,2,1,811.7
ma-ma.04.rtf,P10,ma-ma,2,1,357
ma-ma.04.rtf,P11,ma-ma,2,1,156.5
ma-ma.04.rtf,P12,ma-ma,2,1,430.3
ma-ma.04.rtf,P13,ma-ma,2,1,768.4
ma-ma.04.rtf,P14,ma-ma,2,1,1080.8
ma-ma.04.rtf,P15,ma-ma,2,1,552.5
ma-ma.04.rtf,P16,ma-ma,2,1,612.3
ma-ma.04.rtf,P17,ma-ma,2,1,899.8
ma-ma.04.rtf,P31,ma-ma,2,1,0
ma-ma.04.rtf,P18,ma-ma,2,1,503.9
ma-ma.04.rtf,P20,ma-ma,2,1,650.4
ma-ma.04.rtf,P22,ma-ma,2,1,528.6
ma-ma.04.rtf,P24,ma-ma,2,1,1011.8
ma-ma.04.rtf,P26,ma-ma,2,1,563.9
ma-ma.04.rtf,P28,ma-ma,2,1,332.5
ma-ma.04.rtf,P30,ma-ma,2,1,577.6
ma-ma.04.rtf,P32,ma-ma,2,1,591.8
ma-ma.04.rtf,P34,ma-ma,2,1,244.5
ma-ma.05.rtf,P01,ma-ma,2,1,815.3
ma-ma.05.rtf,P02,ma-ma,2,1,205.3
ma-ma.05.rtf,P04,ma-ma,2,1,582.2
ma-ma.05.rtf,P05,ma-ma,2,1,211
ma-ma.05.rtf,P06,ma-ma,2,1,787.8
ma-ma.05.rtf,P07,ma-ma,2,1,709
ma-ma.05.rtf,P08,ma-ma,2,1,357
ma-ma.05.rtf,P09,ma-ma,2,1,964.4
ma-ma.05.rtf,P19,ma-ma,2,1,493.9
ma-ma.05.rtf,P21,ma-ma,2,1,180.9
ma-ma.05.rtf,P25,ma-ma,2,1,694.7
ma-ma.05.rtf,P27,ma-ma,2,1,1066.1
ma-ma.05.rtf,P29,ma-ma,2,1,660.1
ma-ma.05.rtf,P33,ma-ma,2,1,508.4
ma-ma.05.rtf,P35,ma-ma,2,1,840.9
ma-ma.05.rtf,P37,ma-ma,2,1,655.4
ma-ma.05.rtf,P10,ma-ma,2,1,655.3
ma-ma.05.rtf,P11,ma-ma,2,1,606.4
ma-ma.05.rtf,P12,ma-ma,2,1,753.6
ma-ma.05.rtf,P13,ma-ma,2,1,835.8
ma-ma.05.rtf,P15,ma-ma,2,1,880.5
ma-ma.05.rtf,P16,ma-ma,2,1,1046.3
ma-ma.05.rtf,P18,ma-ma,2,1,542.8
ma-ma.05.rtf,P22,ma-ma,2,1,810.2
ma-ma.05.rtf,P24,ma-ma,2,1,453
ma-ma.05.rtf,P26,ma-ma,2,1,241.7
ma-ma.05.rtf,P34,ma-ma,2,1,694.5
ma-ma.04.rtf,P36,ma-ma,2,1,68.5
ma-ma.05.rtf,P36,ma-ma,2,1,826.6
ma-ma.06.rtf,P02,ma-ma,2,1,180.9
ma-ma.06.rtf,P04,ma-ma,2,1,372.6
ma-ma.06.rtf,P05,ma-ma,2,1,620.9
ma-ma.06.rtf,P06,ma-ma,2,1,630.8
ma-ma.06.rtf,P08,ma-ma,2,1,352.1
ma-ma.06.rtf,P09,ma-ma,2,1,973.1
ma-ma.06.rtf,P19,ma-ma,2,1,670.8
ma-ma.06.rtf,P21,ma-ma,2,1,291.9
ma-ma.06.rtf,P25,ma-ma,2,1,1178.2
ma-ma.06.rtf,P27,ma-ma,2,1,522.6
ma-ma.06.rtf,P29,ma-ma,2,1,743.3
ma-ma.06.rtf,P31,ma-ma,2,1,704.4
ma-ma.06.rtf,P33,ma-ma,2,1,229.8
ma-ma.06.rtf,P35,ma-ma,2,1,616.3
ma-ma.06.rtf,P37,ma-ma,2,1,723.7
ma-ma.06.rtf,P10,ma-ma,2,1,635.8
ma-ma.06.rtf,P11,ma-ma,2,1,185.8
ma-ma.06.rtf,P12,ma-ma,2,1,518.4
ma-ma.06.rtf,P13,ma-ma,2,1,807.1
ma-ma.06.rtf,P14,ma-ma,2,1,1114.1
ma-ma.06.rtf,P15,ma-ma,2,1,837
ma-ma.06.rtf,P16,ma-ma,2,1,220.1
ma-ma.06.rtf,P17,ma-ma,2,1,293.4
ma-ma.06.rtf,P18,ma-ma,2,1,616.1
ma-ma.06.rtf,P20,ma-ma,2,1,679.8
ma-ma.06.rtf,P22,ma-ma,2,1,599.2
ma-ma.06.rtf,P24,ma-ma,2,1,241.6
ma-ma.06.rtf,P26,ma-ma,2,1,468.6
ma-ma.06.rtf,P28,ma-ma,2,1,469.3
ma-ma.06.rtf,P34,ma-ma,2,1,547.1
ma-ma.06.rtf,P36,ma-ma,2,1,205.4
ma-ma.07.rtf,P02,ma-ma,2,1,1061.1
ma-ma.07.rtf,P04,ma-ma,2,1,1183.2
ma-ma.07.rtf,P05,ma-ma,2,1,625.9
ma-ma.07.rtf,P06,ma-ma,2,1,503
ma-ma.07.rtf,P07,ma-ma,2,1,166.2
