Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,60
P02,ma-ma.01.rtf,ma-ma,1,0
P03,ma-ma.01.rtf,ma-ma,1,166
P04,ma-ma.01.rtf,ma-ma,1,0
P05,ma-ma.01.rtf,ma-ma,1,0
P06,ma-ma.01.rtf,ma-ma,1,0
P07,ma-ma.01.rtf,ma-ma,1,0
P08,ma-ma.01.rtf,ma-ma,1,53
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,0
P11,ma-ma.01.rtf,ma-ma,1,0
P12,ma-ma.01.rtf,ma-ma,1,0
P13,ma-ma.01.rtf,ma-ma,1,0
P14,ma-ma.01.rtf,ma-ma,1,0
P15,ma-ma.01.rtf,ma-ma,1,0
P16,ma-ma.01.rtf,ma-ma,1,0
P17,ma-ma.01.rtf,ma-ma,1,0
P18,ma-ma.01.rtf,ma-ma,1,0
P19,ma-ma.01.rtf,ma-ma,1,73
P20,ma-ma.01.rtf,ma-ma,1,0
P21,ma-ma.01.rtf,ma-ma,1,195
P22,ma-ma.01.rtf,ma-ma,1,206
P23,ma-ma.01.rtf,ma-ma,1,181
P24,ma-ma.01.rtf,ma-ma,1,0
P25,ma-ma.01.rtf,ma-ma,1,0
P26,ma-ma.01.rtf,ma-ma,1,0
P27,ma-ma.01.rtf,ma-ma,1,0
P28,ma-ma.01.rtf,ma-ma,1,0
P29,ma-ma.01.rtf,ma-ma,1,0
P30,ma-ma.01.rtf,ma-ma,1,0
P31,ma-ma.01.rtf,ma-ma,1,0
P32,ma-ma.01.rtf,ma-ma,1,298
P33,ma-ma.01.rtf,ma-ma,1,0
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,0
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,0
P01,ma-ma.02.rtf,ma-ma,1,70
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,0
P04,ma-ma.02.rtf,ma-ma,1,0
P05,ma-ma.02.rtf,ma-ma,1,132
P06,ma-ma.02.rtf,ma-ma,1,0
P07,ma-ma.02.rtf,ma-ma,1,0
P08,ma-ma.02.rtf,ma-ma,1,440
P09,ma-ma.02.rtf,ma-ma,1,0
P10,ma-ma.02.rtf,ma-ma,1,0
P11,ma-ma.02.rtf,ma-ma,1,0
P12,ma-ma.02.rtf,ma-ma,1,0
P13,ma-ma.02.rtf,ma-ma,1,0
P14,ma-ma.02.rtf,ma-ma,1,699
P15,ma-ma.02.rtf,ma-ma,1,0
P16,ma-ma.02.rtf,ma-ma,1,0
P17,ma-ma.02.rtf,ma-ma,1,0
P18,ma-ma.02.rtf,ma-ma,1,0
P19,ma-ma.02.rtf,ma-ma,1,0
P20,ma-ma.02.rtf,ma-ma,1,0
P21,ma-ma.02.rtf,ma-ma,1,200
P22,ma-ma.02.rtf,ma-ma,1,0
P23,ma-ma.02.rtf,ma-ma,1,0
P24,ma-ma.02.rtf,ma-ma,1,0
P25,ma-ma.02.rtf,ma-ma,1,0
P26,ma-ma.02.rtf,ma-ma,1,0
P27,ma-ma.02.rtf,ma-ma,1,352
P28,ma-ma.02.rtf,ma-ma,1,0
P29,ma-ma.02.rtf,ma-ma,1,0
P30,ma-ma.02.rtf,ma-ma,1,0
P31,ma-ma.02.rtf,ma-ma,1,0
P32,ma-ma.02.rtf,ma-ma,1,0
P33,ma-ma.02.rtf,ma-ma,1,0
P34,ma-ma.02.rtf,ma-ma,1,0
P35,ma-ma.02.rtf,ma-ma,1,0
P36,ma-ma.02.rtf,ma-ma,1,0
P37,ma-ma.02.rtf,ma-ma,1,0
P01,ma-ma.03.rtf,ma-ma,1,432
P02,ma-ma.03.rtf,ma-ma,1,0
P03,ma-ma.03.rtf,ma-ma,1,0
P04,ma-ma.03.rtf,ma-ma,1,127
P05,ma-ma.03.rtf,ma-ma,1,0
P06,ma-ma.03.rtf,ma-ma,1,244
P07,ma-ma.03.rtf,ma-ma,1,0
P08,ma-ma.03.rtf,ma-ma,1,268
P09,ma-ma.03.rtf,ma-ma,1,0
P10,ma-ma.03.rtf,ma-ma,1,0
P11,ma-ma.03.rtf,ma-ma,1,283
P12,ma-ma.03.rtf,ma-ma,1,0
P13,ma-ma.03.rtf,ma-ma,1,0
P14,ma-ma.03.rtf,ma-ma,1,445
P15,ma-ma.03.rtf,ma-ma,1,146
P16,ma-ma.03.rtf,ma-ma,1,0
P17,ma-ma.03.rtf,ma-ma,1,0
P18,ma-ma.03.rtf,ma-ma,1,288
P19,ma-ma.03.rtf,ma-ma,1,0
P20,ma-ma.03.rtf,ma-ma,1,210
P21,ma-ma.03.rtf,ma-ma,1,0
P22,ma-ma.03.rtf,ma-ma,1,236
P23,ma-ma.03.rtf,ma-ma,1,85
P24,ma-ma.03.rtf,ma-ma,1,0
P25,ma-ma.03.rtf,ma-ma,1,870
P26,ma-ma.03.rtf,ma-ma,1,105
P27,ma-ma.03.rtf,ma-ma,1,0
P28,ma-ma.03.rtf,ma-ma,1,0
P29,ma-ma.03.rtf,ma-ma,1,0
P30,ma-ma.03.rtf,ma-ma,1,136
P31,ma-ma.03.rtf,ma-ma,1,0
P32,ma-ma.03.rtf,ma-ma,1,0
P33,ma-ma.03.rtf,ma-ma,1,0
P34,ma-ma.03.rtf,ma-ma,1,0
P35,ma-ma.03.rtf,ma-ma,1,0
P36,ma-ma.03.rtf,ma-ma,1,0
P37,ma-ma.03.rtf,ma-ma,1,0
P01,ma-ma.04.rtf,ma-ma,1,0
P02,ma-ma.04.rtf,ma-ma,1,0
P03,ma-ma.04.rtf,ma-ma,1,83
P04,ma-ma.04.rtf,ma-ma,1,0
P05,ma-ma.04.rtf,ma-ma,1,0
P06,ma-ma.04.rtf,ma-ma,1,0
P07,ma-ma.04.rtf,ma-ma,1,0
P08,ma-ma.04.rtf,ma-ma,1,0
P09,ma-ma.04.rtf,ma-ma,1,308
P10,ma-ma.04.rtf,ma-ma,1,0
P11,ma-ma.04.rtf,ma-ma,1,0
P12,ma-ma.04.rtf,ma-ma,1,0
P13,ma-ma.04.rtf,ma-ma,1,141
P14,ma-ma.04.rtf,ma-ma,1,112
P15,ma-ma.04.rtf,ma-ma,1,0
P16,ma-ma.04.rtf,ma-ma,1,0
P17,ma-ma.04.rtf,ma-ma,1,0
P18,ma-ma.04.rtf,ma-ma,1,0
P19,ma-ma.04.rtf,ma-ma,1,122
P20,ma-ma.04.rtf,ma-ma,1,0
P21,ma-ma.04.rtf,ma-ma,1,176
P22,ma-ma.04.rtf,ma-ma,1,0
P23,ma-ma.04.rtf,ma-ma,1,0
P24,ma-ma.04.rtf,ma-ma,1,0
P25,ma-ma.04.rtf,ma-ma,1,0
