Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,393
P02,ma-ma.01.rtf,ma-ma,1,146
P03,ma-ma.01.rtf,ma-ma,1,0
P04,ma-ma.01.rtf,ma-ma,1,132
P05,ma-ma.01.rtf,ma-ma,1,166
P06,ma-ma.01.rtf,ma-ma,1,171
P07,ma-ma.01.rtf,ma-ma,1,239
P08,ma-ma.01.rtf,ma-ma,1,244
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,142
P11,ma-ma.01.rtf,ma-ma,1,205
P12,ma-ma.01.rtf,ma-ma,1,303
P13,ma-ma.01.rtf,ma-ma,1,229
P14,ma-ma.01.rtf,ma-ma,1,264
P15,ma-ma.01.rtf,ma-ma,1,122
P16,ma-ma.01.rtf,ma-ma,1,234
P17,ma-ma.01.rtf,ma-ma,1,200
P18,ma-ma.01.rtf,ma-ma,1,224
P19,ma-ma.01.rtf,ma-ma,1,117
P20,ma-ma.01.rtf,ma-ma,1,484
P21,ma-ma.01.rtf,ma-ma,1,464
P22,ma-ma.01.rtf,ma-ma,1,226
P23,ma-ma.01.rtf,ma-ma,1,95
P24,ma-ma.01.rtf,ma-ma,1,261
P25,ma-ma.01.rtf,ma-ma,1,135
P26,ma-ma.01.rtf,ma-ma,1,307
P27,ma-ma.01.rtf,ma-ma,1,274
P28,ma-ma.01.rtf,ma-ma,1,190
P29,ma-ma.01.rtf,ma-ma,1,132
P30,ma-ma.01.rtf,ma-ma,1,218
P31,ma-ma.01.rtf,ma-ma,1,195
P32,ma-ma.01.rtf,ma-ma,1,224
P33,ma-ma.01.rtf,ma-ma,1,181
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,303
P36,ma-ma.01.rtf,ma-ma,1,195
P37,ma-ma.01.rtf,ma-ma,1,391
P01,ma-ma.02.rtf,ma-ma,1,216
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,220
P04,ma-ma.02.rtf,ma-ma,1,63
P05,ma-ma.02.rtf,ma-ma,1,200
P06,ma-ma.02.rtf,ma-ma,1,92
P07,ma-ma.02.rtf,ma-ma,1,190
