item,subject,semantic,parallel,condition,RT
ma-ma.01,1,1,2,ma-ma,709.7
ma-ma.01,2,1,2,ma-ma,1021.7
ma-ma.01,3,1,2,ma-ma,107
ma-ma.01,4,1,2,ma-ma,151
ma-ma.01,5,1,2,ma-ma,327
ma-ma.01,7,1,2,ma-ma,127
ma-ma.01,8,1,2,ma-ma,865
ma-ma.01,9,1,2,ma-ma,239
ma-ma.01,10,1,2,ma-ma,396
ma-ma.01,11,1,2,ma-ma,205
ma-ma.01,12,1,2,ma-ma,366
ma-ma.01,13,1,2,ma-ma,870.3
ma-ma.01,14,1,2,ma-ma,469
ma-ma.01,15,1,2,ma-ma,249
ma-ma.01,16,1,2,ma-ma,733.5
ma-ma.01,18,1,2,ma-ma,298
ma-ma.01,19,1,2,ma-ma,185
ma-ma.01,20,1,2,ma-ma,650
ma-ma.01,21,1,2,ma-ma,479
ma-ma.01,22,1,2,ma-ma,241
ma-ma.01,23,1,2,ma-ma,377
ma-ma.01,24,1,2,ma-ma,740
ma-ma.01,25,1,2,ma-ma,0
ma-ma.01,26,1,2,ma-ma,146
ma-ma.01,27,1,2,ma-ma,337
ma-ma.01,28,1,2,ma-ma,420
ma-ma.01,29,1,2,ma-ma,914.7
ma-ma.01,30,1,2,ma-ma,440
ma-ma.01,32,1,2,ma-ma,537
ma-ma.01,33,1,2,ma-ma,425
ma-ma.01,34,1,2,ma-ma,195
ma-ma.01,35,1,2,ma-ma,161
ma-ma.01,36,1,2,ma-ma,298
ma-ma.01,37,1,2,ma-ma,772
ma-ma.02,1,1,2,ma-ma,191
ma-ma.02,2,1,2,ma-ma,415
ma-ma.02,3,1,2,ma-ma,327
ma-ma.02,4,1,2,ma-ma,175
ma-ma.02,5,1,2,ma-ma,215
ma-ma.02,6,1,2,ma-ma,298
ma-ma.02,7,1,2,ma-ma,122
ma-ma.02,8,1,2,ma-ma,185
ma-ma.02,9,1,2,ma-ma,454
ma-ma.02,10,1,2,ma-ma,146
ma-ma.02,11,1,2,ma-ma,239
ma-ma.02,12,1,2,ma-ma,156
ma-ma.02,13,1,2,ma-ma,1188.4
ma-ma.02,14,1,2,ma-ma,264
ma-ma.02,15,1,2,ma-ma,958.5
ma-ma.02,16,1,2,ma-ma,484.1
ma-ma.02,17,1,2,ma-ma,117
ma-ma.02,18,1,2,ma-ma,469
ma-ma.02,20,1,2,ma-ma,640
ma-ma.02,21,1,2,ma-ma,327
ma-ma.02,22,1,2,ma-ma,226
ma-ma.02,24,1,2,ma-ma,130
ma-ma.02,25,1,2,ma-ma,659.4
ma-ma.02,26,1,2,ma-ma,317
ma-ma.02,27,1,2,ma-ma,567
ma-ma.02,28,1,2,ma-ma,93
ma-ma.02,29,1,2,ma-ma,376
ma-ma.02,30,1,2,ma-ma,195
ma-ma.02,31,1,2,ma-ma,141
ma-ma.02,32,1,2,ma-ma,352
ma-ma.02,33,1,2,ma-ma,224
ma-ma.02,34,1,2,ma-ma,166
ma-ma.02,35,1,2,ma-ma,313
ma-ma.02,36,1,2,ma-ma,405.9
ma-ma.02,37,1,2,ma-ma,635.7
ma-ma.03,1,1,2,ma-ma,100
ma-ma.03,2,1,2,ma-ma,410.7
ma-ma.03,3,1,2,ma-ma,127
ma-ma.03,5,1,2,ma-ma,136
ma-ma.03,6,1,2,ma-ma,1022
ma-ma.03,7,1,2,ma-ma,322
ma-ma.03,8,1,2,ma-ma,205
ma-ma.03,9,1,2,ma-ma,528
ma-ma.03,10,1,2,ma-ma,518.3
ma-ma.03,11,1,2,ma-ma,1095
ma-ma.03,12,1,2,ma-ma,106
ma-ma.03,15,1,2,ma-ma,1061.2
ma-ma.03,16,1,2,ma-ma,420.6
ma-ma.03,17,1,2,ma-ma,73
ma-ma.03,18,1,2,ma-ma,581
ma-ma.03,19,1,2,ma-ma,161
ma-ma.03,20,1,2,ma-ma,166
ma-ma.03,21,1,2,ma-ma,78
ma-ma.03,22,1,2,ma-ma,351
ma-ma.03,24,1,2,ma-ma,120
ma-ma.03,25,1,2,ma-ma,352
ma-ma.03,26,1,2,ma-ma,317
ma-ma.03,27,1,2,ma-ma,303
ma-ma.03,28,1,2,ma-ma,0
ma-ma.03,29,1,2,ma-ma,695.6
ma-ma.03,30,1,2,ma-ma,195
ma-ma.03,31,1,2,ma-ma,630.4
ma-ma.03,32,1,2,ma-ma,1198.2
ma-ma.03,33,1,2,ma-ma,146
ma-ma.03,34,1,2,ma-ma,166
ma-ma.03,35,1,2,ma-ma,117
ma-ma.03,36,1,2,ma-ma,146
ma-ma.03,37,1,2,ma-ma,224
ma-ma.04,1,1,2,ma-ma,251
ma-ma.04,2,1,2,ma-ma,176
ma-ma.04,3,1,2,ma-ma,0
ma-ma.04,4,1,2,ma-ma,871
ma-ma.04,5,1,2,ma-ma,195
ma-ma.04,6,1,2,ma-ma,376
ma-ma.04,7,1,2,ma-ma,146
ma-ma.04,8,1,2,ma-ma,161
ma-ma.04,9,1,2,ma-ma,396
ma-ma.04,10,1,2,ma-ma,357
ma-ma.04,11,1,2,ma-ma,156
ma-ma.04,12,1,2,ma-ma,171
ma-ma.04,14,1,2,ma-ma,210
ma-ma.04,15,1,2,ma-ma,112
ma-ma.04,16,1,2,ma-ma,352
ma-ma.04,17,1,2,ma-ma,327
ma-ma.04,18,1,2,ma-ma,283
ma-ma.04,19,1,2,ma-ma,317
ma-ma.04,20,1,2,ma-ma,327.6
ma-ma.04,21,1,2,ma-ma,430
ma-ma.04,22,1,2,ma-ma,322
ma-ma.04,23,1,2,ma-ma,302
ma-ma.04,24,1,2,ma-ma,750
ma-ma.04,25,1,2,ma-ma,201
ma-ma.04,26,1,2,ma-ma,387
ma-ma.04,27,1,2,ma-ma,508.5
ma-ma.04,28,1,2,ma-ma,332
ma-ma.04,29,1,2,ma-ma,831.4
ma-ma.04,30,1,2,ma-ma,220
ma-ma.04,31,1,2,ma-ma,0
ma-ma.04,32,1,2,ma-ma,591
ma-ma.04,33,1,2,ma-ma,200
ma-ma.04,34,1,2,ma-ma,244
ma-ma.04,35,1,2,ma-ma,431.1
ma-ma.04,36,1,2,ma-ma,68
ma-ma.04,37,1,2,ma-ma,831.2
ma-ma.05,1,1,2,ma-ma,201
ma-ma.05,2,1,2,ma-ma,205.3
ma-ma.05,3,1,2,ma-ma,54
ma-ma.05,4,1,2,ma-ma,210
ma-ma.05,5,1,2,ma-ma,211
ma-ma.05,6,1,2,ma-ma,264
ma-ma.05,7,1,2,ma-ma,264
ma-ma.05,8,1,2,ma-ma,357
ma-ma.05,9,1,2,ma-ma,190
ma-ma.05,10,1,2,ma-ma,806.9
ma-ma.05,11,1,2,ma-ma,283
ma-ma.05,12,1,2,ma-ma,132
ma-ma.05,13,1,2,ma-ma,146
ma-ma.05,14,1,2,ma-ma,479
ma-ma.05,15,1,2,ma-ma,83
ma-ma.05,16,1,2,ma-ma,1002.3
ma-ma.05,17,1,2,ma-ma,425
ma-ma.05,18,1,2,ma-ma,386
ma-ma.05,19,1,2,ma-ma,156
ma-ma.05,20,1,2,ma-ma,748
ma-ma.05,21,1,2,ma-ma,180
ma-ma.05,22,1,2,ma-ma,337
ma-ma.05,24,1,2,ma-ma,156
ma-ma.05,25,1,2,ma-ma,377
ma-ma.05,26,1,2,ma-ma,241
ma-ma.05,27,1,2,ma-ma,1075.8
ma-ma.05,28,1,2,ma-ma,73
ma-ma.05,29,1,2,ma-ma,797
ma-ma.05,30,1,2,ma-ma,180
ma-ma.05,31,1,2,ma-ma,806.8
ma-ma.05,32,1,2,ma-ma,542
ma-ma.05,33,1,2,ma-ma,215
ma-ma.05,34,1,2,ma-ma,313
ma-ma.05,35,1,2,ma-ma,249
ma-ma.05,36,1,2,ma-ma,631
ma-ma.05,37,1,2,ma-ma,357
ma-ma.06,1,1,2,ma-ma,50
ma-ma.06,2,1,2,ma-ma,180
ma-ma.06,3,1,2,ma-ma,0
ma-ma.06,4,1,2,ma-ma,239
ma-ma.06,5,1,2,ma-ma,215
ma-ma.06,6,1,2,ma-ma,205
ma-ma.06,7,1,2,ma-ma,264
ma-ma.06,8,1,2,ma-ma,352
ma-ma.06,9,1,2,ma-ma,440
ma-ma.06,10,1,2,ma-ma,635
ma-ma.06,11,1,2,ma-ma,185
ma-ma.06,13,1,2,ma-ma,1130
ma-ma.06,14,1,2,ma-ma,273
ma-ma.06,15,1,2,ma-ma,454.8
ma-ma.06,16,1,2,ma-ma,220
ma-ma.06,17,1,2,ma-ma,361.8
ma-ma.06,18,1,2,ma-ma,1031.6
ma-ma.06,19,1,2,ma-ma,68
ma-ma.06,21,1,2,ma-ma,174
ma-ma.06,22,1,2,ma-ma,755.1
ma-ma.06,23,1,2,ma-ma,427
ma-ma.06,24,1,2,ma-ma,417.8
ma-ma.06,25,1,2,ma-ma,297
ma-ma.06,26,1,2,ma-ma,1052.5
ma-ma.06,27,1,2,ma-ma,253
ma-ma.06,28,1,2,ma-ma,514.1
ma-ma.06,29,1,2,ma-ma,122
ma-ma.06,30,1,2,ma-ma,293.3
ma-ma.06,31,1,2,ma-ma,264
ma-ma.06,33,1,2,ma-ma,229
ma-ma.06,34,1,2,ma-ma,532.3
ma-ma.06,35,1,2,ma-ma,675.1
ma-ma.06,36,1,2,ma-ma,205
ma-ma.06,37,1,2,ma-ma,728.6
ma-ma.07,1,1,2,ma-ma,367
ma-ma.07,2,1,2,ma-ma,635
ma-ma.07,3,1,2,ma-ma,63
ma-ma.07,4,1,2,ma-ma,987
ma-ma.07,5,1,2,ma-ma,474
