item,subject,condition,semantic,RT
ma-ma.05,12,ma-ma,1,371
ma-ma.05,13,ma-ma,1,176
ma-ma.05,14,ma-ma,1,753.1
ma-ma.05,15,ma-ma,1,547
ma-ma.05,16,ma-ma,1,274
ma-ma.05,17,ma-ma,1,132
ma-ma.05,18,ma-ma,1,484
ma-ma.05,19,ma-ma,1,215
ma-ma.05,20,ma-ma,1,713
ma-ma.05,21,ma-ma,1,640
ma-ma.05,22,ma-ma,1,593
ma-ma.05,23,ma-ma,1,136
ma-ma.05,24,ma-ma,1,382
ma-ma.05,25,ma-ma,1,246
ma-ma.05,26,ma-ma,1,110
ma-ma.05,27,ma-ma,1,357
ma-ma.05,28,ma-ma,1,714.1
ma-ma.05,29,ma-ma,1,675.8
ma-ma.05,30,ma-ma,1,161
ma-ma.05,31,ma-ma,1,352
ma-ma.05,32,ma-ma,1,586
ma-ma.05,33,ma-ma,1,303
ma-ma.05,34,ma-ma,1,381
ma-ma.05,35,ma-ma,1,767.6
ma-ma.05,36,ma-ma,1,171
ma-ma.05,37,ma-ma,1,475
ma-ma.06,1,ma-ma,1,392
ma-ma.06,2,ma-ma,1,132.1
ma-ma.06,3,ma-ma,1,63
ma-ma.06,4,ma-ma,1,244
ma-ma.06,5,ma-ma,1,938.7
ma-ma.06,6,ma-ma,1,161
ma-ma.06,7,ma-ma,1,127
ma-ma.06,8,ma-ma,1,352
ma-ma.06,9,ma-ma,1,767.8
ma-ma.06,10,ma-ma,1,181
ma-ma.06,11,ma-ma,1,430
ma-ma.06,12,ma-ma,1,293
ma-ma.06,13,ma-ma,1,200
ma-ma.06,14,ma-ma,1,949
ma-ma.06,15,ma-ma,1,694.5
ma-ma.06,16,ma-ma,1,356
ma-ma.06,17,ma-ma,1,161
ma-ma.06,18,ma-ma,1,88
ma-ma.06,19,ma-ma,1,132
ma-ma.06,20,ma-ma,1,503
ma-ma.06,21,ma-ma,1,557
ma-ma.06,22,ma-ma,1,241
ma-ma.06,23,ma-ma,1,251
ma-ma.06,24,ma-ma,1,186
ma-ma.06,25,ma-ma,1,1022.1
ma-ma.06,26,ma-ma,1,468
ma-ma.06,27,ma-ma,1,249
ma-ma.06,28,ma-ma,1,1041.7
ma-ma.06,29,ma-ma,1,151
ma-ma.06,30,ma-ma,1,371
ma-ma.06,31,ma-ma,1,249
ma-ma.06,32,ma-ma,1,479
ma-ma.06,33,ma-ma,1,381
ma-ma.06,34,ma-ma,1,196
ma-ma.06,35,ma-ma,1,459
ma-ma.06,36,ma-ma,1,78
ma-ma.07,1,ma-ma,1,518
ma-ma.07,2,ma-ma,1,327
ma-ma.07,3,ma-ma,1,303
ma-ma.07,4,ma-ma,1,63
ma-ma.07,5,ma-ma,1,151
ma-ma.07,6,ma-ma,1,1047.4
ma-ma.07,7,ma-ma,1,528
ma-ma.07,8,ma-ma,1,161
ma-ma.07,9,ma-ma,1,176
ma-ma.07,10,ma-ma,1,665
ma-ma.07,11,ma-ma,1,308
ma-ma.07,12,ma-ma,1,78
ma-ma.07,13,ma-ma,1,704.2
ma-ma.07,14,ma-ma,1,807.6
ma-ma.07,15,ma-ma,1,225
ma-ma.07,16,ma-ma,1,322
ma-ma.07,17,ma-ma,1,132
ma-ma.07,18,ma-ma,1,396
ma-ma.07,19,ma-ma,1,151
ma-ma.07,20,ma-ma,1,122
ma-ma.07,21,ma-ma,1,699
ma-ma.07,22,ma-ma,1,493
ma-ma.07,23,ma-ma,1,342
ma-ma.07,24,ma-ma,1,181
ma-ma.07,25,ma-ma,1,156
ma-ma.07,26,ma-ma,1,448.1
ma-ma.07,27,ma-ma,1,146
ma-ma.07,28,ma-ma,1,493
ma-ma.07,29,ma-ma,1,215.1
ma-ma.07,30,ma-ma,1,190
ma-ma.07,31,ma-ma,1,141
ma-ma.07,32,ma-ma,1,342
ma-ma.07,33,ma-ma,1,137
ma-ma.07,34,ma-ma,1,176
ma-ma.07,35,ma-ma,1,229
ma-ma.07,36,ma-ma,1,200
ma-ma.07,37,ma-ma,1,288
ma-ma.08,1,ma-ma,1,206
ma-ma.08,2,ma-ma,1,425
ma-ma.08,3,ma-ma,1,83
ma-ma.08,4,ma-ma,1,0
ma-ma.08,5,ma-ma,1,210
ma-ma.08,6,ma-ma,1,93
ma-ma.08,7,ma-ma,1,0
ma-ma.08,8,ma-ma,1,347
ma-ma.08,9,ma-ma,1,249
ma-ma.08,10,ma-ma,1,219
ma-ma.08,11,ma-ma,1,361
ma-ma.08,12,ma-ma,1,171
ma-ma.08,13,ma-ma,1,73
ma-ma.08,14,ma-ma,1,612.1
ma-ma.08,15,ma-ma,1,234
ma-ma.08,16,ma-ma,1,533
ma-ma.08,17,ma-ma,1,107
ma-ma.08,18,ma-ma,1,92
ma-ma.08,19,ma-ma,1,342
ma-ma.08,20,ma-ma,1,406
ma-ma.08,21,ma-ma,1,220
ma-ma.08,22,ma-ma,1,246
ma-ma.08,24,ma-ma,1,764.4
ma-ma.08,25,ma-ma,1,307
ma-ma.08,26,ma-ma,1,95
ma-ma.08,27,ma-ma,1,210
ma-ma.08,28,ma-ma,1,229
ma-ma.08,29,ma-ma,1,518
ma-ma.08,30,ma-ma,1,156
ma-ma.08,31,ma-ma,1,357
ma-ma.08,32,ma-ma,1,1096.4
ma-ma.08,33,ma-ma,1,577
ma-ma.08,34,ma-ma,1,166
ma-ma.08,35,ma-ma,1,117
ma-ma.08,36,ma-ma,1,190
ma-ma.08,37,ma-ma,1,171
ma-ma.09,1,ma-ma,1,498
ma-ma.09,2,ma-ma,1,210
ma-ma.09,3,ma-ma,1,137
ma-ma.09,4,ma-ma,1,606
ma-ma.09,5,ma-ma,1,540
ma-ma.09,6,ma-ma,1,513
ma-ma.09,7,ma-ma,1,0
ma-ma.09,8,ma-ma,1,229
ma-ma.09,9,ma-ma,1,894.8
ma-ma.09,10,ma-ma,1,308
ma-ma.09,19,ma-ma,1,396
ma-ma.09,21,ma-ma,1,288
ma-ma.09,23,ma-ma,1,589
ma-ma.09,25,ma-ma,1,468
ma-ma.09,27,ma-ma,1,312
ma-ma.09,29,ma-ma,1,777
ma-ma.09,31,ma-ma,1,256
ma-ma.09,33,ma-ma,1,518
ma-ma.09,35,ma-ma,1,493
ma-ma.09,37,ma-ma,1,141
ma-ma.10,1,ma-ma,1,765
ma-ma.10,2,ma-ma,1,511.6
ma-ma.10,3,ma-ma,1,73
ma-ma.10,4,ma-ma,1,420
ma-ma.10,5,ma-ma,1,298
ma-ma.10,6,ma-ma,1,958.5
ma-ma.10,7,ma-ma,1,127
ma-ma.10,8,ma-ma,1,297
ma-ma.10,9,ma-ma,1,220
ma-ma.10,10,ma-ma,1,137
ma-ma.10,11,ma-ma,1,298
ma-ma.10,12,ma-ma,1,0
ma-ma.10,13,ma-ma,1,670
ma-ma.10,14,ma-ma,1,479
ma-ma.10,15,ma-ma,1,112
ma-ma.10,16,ma-ma,1,230
ma-ma.10,17,ma-ma,1,68
ma-ma.10,18,ma-ma,1,136
ma-ma.10,19,ma-ma,1,249
ma-ma.10,20,ma-ma,1,474
