item,subject,semantic,parallel,condition,RT
ma-ma.01,1,1,2,ma-ma,246
ma-ma.01,2,1,2,ma-ma,171.1
ma-ma.01,3,1,2,ma-ma,0
ma-ma.01,4,1,2,ma-ma,176
ma-ma.01,5,1,2,ma-ma,249
ma-ma.01,6,1,2,ma-ma,210
ma-ma.01,7,1,2,ma-ma,327
ma-ma.01,8,1,2,ma-ma,190
ma-ma.01,9,1,2,ma-ma,264
ma-ma.01,10,1,2,ma-ma,0
ma-ma.01,11,1,2,ma-ma,136
ma-ma.01,12,1,2,ma-ma,929
ma-ma.01,13,1,2,ma-ma,146
ma-ma.01,14,1,2,ma-ma,278
ma-ma.01,15,1,2,ma-ma,366
ma-ma.01,16,1,2,ma-ma,132
ma-ma.01,17,1,2,ma-ma,445
ma-ma.01,18,1,2,ma-ma,273
ma-ma.01,19,1,2,ma-ma,127
ma-ma.01,20,1,2,ma-ma,259
ma-ma.01,21,1,2,ma-ma,668
ma-ma.01,22,1,2,ma-ma,261
ma-ma.01,23,1,2,ma-ma,553
ma-ma.01,24,1,2,ma-ma,161
ma-ma.01,25,1,2,ma-ma,261
ma-ma.01,26,1,2,ma-ma,211
ma-ma.01,27,1,2,ma-ma,215
ma-ma.01,28,1,2,ma-ma,92
ma-ma.01,29,1,2,ma-ma,313
ma-ma.01,30,1,2,ma-ma,215
ma-ma.01,31,1,2,ma-ma,361
ma-ma.01,32,1,2,ma-ma,107
ma-ma.01,33,1,2,ma-ma,0
ma-ma.01,34,1,2,ma-ma,210
ma-ma.01,35,1,2,ma-ma,78
ma-ma.01,36,1,2,ma-ma,0
ma-ma.01,37,1,2,ma-ma,317
ma-ma.02,1,1,2,ma-ma,246
ma-ma.02,2,1,2,ma-ma,1022
ma-ma.02,3,1,2,ma-ma,58
ma-ma.02,4,1,2,ma-ma,68
ma-ma.02,5,1,2,ma-ma,293
ma-ma.02,6,1,2,ma-ma,377
ma-ma.02,7,1,2,ma-ma,484
ma-ma.02,8,1,2,ma-ma,449
ma-ma.02,9,1,2,ma-ma,317
ma-ma.02,10,1,2,ma-ma,376
ma-ma.02,11,1,2,ma-ma,410
ma-ma.02,12,1,2,ma-ma,435
ma-ma.02,13,1,2,ma-ma,185
ma-ma.02,14,1,2,ma-ma,83
ma-ma.02,16,1,2,ma-ma,58
ma-ma.02,17,1,2,ma-ma,176
ma-ma.02,18,1,2,ma-ma,0
ma-ma.02,19,1,2,ma-ma,88
ma-ma.02,20,1,2,ma-ma,293
ma-ma.02,21,1,2,ma-ma,405
ma-ma.02,22,1,2,ma-ma,125
ma-ma.02,23,1,2,ma-ma,226
ma-ma.02,24,1,2,ma-ma,210
ma-ma.02,25,1,2,ma-ma,282
ma-ma.02,26,1,2,ma-ma,246
ma-ma.02,27,1,2,ma-ma,0
ma-ma.02,28,1,2,ma-ma,152
ma-ma.02,29,1,2,ma-ma,92
ma-ma.02,30,1,2,ma-ma,210
ma-ma.02,31,1,2,ma-ma,88
ma-ma.02,32,1,2,ma-ma,171
ma-ma.02,33,1,2,ma-ma,0
ma-ma.02,34,1,2,ma-ma,445
ma-ma.02,35,1,2,ma-ma,88
ma-ma.02,36,1,2,ma-ma,205
ma-ma.02,37,1,2,ma-ma,469
ma-ma.03,1,1,2,ma-ma,473
ma-ma.03,2,1,2,ma-ma,229.8
ma-ma.03,3,1,2,ma-ma,83
ma-ma.03,4,1,2,ma-ma,440.1
ma-ma.03,5,1,2,ma-ma,449
ma-ma.03,6,1,2,ma-ma,126
ma-ma.03,7,1,2,ma-ma,312
ma-ma.03,8,1,2,ma-ma,391
ma-ma.03,9,1,2,ma-ma,0
ma-ma.03,10,1,2,ma-ma,151
ma-ma.03,11,1,2,ma-ma,640
ma-ma.03,12,1,2,ma-ma,176
ma-ma.03,13,1,2,ma-ma,166
ma-ma.03,14,1,2,ma-ma,185
ma-ma.03,15,1,2,ma-ma,190
ma-ma.03,16,1,2,ma-ma,151
ma-ma.03,17,1,2,ma-ma,0
ma-ma.03,18,1,2,ma-ma,264
ma-ma.03,19,1,2,ma-ma,303
ma-ma.03,20,1,2,ma-ma,136
ma-ma.03,21,1,2,ma-ma,205
ma-ma.03,22,1,2,ma-ma,412
ma-ma.03,23,1,2,ma-ma,950.9
ma-ma.03,24,1,2,ma-ma,568
ma-ma.03,26,1,2,ma-ma,115
ma-ma.03,27,1,2,ma-ma,122
ma-ma.03,28,1,2,ma-ma,112
ma-ma.03,29,1,2,ma-ma,131
ma-ma.03,30,1,2,ma-ma,846
ma-ma.03,31,1,2,ma-ma,127
ma-ma.03,32,1,2,ma-ma,298
ma-ma.03,33,1,2,ma-ma,0
ma-ma.03,34,1,2,ma-ma,244
ma-ma.03,35,1,2,ma-ma,92
ma-ma.03,36,1,2,ma-ma,0
ma-ma.03,37,1,2,ma-ma,396
ma-ma.04,1,1,2,ma-ma,307
ma-ma.04,2,1,2,ma-ma,225
ma-ma.04,3,1,2,ma-ma,0
ma-ma.04,4,1,2,ma-ma,366
ma-ma.04,5,1,2,ma-ma,220
ma-ma.04,7,1,2,ma-ma,269
ma-ma.04,8,1,2,ma-ma,391
ma-ma.04,9,1,2,ma-ma,122
ma-ma.04,10,1,2,ma-ma,308
ma-ma.04,11,1,2,ma-ma,542
ma-ma.04,12,1,2,ma-ma,195
ma-ma.04,13,1,2,ma-ma,699
ma-ma.04,14,1,2,ma-ma,293
ma-ma.04,15,1,2,ma-ma,322
ma-ma.04,16,1,2,ma-ma,224
ma-ma.04,17,1,2,ma-ma,141
ma-ma.04,18,1,2,ma-ma,322
ma-ma.04,19,1,2,ma-ma,200
ma-ma.04,20,1,2,ma-ma,180
ma-ma.04,21,1,2,ma-ma,259
ma-ma.04,22,1,2,ma-ma,367
ma-ma.04,23,1,2,ma-ma,558
ma-ma.04,24,1,2,ma-ma,281
ma-ma.04,25,1,2,ma-ma,216
ma-ma.04,26,1,2,ma-ma,266
ma-ma.04,27,1,2,ma-ma,112
ma-ma.04,28,1,2,ma-ma,303
ma-ma.04,29,1,2,ma-ma,141
ma-ma.04,30,1,2,ma-ma,146
ma-ma.04,31,1,2,ma-ma,533
ma-ma.04,32,1,2,ma-ma,254
ma-ma.04,33,1,2,ma-ma,210
ma-ma.04,34,1,2,ma-ma,244
ma-ma.04,35,1,2,ma-ma,112
ma-ma.04,36,1,2,ma-ma,191
ma-ma.04,37,1,2,ma-ma,97
ma-ma.05,1,1,2,ma-ma,105
ma-ma.05,2,1,2,ma-ma,244.6
ma-ma.05,3,1,2,ma-ma,58
ma-ma.05,4,1,2,ma-ma,430
ma-ma.05,5,1,2,ma-ma,264
ma-ma.05,7,1,2,ma-ma,313
ma-ma.05,9,1,2,ma-ma,132
ma-ma.05,10,1,2,ma-ma,298
ma-ma.05,11,1,2,ma-ma,278
ma-ma.05,13,1,2,ma-ma,283
ma-ma.05,14,1,2,ma-ma,313
ma-ma.05,15,1,2,ma-ma,278
ma-ma.05,16,1,2,ma-ma,273
ma-ma.05,17,1,2,ma-ma,88
ma-ma.05,18,1,2,ma-ma,528
ma-ma.05,19,1,2,ma-ma,190
ma-ma.05,20,1,2,ma-ma,215
ma-ma.05,21,1,2,ma-ma,586
ma-ma.05,22,1,2,ma-ma,232
ma-ma.05,23,1,2,ma-ma,322
ma-ma.05,24,1,2,ma-ma,166
ma-ma.05,25,1,2,ma-ma,216
ma-ma.05,26,1,2,ma-ma,327
ma-ma.05,27,1,2,ma-ma,430
ma-ma.05,28,1,2,ma-ma,454
ma-ma.05,29,1,2,ma-ma,308
ma-ma.05,30,1,2,ma-ma,161
ma-ma.05,31,1,2,ma-ma,176
ma-ma.05,32,1,2,ma-ma,274
ma-ma.05,33,1,2,ma-ma,220
ma-ma.05,34,1,2,ma-ma,352
ma-ma.05,35,1,2,ma-ma,303
ma-ma.05,36,1,2,ma-ma,591
ma-ma.05,37,1,2,ma-ma,205
ma-ma.06,1,1,2,ma-ma,271
ma-ma.06,2,1,2,ma-ma,97.8
ma-ma.06,3,1,2,ma-ma,0
ma-ma.06,4,1,2,ma-ma,63
ma-ma.06,5,1,2,ma-ma,215
ma-ma.06,6,1,2,ma-ma,264
ma-ma.06,7,1,2,ma-ma,278
ma-ma.06,8,1,2,ma-ma,308
ma-ma.06,9,1,2,ma-ma,0
ma-ma.06,10,1,2,ma-ma,870
ma-ma.06,11,1,2,ma-ma,440
ma-ma.06,13,1,2,ma-ma,899
ma-ma.06,14,1,2,ma-ma,322
ma-ma.06,16,1,2,ma-ma,758
ma-ma.06,18,1,2,ma-ma,234
ma-ma.06,19,1,2,ma-ma,141
ma-ma.06,20,1,2,ma-ma,210
ma-ma.06,21,1,2,ma-ma,92
ma-ma.06,22,1,2,ma-ma,589
ma-ma.06,23,1,2,ma-ma,60
ma-ma.06,24,1,2,ma-ma,1051
ma-ma.06,25,1,2,ma-ma,483
ma-ma.06,27,1,2,ma-ma,430
ma-ma.06,28,1,2,ma-ma,319
ma-ma.06,29,1,2,ma-ma,303
ma-ma.06,30,1,2,ma-ma,1180
ma-ma.06,31,1,2,ma-ma,283
ma-ma.06,32,1,2,ma-ma,112
ma-ma.06,33,1,2,ma-ma,322
ma-ma.06,34,1,2,ma-ma,937
ma-ma.06,35,1,2,ma-ma,210
ma-ma.06,36,1,2,ma-ma,448
ma-ma.06,37,1,2,ma-ma,264
ma-ma.07,1,1,2,ma-ma,196
ma-ma.07,2,1,2,ma-ma,293
ma-ma.07,3,1,2,ma-ma,0
ma-ma.07,4,1,2,ma-ma,239
ma-ma.07,5,1,2,ma-ma,88
ma-ma.07,6,1,2,ma-ma,885
ma-ma.07,8,1,2,ma-ma,513
ma-ma.07,9,1,2,ma-ma,151
ma-ma.07,10,1,2,ma-ma,0
ma-ma.07,11,1,2,ma-ma,899
ma-ma.07,12,1,2,ma-ma,156
ma-ma.07,13,1,2,ma-ma,78
ma-ma.07,14,1,2,ma-ma,268
ma-ma.07,15,1,2,ma-ma,440
ma-ma.07,16,1,2,ma-ma,453
ma-ma.07,17,1,2,ma-ma,376
ma-ma.07,18,1,2,ma-ma,293
ma-ma.07,19,1,2,ma-ma,269
ma-ma.07,20,1,2,ma-ma,200
ma-ma.07,21,1,2,ma-ma,405
ma-ma.07,22,1,2,ma-ma,437
ma-ma.07,23,1,2,ma-ma,326
ma-ma.07,24,1,2,ma-ma,321
ma-ma.07,25,1,2,ma-ma,125
ma-ma.07,26,1,2,ma-ma,191
ma-ma.07,27,1,2,ma-ma,215
ma-ma.07,28,1,2,ma-ma,474
ma-ma.07,29,1,2,ma-ma,176
ma-ma.07,30,1,2,ma-ma,210
ma-ma.07,31,1,2,ma-ma,322
ma-ma.07,32,1,2,ma-ma,190
ma-ma.07,33,1,2,ma-ma,205
ma-ma.07,34,1,2,ma-ma,244
ma-ma.07,35,1,2,ma-ma,0
ma-ma.07,36,1,2,ma-ma,244
ma-ma.07,37,1,2,ma-ma,264
ma-ma.08,1,1,2,ma-ma,130
ma-ma.08,2,1,2,ma-ma,273
ma-ma.08,3,1,2,ma-ma,0
ma-ma.08,4,1,2,ma-ma,269
ma-ma.08,5,1,2,ma-ma,142
ma-ma.08,6,1,2,ma-ma,459
ma-ma.08,7,1,2,ma-ma,0
ma-ma.08,8,1,2,ma-ma,308
ma-ma.08,9,1,2,ma-ma,0
ma-ma.08,10,1,2,ma-ma,298
ma-ma.08,11,1,2,ma-ma,469
ma-ma.08,12,1,2,ma-ma,249
ma-ma.08,13,1,2,ma-ma,78
ma-ma.08,14,1,2,ma-ma,92
ma-ma.08,15,1,2,ma-ma,254
ma-ma.08,16,1,2,ma-ma,161
ma-ma.08,17,1,2,ma-ma,78
ma-ma.08,18,1,2,ma-ma,97
ma-ma.08,19,1,2,ma-ma,298
ma-ma.08,20,1,2,ma-ma,248
ma-ma.08,21,1,2,ma-ma,171
ma-ma.08,22,1,2,ma-ma,397
ma-ma.08,24,1,2,ma-ma,241
ma-ma.08,25,1,2,ma-ma,297
ma-ma.08,26,1,2,ma-ma,100
ma-ma.08,27,1,2,ma-ma,132
ma-ma.08,28,1,2,ma-ma,141
ma-ma.08,29,1,2,ma-ma,239
ma-ma.08,30,1,2,ma-ma,58
ma-ma.08,31,1,2,ma-ma,249
ma-ma.08,32,1,2,ma-ma,298
ma-ma.08,33,1,2,ma-ma,489
ma-ma.08,34,1,2,ma-ma,669
ma-ma.08,35,1,2,ma-ma,381
ma-ma.08,36,1,2,ma-ma,205
ma-ma.08,37,1,2,ma-ma,498.8
ma-ma.09,1,1,2,ma-ma,246
ma-ma.09,2,1,2,ma-ma,396
ma-ma.09,3,1,2,ma-ma,68
ma-ma.09,4,1,2,ma-ma,313
ma-ma.09,5,1,2,ma-ma,234
ma-ma.09,6,1,2,ma-ma,474
ma-ma.09,7,1,2,ma-ma,308
ma-ma.09,8,1,2,ma-ma,293
ma-ma.09,9,1,2,ma-ma,146
ma-ma.09,10,1,2,ma-ma,381
ma-ma.09,11,1,2,ma-ma,347
ma-ma.09,12,1,2,ma-ma,846
ma-ma.09,13,1,2,ma-ma,391
ma-ma.09,14,1,2,ma-ma,293
ma-ma.09,15,1,2,ma-ma,317
ma-ma.09,16,1,2,ma-ma,58
ma-ma.09,17,1,2,ma-ma,180
ma-ma.09,18,1,2,ma-ma,347
ma-ma.09,19,1,2,ma-ma,249
ma-ma.09,20,1,2,ma-ma,151
ma-ma.09,21,1,2,ma-ma,356
ma-ma.09,22,1,2,ma-ma,281
ma-ma.09,23,1,2,ma-ma,327
ma-ma.09,24,1,2,ma-ma,533
ma-ma.09,25,1,2,ma-ma,322
ma-ma.09,26,1,2,ma-ma,226
ma-ma.09,27,1,2,ma-ma,175
ma-ma.09,28,1,2,ma-ma,376.7
ma-ma.09,29,1,2,ma-ma,303
ma-ma.09,30,1,2,ma-ma,308
ma-ma.09,31,1,2,ma-ma,220
ma-ma.09,32,1,2,ma-ma,293
ma-ma.09,33,1,2,ma-ma,293
ma-ma.09,34,1,2,ma-ma,298
ma-ma.09,35,1,2,ma-ma,190
ma-ma.09,36,1,2,ma-ma,0
ma-ma.09,37,1,2,ma-ma,176
ma-ma.10,1,1,2,ma-ma,206
ma-ma.10,2,1,2,ma-ma,259.2
ma-ma.10,3,1,2,ma-ma,136
ma-ma.10,4,1,2,ma-ma,78
ma-ma.10,5,1,2,ma-ma,327
ma-ma.10,6,1,2,ma-ma,220
ma-ma.10,7,1,2,ma-ma,141
ma-ma.10,8,1,2,ma-ma,679
ma-ma.10,9,1,2,ma-ma,0
ma-ma.10,10,1,2,ma-ma,200
ma-ma.10,11,1,2,ma-ma,567
ma-ma.10,12,1,2,ma-ma,229
ma-ma.10,13,1,2,ma-ma,234
ma-ma.10,14,1,2,ma-ma,337
ma-ma.10,15,1,2,ma-ma,352
ma-ma.10,16,1,2,ma-ma,215
ma-ma.10,17,1,2,ma-ma,254
ma-ma.10,18,1,2,ma-ma,210
ma-ma.10,19,1,2,ma-ma,151
ma-ma.10,20,1,2,ma-ma,185
ma-ma.10,21,1,2,ma-ma,401
ma-ma.10,22,1,2,ma-ma,251
ma-ma.10,23,1,2,ma-ma,251
ma-ma.10,24,1,2,ma-ma,513
ma-ma.10,25,1,2,ma-ma,236
ma-ma.10,26,1,2,ma-ma,281
ma-ma.10,27,1,2,ma-ma,263
ma-ma.10,28,1,2,ma-ma,102
ma-ma.10,29,1,2,ma-ma,127
ma-ma.10,30,1,2,ma-ma,381
ma-ma.10,31,1,2,ma-ma,352
ma-ma.10,32,1,2,ma-ma,278
ma-ma.10,33,1,2,ma-ma,528
ma-ma.10,34,1,2,ma-ma,220
