Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,206
P02,ma-ma.01.rtf,ma-ma,2,1,361
P03,ma-ma.01.rtf,ma-ma,2,1,107
P04,ma-ma.01.rtf,ma-ma,2,1,151
P05,ma-ma.01.rtf,ma-ma,2,1,327
P06,ma-ma.01.rtf,ma-ma,2,1,176
P07,ma-ma.01.rtf,ma-ma,2,1,127
P08,ma-ma.01.rtf,ma-ma,2,1,865
P09,ma-ma.01.rtf,ma-ma,2,1,239
P10,ma-ma.01.rtf,ma-ma,2,1,396
P11,ma-ma.01.rtf,ma-ma,2,1,205
P12,ma-ma.01.rtf,ma-ma,2,1,366
P13,ma-ma.01.rtf,ma-ma,2,1,415
P14,ma-ma.01.rtf,ma-ma,2,1,469
P15,ma-ma.01.rtf,ma-ma,2,1,249
P16,ma-ma.01.rtf,ma-ma,2,1,161
P17,ma-ma.01.rtf,ma-ma,2,1,166
P18,ma-ma.01.rtf,ma-ma,2,1,298
P19,ma-ma.01.rtf,ma-ma,2,1,185
P20,ma-ma.01.rtf,ma-ma,2,1,650
P21,ma-ma.01.rtf,ma-ma,2,1,479
P22,ma-ma.01.rtf,ma-ma,2,1,241
P23,ma-ma.01.rtf,ma-ma,2,1,377
P24,ma-ma.01.rtf,ma-ma,2,1,573
P25,ma-ma.01.rtf,ma-ma,2,1,0
P26,ma-ma.01.rtf,ma-ma,2,1,146
P27,ma-ma.01.rtf,ma-ma,2,1,337
P28,ma-ma.01.rtf,ma-ma,2,1,420
P29,ma-ma.01.rtf,ma-ma,2,1,381
P30,ma-ma.01.rtf,ma-ma,2,1,440
P31,ma-ma.01.rtf,ma-ma,2,1,259
P32,ma-ma.01.rtf,ma-ma,2,1,537
P33,ma-ma.01.rtf,ma-ma,2,1,425
P34,ma-ma.01.rtf,ma-ma,2,1,195
P35,ma-ma.01.rtf,ma-ma,2,1,161
P36,ma-ma.01.rtf,ma-ma,2,1,298
P37,ma-ma.01.rtf,ma-ma,2,1,772
P01,ma-ma.02.rtf,ma-ma,2,1,191
