item,subject,semantic,condition,RT
ma-ma.04,27,1,ma-ma,127
ma-ma.04,28,1,ma-ma,0
ma-ma.04,29,1,ma-ma,127
ma-ma.04,30,1,ma-ma,0
ma-ma.04,31,1,ma-ma,161
ma-ma.04,32,1,ma-ma,982.7
ma-ma.04,33,1,ma-ma,244
ma-ma.04,34,1,ma-ma,161
ma-ma.04,35,1,ma-ma,0
ma-ma.04,36,1,ma-ma,0
ma-ma.04,37,1,ma-ma,166
ma-ma.05,1,1,ma-ma,689.6
ma-ma.05,2,1,ma-ma,919.6
ma-ma.05,3,1,ma-ma,92
ma-ma.05,4,1,ma-ma,0
ma-ma.05,5,1,ma-ma,151
ma-ma.05,6,1,ma-ma,132
ma-ma.05,7,1,ma-ma,0
ma-ma.05,8,1,ma-ma,215
ma-ma.05,9,1,ma-ma,112
ma-ma.05,10,1,ma-ma,127
ma-ma.05,11,1,ma-ma,249
ma-ma.05,13,1,ma-ma,0
ma-ma.05,14,1,ma-ma,269
ma-ma.05,15,1,ma-ma,190
ma-ma.05,16,1,ma-ma,709
ma-ma.05,17,1,ma-ma,122
ma-ma.05,18,1,ma-ma,259
ma-ma.05,19,1,ma-ma,0
ma-ma.05,20,1,ma-ma,415
ma-ma.05,22,1,ma-ma,216
ma-ma.05,23,1,ma-ma,589
ma-ma.05,24,1,ma-ma,105
ma-ma.05,25,1,ma-ma,271
ma-ma.05,26,1,ma-ma,151
ma-ma.05,27,1,ma-ma,1109.6
ma-ma.05,28,1,ma-ma,802.1
ma-ma.05,29,1,ma-ma,127
ma-ma.05,30,1,ma-ma,166
ma-ma.05,31,1,ma-ma,224
ma-ma.05,32,1,ma-ma,112
ma-ma.05,33,1,ma-ma,136
ma-ma.05,34,1,ma-ma,288
ma-ma.05,35,1,ma-ma,357.1
ma-ma.05,36,1,ma-ma,53
ma-ma.05,37,1,ma-ma,0
ma-ma.06,1,1,ma-ma,216
ma-ma.06,2,1,ma-ma,0
ma-ma.06,3,1,ma-ma,0
ma-ma.06,4,1,ma-ma,83
ma-ma.06,5,1,ma-ma,127
ma-ma.06,6,1,ma-ma,0
ma-ma.06,7,1,ma-ma,166
ma-ma.06,8,1,ma-ma,200
ma-ma.06,9,1,ma-ma,288
ma-ma.06,10,1,ma-ma,0
ma-ma.06,11,1,ma-ma,0
ma-ma.06,12,1,ma-ma,0
ma-ma.06,13,1,ma-ma,0
ma-ma.06,14,1,ma-ma,146
ma-ma.06,15,1,ma-ma,136
ma-ma.06,16,1,ma-ma,137
ma-ma.06,17,1,ma-ma,0
ma-ma.06,18,1,ma-ma,161
ma-ma.06,19,1,ma-ma,0
ma-ma.06,20,1,ma-ma,225
ma-ma.06,21,1,ma-ma,0
ma-ma.06,22,1,ma-ma,191
ma-ma.06,23,1,ma-ma,196
ma-ma.06,24,1,ma-ma,156
ma-ma.06,25,1,ma-ma,156
ma-ma.06,26,1,ma-ma,0
ma-ma.06,27,1,ma-ma,273
ma-ma.06,28,1,ma-ma,273
ma-ma.06,29,1,ma-ma,0
ma-ma.06,30,1,ma-ma,156
ma-ma.06,31,1,ma-ma,1105.1
ma-ma.06,32,1,ma-ma,0
ma-ma.06,33,1,ma-ma,234
ma-ma.06,34,1,ma-ma,0
ma-ma.06,35,1,ma-ma,117
ma-ma.06,36,1,ma-ma,151
ma-ma.06,37,1,ma-ma,0
ma-ma.07,1,1,ma-ma,387
ma-ma.07,2,1,ma-ma,0
ma-ma.07,3,1,ma-ma,205
ma-ma.07,4,1,ma-ma,0
ma-ma.07,5,1,ma-ma,0
ma-ma.07,6,1,ma-ma,0
ma-ma.07,7,1,ma-ma,181
ma-ma.07,8,1,ma-ma,97
ma-ma.07,9,1,ma-ma,229
ma-ma.07,10,1,ma-ma,141
ma-ma.07,12,1,ma-ma,136
ma-ma.07,13,1,ma-ma,112
ma-ma.07,14,1,ma-ma,0
ma-ma.07,15,1,ma-ma,254.3
ma-ma.07,16,1,ma-ma,738.5
ma-ma.07,17,1,ma-ma,0
ma-ma.07,18,1,ma-ma,0
ma-ma.07,19,1,ma-ma,97
ma-ma.07,20,1,ma-ma,141
ma-ma.07,21,1,ma-ma,141
ma-ma.07,23,1,ma-ma,0
ma-ma.07,24,1,ma-ma,0
ma-ma.07,25,1,ma-ma,246
ma-ma.07,26,1,ma-ma,961.3
ma-ma.07,27,1,ma-ma,0
ma-ma.07,28,1,ma-ma,278
ma-ma.07,29,1,ma-ma,161
ma-ma.07,30,1,ma-ma,0
ma-ma.07,31,1,ma-ma,229.7
ma-ma.07,32,1,ma-ma,171
ma-ma.07,33,1,ma-ma,156
ma-ma.07,34,1,ma-ma,474
ma-ma.07,35,1,ma-ma,489
ma-ma.07,36,1,ma-ma,117
ma-ma.07,37,1,ma-ma,0
ma-ma.08,1,1,ma-ma,85
ma-ma.08,2,1,ma-ma,0
ma-ma.08,3,1,ma-ma,626.3
ma-ma.08,4,1,ma-ma,0
ma-ma.08,5,1,ma-ma,107
ma-ma.08,6,1,ma-ma,0
ma-ma.08,7,1,ma-ma,122
ma-ma.08,8,1,ma-ma,449
ma-ma.08,9,1,ma-ma,386
ma-ma.08,10,1,ma-ma,195
ma-ma.08,11,1,ma-ma,381
ma-ma.08,12,1,ma-ma,0
ma-ma.08,13,1,ma-ma,53
ma-ma.08,14,1,ma-ma,190
ma-ma.08,15,1,ma-ma,650.1
ma-ma.08,16,1,ma-ma,88
ma-ma.08,17,1,ma-ma,63
ma-ma.08,18,1,ma-ma,137
ma-ma.08,19,1,ma-ma,0
ma-ma.08,20,1,ma-ma,190
ma-ma.08,21,1,ma-ma,396
ma-ma.08,22,1,ma-ma,211
ma-ma.08,23,1,ma-ma,100
ma-ma.08,24,1,ma-ma,518.4
ma-ma.08,25,1,ma-ma,246
ma-ma.08,26,1,ma-ma,191
ma-ma.08,27,1,ma-ma,0
ma-ma.08,28,1,ma-ma,146
ma-ma.08,29,1,ma-ma,0
ma-ma.08,30,1,ma-ma,0
ma-ma.08,31,1,ma-ma,611.2
ma-ma.08,32,1,ma-ma,445
ma-ma.08,33,1,ma-ma,0
ma-ma.08,34,1,ma-ma,181
ma-ma.08,35,1,ma-ma,185
ma-ma.08,36,1,ma-ma,0
ma-ma.08,37,1,ma-ma,141
ma-ma.09,2,1,ma-ma,141
ma-ma.09,3,1,ma-ma,83
ma-ma.09,4,1,ma-ma,0
ma-ma.09,5,1,ma-ma,156
ma-ma.09,6,1,ma-ma,127
ma-ma.09,7,1,ma-ma,102
ma-ma.09,8,1,ma-ma,386
ma-ma.09,9,1,ma-ma,801.7
ma-ma.09,10,1,ma-ma,371
ma-ma.09,11,1,ma-ma,146
ma-ma.09,12,1,ma-ma,166
ma-ma.09,13,1,ma-ma,131
ma-ma.09,14,1,ma-ma,205
ma-ma.09,15,1,ma-ma,58
ma-ma.09,16,1,ma-ma,136
ma-ma.09,17,1,ma-ma,0
ma-ma.09,18,1,ma-ma,73
ma-ma.09,19,1,ma-ma,0
ma-ma.09,20,1,ma-ma,400
ma-ma.09,21,1,ma-ma,97
ma-ma.09,22,1,ma-ma,60
ma-ma.09,23,1,ma-ma,0
