Participant,Stimulus,condition,semantic,RT
P01,ma-ma.04.rtf,ma-ma,1,246
P02,ma-ma.04.rtf,ma-ma,1,137
P03,ma-ma.04.rtf,ma-ma,1,53
P04,ma-ma.04.rtf,ma-ma,1,220
P05,ma-ma.04.rtf,ma-ma,1,0
P06,ma-ma.04.rtf,ma-ma,1,0
P07,ma-ma.04.rtf,ma-ma,1,141
P08,ma-ma.04.rtf,ma-ma,1,195
P09,ma-ma.04.rtf,ma-ma,1,234
P10,ma-ma.04.rtf,ma-ma,1,317
P11,ma-ma.04.rtf,ma-ma,1,0
P12,ma-ma.04.rtf,ma-ma,1,107
P13,ma-ma.04.rtf,ma-ma,1,259
P14,ma-ma.04.rtf,ma-ma,1,234
P15,ma-ma.04.rtf,ma-ma,1,73
P16,ma-ma.04.rtf,ma-ma,1,0
P17,ma-ma.04.rtf,ma-ma,1,0
P18,ma-ma.04.rtf,ma-ma,1,220
P19,ma-ma.04.rtf,ma-ma,1,63
P20,ma-ma.04.rtf,ma-ma,1,0
P21,ma-ma.04.rtf,ma-ma,1,410
P22,ma-ma.04.rtf,ma-ma,1,0
P23,ma-ma.04.rtf,ma-ma,1,261
P24,ma-ma.04.rtf,ma-ma,1,181
P25,ma-ma.04.rtf,ma-ma,1,130
P26,ma-ma.04.rtf,ma-ma,1,125
P27,ma-ma.04.rtf,ma-ma,1,127
P28,ma-ma.04.rtf,ma-ma,1,0
P29,ma-ma.04.rtf,ma-ma,1,127
P30,ma-ma.04.rtf,ma-ma,1,0
P31,ma-ma.04.rtf,ma-ma,1,161
P32,ma-ma.04.rtf,ma-ma,1,259
P33,ma-ma.04.rtf,ma-ma,1,244
P34,ma-ma.04.rtf,ma-ma,1,161
P35,ma-ma.04.rtf,ma-ma,1,0
P36,ma-ma.04.rtf,ma-ma,1,0
P37,ma-ma.04.rtf,ma-ma,1,166
P01,ma-ma.05.rtf,ma-ma,1,90
P02,ma-ma.05.rtf,ma-ma,1,220
P03,ma-ma.05.rtf,ma-ma,1,92
P04,ma-ma.05.rtf,ma-ma,1,0
