Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,302
P02,ma-ma.01.rtf,ma-ma,2,1,92
P03,ma-ma.01.rtf,ma-ma,2,1,132
P04,ma-ma.01.rtf,ma-ma,2,1,361
P05,ma-ma.01.rtf,ma-ma,2,1,0
P06,ma-ma.01.rtf,ma-ma,2,1,616
P07,ma-ma.01.rtf,ma-ma,2,1,0
P08,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,312
P11,ma-ma.01.rtf,ma-ma,2,1,532
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,533
P14,ma-ma.01.rtf,ma-ma,2,1,537
P15,ma-ma.01.rtf,ma-ma,2,1,464
P16,ma-ma.01.rtf,ma-ma,2,1,332
P17,ma-ma.01.rtf,ma-ma,2,1,1188
P18,ma-ma.01.rtf,ma-ma,2,1,0
P19,ma-ma.01.rtf,ma-ma,2,1,259
P20,ma-ma.01.rtf,ma-ma,2,1,0
P21,ma-ma.01.rtf,ma-ma,2,1,484
P22,ma-ma.01.rtf,ma-ma,2,1,0
P23,ma-ma.01.rtf,ma-ma,2,1,906
P24,ma-ma.01.rtf,ma-ma,2,1,752
P25,ma-ma.01.rtf,ma-ma,2,1,0
P26,ma-ma.01.rtf,ma-ma,2,1,357
P27,ma-ma.01.rtf,ma-ma,2,1,0
P28,ma-ma.01.rtf,ma-ma,2,1,381
P29,ma-ma.01.rtf,ma-ma,2,1,366
P30,ma-ma.01.rtf,ma-ma,2,1,332
P31,ma-ma.01.rtf,ma-ma,2,1,220
P32,ma-ma.01.rtf,ma-ma,2,1,0
P33,ma-ma.01.rtf,ma-ma,2,1,269
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,83
P01,ma-ma.02.rtf,ma-ma,2,1,438
P03,ma-ma.02.rtf,ma-ma,2,1,312
P04,ma-ma.02.rtf,ma-ma,2,1,166
P05,ma-ma.02.rtf,ma-ma,2,1,235
P06,ma-ma.02.rtf,ma-ma,2,1,464
P07,ma-ma.02.rtf,ma-ma,2,1,347
P08,ma-ma.02.rtf,ma-ma,2,1,982
P09,ma-ma.02.rtf,ma-ma,2,1,259
P10,ma-ma.02.rtf,ma-ma,2,1,0
P11,ma-ma.02.rtf,ma-ma,2,1,0
P13,ma-ma.02.rtf,ma-ma,2,1,626
P15,ma-ma.02.rtf,ma-ma,2,1,757
P16,ma-ma.02.rtf,ma-ma,2,1,141
P17,ma-ma.02.rtf,ma-ma,2,1,0
P18,ma-ma.02.rtf,ma-ma,2,1,0
P19,ma-ma.02.rtf,ma-ma,2,1,538
P20,ma-ma.02.rtf,ma-ma,2,1,0
P22,ma-ma.02.rtf,ma-ma,2,1,0
P23,ma-ma.02.rtf,ma-ma,2,1,986
P24,ma-ma.02.rtf,ma-ma,2,1,196
P25,ma-ma.02.rtf,ma-ma,2,1,664
P26,ma-ma.02.rtf,ma-ma,2,1,614
P27,ma-ma.02.rtf,ma-ma,2,1,195
P28,ma-ma.02.rtf,ma-ma,2,1,78
P29,ma-ma.02.rtf,ma-ma,2,1,806
P30,ma-ma.02.rtf,ma-ma,2,1,513
P31,ma-ma.02.rtf,ma-ma,2,1,195
P32,ma-ma.02.rtf,ma-ma,2,1,796
P33,ma-ma.02.rtf,ma-ma,2,1,435
P34,ma-ma.02.rtf,ma-ma,2,1,88
P35,ma-ma.02.rtf,ma-ma,2,1,0
P36,ma-ma.02.rtf,ma-ma,2,1,0
P37,ma-ma.02.rtf,ma-ma,2,1,136
P01,ma-ma.03.rtf,ma-ma,2,1,201
P02,ma-ma.03.rtf,ma-ma,2,1,450
P03,ma-ma.03.rtf,ma-ma,2,1,0
P04,ma-ma.03.rtf,ma-ma,2,1,767
P05,ma-ma.03.rtf,ma-ma,2,1,0
P06,ma-ma.03.rtf,ma-ma,2,1,361
P07,ma-ma.03.rtf,ma-ma,2,1,0
P08,ma-ma.03.rtf,ma-ma,2,1,313
P09,ma-ma.03.rtf,ma-ma,2,1,156
P10,ma-ma.03.rtf,ma-ma,2,1,303
P11,ma-ma.03.rtf,ma-ma,2,1,249
P12,ma-ma.03.rtf,ma-ma,2,1,949
P13,ma-ma.03.rtf,ma-ma,2,1,166
P14,ma-ma.03.rtf,ma-ma,2,1,112
P15,ma-ma.03.rtf,ma-ma,2,1,1120
P16,ma-ma.03.rtf,ma-ma,2,1,288
P17,ma-ma.03.rtf,ma-ma,2,1,0
P18,ma-ma.03.rtf,ma-ma,2,1,224
P19,ma-ma.03.rtf,ma-ma,2,1,816
P20,ma-ma.03.rtf,ma-ma,2,1,670
P22,ma-ma.03.rtf,ma-ma,2,1,483
P23,ma-ma.03.rtf,ma-ma,2,1,765
P24,ma-ma.03.rtf,ma-ma,2,1,135
P25,ma-ma.03.rtf,ma-ma,2,1,0
P26,ma-ma.03.rtf,ma-ma,2,1,433
P27,ma-ma.03.rtf,ma-ma,2,1,347
P28,ma-ma.03.rtf,ma-ma,2,1,0
P29,ma-ma.03.rtf,ma-ma,2,1,1164
P30,ma-ma.03.rtf,ma-ma,2,1,278
P31,ma-ma.03.rtf,ma-ma,2,1,244
P32,ma-ma.03.rtf,ma-ma,2,1,973
P33,ma-ma.03.rtf,ma-ma,2,1,665
P34,ma-ma.03.rtf,ma-ma,2,1,166
P35,ma-ma.03.rtf,ma-ma,2,1,680
P36,ma-ma.03.rtf,ma-ma,2,1,181
P37,ma-ma.03.rtf,ma-ma,2,1,0
P01,ma-ma.04.rtf,ma-ma,2,1,0
P02,ma-ma.04.rtf,ma-ma,2,1,0
P03,ma-ma.04.rtf,ma-ma,2,1,0
P04,ma-ma.04.rtf,ma-ma,2,1,141
P05,ma-ma.04.rtf,ma-ma,2,1,0
P06,ma-ma.04.rtf,ma-ma,2,1,0
P07,ma-ma.04.rtf,ma-ma,2,1,175
P08,ma-ma.04.rtf,ma-ma,2,1,0
P09,ma-ma.04.rtf,ma-ma,2,1,357
P10,ma-ma.04.rtf,ma-ma,2,1,0
P11,ma-ma.04.rtf,ma-ma,2,1,0
P12,ma-ma.04.rtf,ma-ma,2,1,259
P13,ma-ma.04.rtf,ma-ma,2,1,92
P14,ma-ma.04.rtf,ma-ma,2,1,870
P15,ma-ma.04.rtf,ma-ma,2,1,440
P16,ma-ma.04.rtf,ma-ma,2,1,259
P17,ma-ma.04.rtf,ma-ma,2,1,572
P18,ma-ma.04.rtf,ma-ma,2,1,220
P19,ma-ma.04.rtf,ma-ma,2,1,611
P20,ma-ma.04.rtf,ma-ma,2,1,410
P21,ma-ma.04.rtf,ma-ma,2,1,978
P22,ma-ma.04.rtf,ma-ma,2,1,206
P23,ma-ma.04.rtf,ma-ma,2,1,917
P24,ma-ma.04.rtf,ma-ma,2,1,261
P25,ma-ma.04.rtf,ma-ma,2,1,0
P26,ma-ma.04.rtf,ma-ma,2,1,176
P27,ma-ma.04.rtf,ma-ma,2,1,146
P28,ma-ma.04.rtf,ma-ma,2,1,0
P29,ma-ma.04.rtf,ma-ma,2,1,777
P30,ma-ma.04.rtf,ma-ma,2,1,357
P31,ma-ma.04.rtf,ma-ma,2,1,0
P32,ma-ma.04.rtf,ma-ma,2,1,0
P33,ma-ma.04.rtf,ma-ma,2,1,0
P34,ma-ma.04.rtf,ma-ma,2,1,0
P35,ma-ma.04.rtf,ma-ma,2,1,465
P36,ma-ma.04.rtf,ma-ma,2,1,0
P37,ma-ma.04.rtf,ma-ma,2,1,249
P01,ma-ma.05.rtf,ma-ma,2,1,614
P02,ma-ma.05.rtf,ma-ma,2,1,0
P03,ma-ma.05.rtf,ma-ma,2,1,0
P04,ma-ma.05.rtf,ma-ma,2,1,372
P05,ma-ma.05.rtf,ma-ma,2,1,0
P06,ma-ma.05.rtf,ma-ma,2,1,523
P07,ma-ma.05.rtf,ma-ma,2,1,445
P08,ma-ma.05.rtf,ma-ma,2,1,0
P09,ma-ma.05.rtf,ma-ma,2,1,773
P10,ma-ma.05.rtf,ma-ma,2,1,518
P11,ma-ma.05.rtf,ma-ma,2,1,322
P12,ma-ma.05.rtf,ma-ma,2,1,621
P13,ma-ma.05.rtf,ma-ma,2,1,420
P14,ma-ma.05.rtf,ma-ma,2,1,797
P15,ma-ma.05.rtf,ma-ma,2,1,797
P16,ma-ma.05.rtf,ma-ma,2,1,508
P17,ma-ma.05.rtf,ma-ma,2,1,802
P18,ma-ma.05.rtf,ma-ma,2,1,156
P19,ma-ma.05.rtf,ma-ma,2,1,337
P20,ma-ma.05.rtf,ma-ma,2,1,454
P21,ma-ma.05.rtf,ma-ma,2,1,0
P22,ma-ma.05.rtf,ma-ma,2,1,473
P23,ma-ma.05.rtf,ma-ma,2,1,991
P24,ma-ma.05.rtf,ma-ma,2,1,297
P25,ma-ma.05.rtf,ma-ma,2,1,317
P26,ma-ma.05.rtf,ma-ma,2,1,0
P27,ma-ma.05.rtf,ma-ma,2,1,459
P28,ma-ma.05.rtf,ma-ma,2,1,0
P29,ma-ma.05.rtf,ma-ma,2,1,547
P31,ma-ma.05.rtf,ma-ma,2,1,846
P33,ma-ma.05.rtf,ma-ma,2,1,293
P34,ma-ma.05.rtf,ma-ma,2,1,381
P35,ma-ma.05.rtf,ma-ma,2,1,591
P36,ma-ma.05.rtf,ma-ma,2,1,195
P37,ma-ma.05.rtf,ma-ma,2,1,298
P01,ma-ma.06.rtf,ma-ma,2,1,0
P02,ma-ma.06.rtf,ma-ma,2,1,0
P03,ma-ma.06.rtf,ma-ma,2,1,0
P04,ma-ma.06.rtf,ma-ma,2,1,132
P05,ma-ma.06.rtf,ma-ma,2,1,405
P06,ma-ma.06.rtf,ma-ma,2,1,425
P08,ma-ma.06.rtf,ma-ma,2,1,0
P09,ma-ma.06.rtf,ma-ma,2,1,532
P10,ma-ma.06.rtf,ma-ma,2,1,0
P11,ma-ma.06.rtf,ma-ma,2,1,0
P12,ma-ma.06.rtf,ma-ma,2,1,273
P13,ma-ma.06.rtf,ma-ma,2,1,234
P14,ma-ma.06.rtf,ma-ma,2,1,840
