Stimulus,Participant,condition,semantic,RT
ma-ma.01.rtf,P01,ma-ma,1,755.4
ma-ma.01.rtf,P02,ma-ma,1,620.6
ma-ma.01.rtf,P03,ma-ma,1,0
ma-ma.01.rtf,P09,ma-ma,1,0
ma-ma.01.rtf,P04,ma-ma,1,802.1
ma-ma.01.rtf,P05,ma-ma,1,166.1
ma-ma.01.rtf,P06,ma-ma,1,1089.1
ma-ma.01.rtf,P07,ma-ma,1,239.5
ma-ma.01.rtf,P08,ma-ma,1,567.1
ma-ma.01.rtf,P19,ma-ma,1,518.4
ma-ma.01.rtf,P23,ma-ma,1,991.6
ma-ma.01.rtf,P25,ma-ma,1,276.9
ma-ma.01.rtf,P27,ma-ma,1,406
ma-ma.01.rtf,P29,ma-ma,1,802
ma-ma.01.rtf,P31,ma-ma,1,885.1
ma-ma.01.rtf,P33,ma-ma,1,181
ma-ma.01.rtf,P35,ma-ma,1,303.2
ma-ma.01.rtf,P10,ma-ma,1,293.7
ma-ma.01.rtf,P11,ma-ma,1,205.4
ma-ma.01.rtf,P34,ma-ma,1,0
ma-ma.01.rtf,P12,ma-ma,1,577.2
ma-ma.01.rtf,P13,ma-ma,1,1041.7
ma-ma.01.rtf,P14,ma-ma,1,479.3
ma-ma.01.rtf,P15,ma-ma,1,665.2
ma-ma.01.rtf,P16,ma-ma,1,288.6
ma-ma.01.rtf,P17,ma-ma,1,847.8
ma-ma.01.rtf,P18,ma-ma,1,224.9
ma-ma.01.rtf,P20,ma-ma,1,943.5
ma-ma.01.rtf,P22,ma-ma,1,795.5
ma-ma.01.rtf,P24,ma-ma,1,654.9
ma-ma.01.rtf,P26,ma-ma,1,372.5
ma-ma.01.rtf,P28,ma-ma,1,483.6
ma-ma.02.rtf,P02,ma-ma,1,0
ma-ma.01.rtf,P30,ma-ma,1,497.3
ma-ma.01.rtf,P36,ma-ma,1,195.4
ma-ma.02.rtf,P01,ma-ma,1,352.4
ma-ma.02.rtf,P03,ma-ma,1,674.9
ma-ma.02.rtf,P05,ma-ma,1,1090.6
ma-ma.02.rtf,P07,ma-ma,1,366.7
ma-ma.02.rtf,P09,ma-ma,1,626.2
ma-ma.02.rtf,P19,ma-ma,1,690.3
ma-ma.02.rtf,P27,ma-ma,1,714.1
ma-ma.02.rtf,P29,ma-ma,1,1135.2
ma-ma.02.rtf,P31,ma-ma,1,430.4
ma-ma.02.rtf,P33,ma-ma,1,166.3
ma-ma.02.rtf,P35,ma-ma,1,865.3
ma-ma.02.rtf,P37,ma-ma,1,166.3
ma-ma.02.rtf,P10,ma-ma,1,371.5
ma-ma.02.rtf,P11,ma-ma,1,919.2
ma-ma.02.rtf,P13,ma-ma,1,542.8
ma-ma.02.rtf,P04,ma-ma,1,63.6
ma-ma.02.rtf,P14,ma-ma,1,1061.2
ma-ma.02.rtf,P16,ma-ma,1,788.1
ma-ma.02.rtf,P17,ma-ma,1,141.8
ma-ma.02.rtf,P18,ma-ma,1,435.5
ma-ma.02.rtf,P20,ma-ma,1,758
ma-ma.02.rtf,P22,ma-ma,1,387.5
ma-ma.02.rtf,P24,ma-ma,1,548.9
ma-ma.02.rtf,P26,ma-ma,1,1177.9
ma-ma.02.rtf,P28,ma-ma,1,479.5
ma-ma.02.rtf,P30,ma-ma,1,934.5
ma-ma.02.rtf,P32,ma-ma,1,709
ma-ma.02.rtf,P34,ma-ma,1,151.7
ma-ma.02.rtf,P36,ma-ma,1,161.4
ma-ma.03.rtf,P01,ma-ma,1,800.3
ma-ma.03.rtf,P02,ma-ma,1,317.9
ma-ma.03.rtf,P03,ma-ma,1,112.5
ma-ma.03.rtf,P04,ma-ma,1,97.8
ma-ma.03.rtf,P05,ma-ma,1,415.7
ma-ma.03.rtf,P06,ma-ma,1,919.7
