Participant,Stimulus,condition,parallel,semantic,RT
P07,ma-ma.04.rtf,ma-ma,2,1,273
P08,ma-ma.04.rtf,ma-ma,2,1,743
P09,ma-ma.04.rtf,ma-ma,2,1,141
P10,ma-ma.04.rtf,ma-ma,2,1,171
P11,ma-ma.04.rtf,ma-ma,2,1,160
P12,ma-ma.04.rtf,ma-ma,2,1,298
P13,ma-ma.04.rtf,ma-ma,2,1,68
P14,ma-ma.04.rtf,ma-ma,2,1,210
P15,ma-ma.04.rtf,ma-ma,2,1,303
P16,ma-ma.04.rtf,ma-ma,2,1,146
P17,ma-ma.04.rtf,ma-ma,2,1,58
P18,ma-ma.04.rtf,ma-ma,2,1,313
P19,ma-ma.04.rtf,ma-ma,2,1,303
P20,ma-ma.04.rtf,ma-ma,2,1,283
P21,ma-ma.04.rtf,ma-ma,2,1,121
P22,ma-ma.04.rtf,ma-ma,2,1,302
P23,ma-ma.04.rtf,ma-ma,2,1,171
P24,ma-ma.04.rtf,ma-ma,2,1,251
P25,ma-ma.04.rtf,ma-ma,2,1,317
P26,ma-ma.04.rtf,ma-ma,2,1,75
P27,ma-ma.04.rtf,ma-ma,2,1,386
P28,ma-ma.04.rtf,ma-ma,2,1,225
P29,ma-ma.04.rtf,ma-ma,2,1,132
P30,ma-ma.04.rtf,ma-ma,2,1,117
P31,ma-ma.04.rtf,ma-ma,2,1,88
P32,ma-ma.04.rtf,ma-ma,2,1,581
P33,ma-ma.04.rtf,ma-ma,2,1,298
P34,ma-ma.04.rtf,ma-ma,2,1,92
P35,ma-ma.04.rtf,ma-ma,2,1,210
P36,ma-ma.04.rtf,ma-ma,2,1,0
P37,ma-ma.04.rtf,ma-ma,2,1,210
P01,ma-ma.05.rtf,ma-ma,2,1,100
P02,ma-ma.05.rtf,ma-ma,2,1,401
P03,ma-ma.05.rtf,ma-ma,2,1,0
P04,ma-ma.05.rtf,ma-ma,2,1,293
P05,ma-ma.05.rtf,ma-ma,2,1,430
P06,ma-ma.05.rtf,ma-ma,2,1,180
P07,ma-ma.05.rtf,ma-ma,2,1,190
P08,ma-ma.05.rtf,ma-ma,2,1,293
P09,ma-ma.05.rtf,ma-ma,2,1,0
P10,ma-ma.05.rtf,ma-ma,2,1,190
P11,ma-ma.05.rtf,ma-ma,2,1,308
P12,ma-ma.05.rtf,ma-ma,2,1,288
P13,ma-ma.05.rtf,ma-ma,2,1,0
P14,ma-ma.05.rtf,ma-ma,2,1,161
P15,ma-ma.05.rtf,ma-ma,2,1,151
P16,ma-ma.05.rtf,ma-ma,2,1,185
P17,ma-ma.05.rtf,ma-ma,2,1,234
P18,ma-ma.05.rtf,ma-ma,2,1,126
P19,ma-ma.05.rtf,ma-ma,2,1,176
P20,ma-ma.05.rtf,ma-ma,2,1,424
P21,ma-ma.05.rtf,ma-ma,2,1,381
P22,ma-ma.05.rtf,ma-ma,2,1,312
P23,ma-ma.05.rtf,ma-ma,2,1,135
P24,ma-ma.05.rtf,ma-ma,2,1,407
