Stimulus,Participant,condition,semantic,RT
nma-nma.03.rtf,P09,nma-nma,2,269.1
nma-nma.03.rtf,P21,nma-nma,2,503.7
nma-nma.03.rtf,P23,nma-nma,2,392.7
nma-nma.03.rtf,P25,nma-nma,2,780.2
nma-ma.09.rtf,P09,nma-ma,2,0
nma-ma.09.rtf,P23,nma-ma,2,65.3
nma-nma.03.rtf,P27,nma-nma,2,327.7
nma-nma.03.rtf,P31,nma-nma,2,200.5
nma-nma.03.rtf,P33,nma-nma,2,220.1
nma-nma.03.rtf,P35,nma-nma,2,508.6
nma-ma.09.rtf,P29,nma-ma,2,0
nma-ma.09.rtf,P37,nma-ma,2,0
nma-nma.03.rtf,P10,nma-nma,2,122.3
nma-nma.03.rtf,P11,nma-nma,2,528.2
nma-nma.03.rtf,P12,nma-nma,2,621.1
nma-nma.03.rtf,P13,nma-nma,2,83.2
nma-nma.03.rtf,P14,nma-nma,2,1022.2
nma-nma.03.rtf,P16,nma-nma,2,224.7
nma-nma.03.rtf,P17,nma-nma,2,239.5
nma-nma.03.rtf,P18,nma-nma,2,151.6
nma-ma.09.rtf,P16,nma-ma,2,0
nma-ma.09.rtf,P20,nma-ma,2,0
nma-nma.03.rtf,P20,nma-nma,2,264.1
nma-ma.09.rtf,P30,nma-ma,2,0
nma-nma.03.rtf,P22,nma-nma,2,211.4
nma-nma.03.rtf,P24,nma-nma,2,120.8
nma-nma.03.rtf,P26,nma-nma,2,271.7
nma-ma.09.rtf,P36,nma-ma,2,0
nma-nma.03.rtf,P30,nma-nma,2,264.2
