Stimulus,Participant,condition,semantic,RT
nma-ma.04.rtf,P33,nma-ma,2,400.9
nma-ma.04.rtf,P35,nma-ma,2,356.9
nma-ma.04.rtf,P10,nma-ma,2,234.7
nma-ma.04.rtf,P11,nma-ma,2,337.2
nma-ma.04.rtf,P12,nma-ma,2,171.1
nma-ma.04.rtf,P13,nma-ma,2,303.3
nma-ma.04.rtf,P14,nma-ma,2,229.8
nma-ma.04.rtf,P15,nma-ma,2,259.1
ma-nma.11.rtf,P24,ma-nma,1,0
nma-ma.04.rtf,P16,nma-ma,2,195.6
nma-ma.04.rtf,P18,nma-ma,2,249.4
ma-nma.11.rtf,P26,ma-nma,1,0
ma-nma.11.rtf,P28,ma-nma,1,0
nma-ma.04.rtf,P20,nma-ma,2,244.5
nma-ma.04.rtf,P26,nma-ma,2,261.7
ma-nma.11.rtf,P36,ma-nma,1,0
nma-ma.04.rtf,P32,nma-ma,2,117.3
nma-ma.04.rtf,P34,nma-ma,2,132
ma-nma.12.rtf,P02,ma-nma,1,0
nma-ma.04.rtf,P36,nma-ma,2,151.6
nma-ma.05.rtf,P01,nma-ma,2,241.7
nma-ma.05.rtf,P02,nma-ma,2,249.4
nma-ma.05.rtf,P05,nma-ma,2,175.9
nma-ma.05.rtf,P07,nma-ma,2,239.6
nma-ma.05.rtf,P08,nma-ma,2,176
ma-nma.12.rtf,P04,ma-nma,1,0
nma-ma.05.rtf,P09,nma-ma,2,518.3
nma-ma.05.rtf,P19,nma-ma,2,694.8
nma-ma.05.rtf,P21,nma-ma,2,572.2
ma-nma.12.rtf,P09,ma-nma,1,0
ma-nma.12.rtf,P12,ma-nma,1,0
nma-ma.05.rtf,P23,nma-ma,2,644.4
nma-ma.05.rtf,P25,nma-ma,2,105.5
ma-nma.12.rtf,P17,ma-nma,1,0
nma-ma.05.rtf,P27,nma-ma,2,200.5
nma-ma.05.rtf,P29,nma-ma,2,327.5
nma-ma.05.rtf,P31,nma-ma,2,420.6
ma-nma.12.rtf,P24,ma-nma,1,0
nma-ma.05.rtf,P35,nma-ma,2,450
nma-ma.05.rtf,P37,nma-ma,2,185.9
nma-ma.05.rtf,P10,nma-ma,2,205.4
nma-ma.05.rtf,P12,nma-ma,2,714.1
ma-nma.12.rtf,P28,ma-nma,1,0
nma-ma.05.rtf,P14,nma-ma,2,303.2
nma-ma.05.rtf,P16,nma-ma,2,508.6
nma-ma.05.rtf,P17,nma-ma,2,210.3
nma-ma.05.rtf,P18,nma-ma,2,269
ma-nma.12.rtf,P30,ma-nma,1,0
nma-ma.05.rtf,P20,nma-ma,2,361.9
nma-ma.05.rtf,P22,nma-ma,2,472.9
nma-ma.05.rtf,P24,nma-ma,2,146.1
ma-nma.12.rtf,P36,ma-nma,1,0
nma-ma.05.rtf,P26,nma-ma,2,432.8
nma-ma.01.rtf,P02,nma-ma,2,0
nma-ma.01.rtf,P04,nma-ma,2,58.9
nma-ma.05.rtf,P28,nma-ma,2,151.6
nma-ma.05.rtf,P30,nma-ma,2,709.1
nma-ma.01.rtf,P06,nma-ma,2,0
nma-ma.05.rtf,P32,nma-ma,2,527.4
nma-ma.05.rtf,P34,nma-ma,2,156.6
nma-ma.05.rtf,P36,nma-ma,2,151.6
nma-ma.06.rtf,P01,nma-ma,2,372.6
nma-ma.06.rtf,P02,nma-ma,2,161.4
nma-ma.06.rtf,P03,nma-ma,2,136.9
nma-ma.06.rtf,P05,nma-ma,2,180.8
nma-ma.06.rtf,P07,nma-ma,2,425.4
nma-ma.06.rtf,P08,nma-ma,2,425.5
nma-ma.06.rtf,P09,nma-ma,2,763
nma-ma.06.rtf,P19,nma-ma,2,410.7
nma-ma.06.rtf,P21,nma-ma,2,376.6
nma-ma.06.rtf,P23,nma-ma,2,432.9
nma-ma.06.rtf,P25,nma-ma,2,538.6
nma-ma.06.rtf,P27,nma-ma,2,156.5
nma-ma.06.rtf,P29,nma-ma,2,499.1
nma-ma.01.rtf,P09,nma-ma,2,0
nma-ma.06.rtf,P33,nma-ma,2,166.2
nma-ma.06.rtf,P35,nma-ma,2,210.4
nma-ma.06.rtf,P37,nma-ma,2,102.7
nma-ma.06.rtf,P10,nma-ma,2,264.1
nma-ma.06.rtf,P11,nma-ma,2,127.1
nma-ma.06.rtf,P14,nma-ma,2,254.3
nma-ma.06.rtf,P15,nma-ma,2,532.5
nma-ma.06.rtf,P16,nma-ma,2,361.9
nma-ma.06.rtf,P17,nma-ma,2,239.7
nma-ma.06.rtf,P18,nma-ma,2,141.8
nma-ma.06.rtf,P20,nma-ma,2,425.4
nma-ma.06.rtf,P22,nma-ma,2,397.8
nma-ma.06.rtf,P24,nma-ma,2,156
nma-ma.06.rtf,P26,nma-ma,2,231.7
nma-ma.01.rtf,P27,nma-ma,2,0
nma-ma.06.rtf,P28,nma-ma,2,352.1
nma-ma.06.rtf,P32,nma-ma,2,137
nma-ma.06.rtf,P34,nma-ma,2,200.5
nma-ma.01.rtf,P31,nma-ma,2,58.8
nma-ma.07.rtf,P01,nma-ma,2,428
nma-ma.07.rtf,P02,nma-ma,2,405.9
nma-ma.07.rtf,P03,nma-ma,2,117.4
nma-ma.07.rtf,P08,nma-ma,2,616.4
nma-ma.07.rtf,P09,nma-ma,2,342.1
nma-ma.07.rtf,P19,nma-ma,2,151.5
nma-ma.01.rtf,P20,nma-ma,2,63.6
nma-ma.07.rtf,P23,nma-ma,2,367.3
nma-ma.07.rtf,P25,nma-ma,2,776
nma-ma.01.rtf,P22,nma-ma,2,0
nma-ma.07.rtf,P27,nma-ma,2,347.3
nma-ma.07.rtf,P31,nma-ma,2,582.1
nma-ma.07.rtf,P33,nma-ma,2,127.2
nma-ma.07.rtf,P35,nma-ma,2,88
nma-ma.01.rtf,P24,nma-ma,2,0
nma-ma.07.rtf,P37,nma-ma,2,259.3
nma-ma.07.rtf,P10,nma-ma,2,151.6
nma-ma.01.rtf,P32,nma-ma,2,0
nma-ma.01.rtf,P36,nma-ma,2,0
nma-ma.07.rtf,P11,nma-ma,2,376.6
nma-ma.07.rtf,P12,nma-ma,2,293.4
nma-ma.07.rtf,P13,nma-ma,2,317.7
nma-ma.07.rtf,P15,nma-ma,2,215.1
nma-ma.07.rtf,P16,nma-ma,2,127.1
nma-ma.07.rtf,P18,nma-ma,2,97.8
nma-ma.02.rtf,P01,nma-ma,2,60.4
nma-ma.07.rtf,P20,nma-ma,2,401
nma-ma.07.rtf,P22,nma-ma,2,478.4
nma-ma.07.rtf,P24,nma-ma,2,473.4
nma-ma.07.rtf,P30,nma-ma,2,205.4
nma-ma.08.rtf,P01,nma-ma,2,240.6
nma-ma.02.rtf,P04,nma-ma,2,0
nma-ma.08.rtf,P02,nma-ma,2,117.3
nma-ma.08.rtf,P03,nma-ma,2,191
nma-ma.02.rtf,P05,nma-ma,2,0
nma-ma.02.rtf,P09,nma-ma,2,0
nma-ma.08.rtf,P05,nma-ma,2,113.3
nma-ma.08.rtf,P07,nma-ma,2,151.6
nma-ma.08.rtf,P08,nma-ma,2,391.1
nma-ma.08.rtf,P09,nma-ma,2,410.3
nma-ma.08.rtf,P19,nma-ma,2,141.8
nma-ma.08.rtf,P21,nma-ma,2,278.7
nma-ma.08.rtf,P23,nma-ma,2,397.6
nma-ma.02.rtf,P21,nma-ma,2,0
nma-ma.08.rtf,P25,nma-ma,2,151
nma-ma.08.rtf,P29,nma-ma,2,172.4
nma-ma.02.rtf,P23,nma-ma,2,0
nma-ma.02.rtf,P29,nma-ma,2,0
nma-ma.08.rtf,P31,nma-ma,2,244.6
nma-ma.02.rtf,P37,nma-ma,2,0
nma-ma.02.rtf,P12,nma-ma,2,0
nma-ma.08.rtf,P33,nma-ma,2,420.5
nma-ma.08.rtf,P35,nma-ma,2,445
nma-ma.08.rtf,P10,nma-ma,2,210.2
nma-ma.08.rtf,P11,nma-ma,2,293.3
