Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,115
P02,ma-ma.01.rtf,ma-ma,1,92
P03,ma-ma.01.rtf,ma-ma,1,151
P04,ma-ma.01.rtf,ma-ma,1,205
P05,ma-ma.01.rtf,ma-ma,1,220
P06,ma-ma.01.rtf,ma-ma,1,586
P07,ma-ma.01.rtf,ma-ma,1,176
P08,ma-ma.01.rtf,ma-ma,1,283
P09,ma-ma.01.rtf,ma-ma,1,185
P10,ma-ma.01.rtf,ma-ma,1,156
P11,ma-ma.01.rtf,ma-ma,1,393
P12,ma-ma.01.rtf,ma-ma,1,242
P13,ma-ma.01.rtf,ma-ma,1,193
P14,ma-ma.01.rtf,ma-ma,1,112
P15,ma-ma.01.rtf,ma-ma,1,78
P16,ma-ma.01.rtf,ma-ma,1,126
P17,ma-ma.01.rtf,ma-ma,1,159
P18,ma-ma.01.rtf,ma-ma,1,263
P19,ma-ma.01.rtf,ma-ma,1,161
P20,ma-ma.01.rtf,ma-ma,1,320
P21,ma-ma.01.rtf,ma-ma,1,204
P22,ma-ma.01.rtf,ma-ma,1,212
P23,ma-ma.01.rtf,ma-ma,1,317
P24,ma-ma.01.rtf,ma-ma,1,166
P25,ma-ma.01.rtf,ma-ma,1,407
P26,ma-ma.01.rtf,ma-ma,1,166
P27,ma-ma.01.rtf,ma-ma,1,146
P28,ma-ma.01.rtf,ma-ma,1,321
P29,ma-ma.01.rtf,ma-ma,1,83
P30,ma-ma.01.rtf,ma-ma,1,385
P31,ma-ma.01.rtf,ma-ma,1,220
P32,ma-ma.01.rtf,ma-ma,1,226
P33,ma-ma.01.rtf,ma-ma,1,303
P34,ma-ma.01.rtf,ma-ma,1,88
P35,ma-ma.01.rtf,ma-ma,1,258
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,175
P01,ma-ma.02.rtf,ma-ma,1,357
P02,ma-ma.02.rtf,ma-ma,1,161
P03,ma-ma.02.rtf,ma-ma,1,55
P04,ma-ma.02.rtf,ma-ma,1,117
P05,ma-ma.02.rtf,ma-ma,1,180
P06,ma-ma.02.rtf,ma-ma,1,136
P07,ma-ma.02.rtf,ma-ma,1,136
P08,ma-ma.02.rtf,ma-ma,1,268
P09,ma-ma.02.rtf,ma-ma,1,214
P10,ma-ma.02.rtf,ma-ma,1,117
P11,ma-ma.02.rtf,ma-ma,1,366
P12,ma-ma.02.rtf,ma-ma,1,210
P13,ma-ma.02.rtf,ma-ma,1,161
P14,ma-ma.02.rtf,ma-ma,1,141
P15,ma-ma.02.rtf,ma-ma,1,97
P16,ma-ma.02.rtf,ma-ma,1,136
P17,ma-ma.02.rtf,ma-ma,1,215
P18,ma-ma.02.rtf,ma-ma,1,298
P19,ma-ma.02.rtf,ma-ma,1,141
P20,ma-ma.02.rtf,ma-ma,1,185
P21,ma-ma.02.rtf,ma-ma,1,58
P22,ma-ma.02.rtf,ma-ma,1,271
P23,ma-ma.02.rtf,ma-ma,1,251
P24,ma-ma.02.rtf,ma-ma,1,186
P25,ma-ma.02.rtf,ma-ma,1,487
P26,ma-ma.02.rtf,ma-ma,1,161
P27,ma-ma.02.rtf,ma-ma,1,156
P28,ma-ma.02.rtf,ma-ma,1,107
P29,ma-ma.02.rtf,ma-ma,1,141
P30,ma-ma.02.rtf,ma-ma,1,151
P31,ma-ma.02.rtf,ma-ma,1,234
P32,ma-ma.02.rtf,ma-ma,1,215
P33,ma-ma.02.rtf,ma-ma,1,258
P34,ma-ma.02.rtf,ma-ma,1,249
P35,ma-ma.02.rtf,ma-ma,1,0
P36,ma-ma.02.rtf,ma-ma,1,171
P37,ma-ma.02.rtf,ma-ma,1,415
P01,ma-ma.03.rtf,ma-ma,1,129
P02,ma-ma.03.rtf,ma-ma,1,254
P03,ma-ma.03.rtf,ma-ma,1,73
P04,ma-ma.03.rtf,ma-ma,1,53
P05,ma-ma.03.rtf,ma-ma,1,165
P06,ma-ma.03.rtf,ma-ma,1,190
P07,ma-ma.03.rtf,ma-ma,1,63
P08,ma-ma.03.rtf,ma-ma,1,405
P09,ma-ma.03.rtf,ma-ma,1,220
P10,ma-ma.03.rtf,ma-ma,1,171
P11,ma-ma.03.rtf,ma-ma,1,278
P12,ma-ma.03.rtf,ma-ma,1,164
P13,ma-ma.03.rtf,ma-ma,1,171
P14,ma-ma.03.rtf,ma-ma,1,151
P15,ma-ma.03.rtf,ma-ma,1,171
P16,ma-ma.03.rtf,ma-ma,1,440
P17,ma-ma.03.rtf,ma-ma,1,185
P18,ma-ma.03.rtf,ma-ma,1,283
P19,ma-ma.03.rtf,ma-ma,1,136
P20,ma-ma.03.rtf,ma-ma,1,229
P21,ma-ma.03.rtf,ma-ma,1,58
P22,ma-ma.03.rtf,ma-ma,1,186
P23,ma-ma.03.rtf,ma-ma,1,563
P24,ma-ma.03.rtf,ma-ma,1,233
P25,ma-ma.03.rtf,ma-ma,1,709
P26,ma-ma.03.rtf,ma-ma,1,55
P27,ma-ma.03.rtf,ma-ma,1,145
P28,ma-ma.03.rtf,ma-ma,1,102
P29,ma-ma.03.rtf,ma-ma,1,161
P30,ma-ma.03.rtf,ma-ma,1,263
P31,ma-ma.03.rtf,ma-ma,1,127
P32,ma-ma.03.rtf,ma-ma,1,224
P33,ma-ma.03.rtf,ma-ma,1,316
P34,ma-ma.03.rtf,ma-ma,1,272
P35,ma-ma.03.rtf,ma-ma,1,151
P36,ma-ma.03.rtf,ma-ma,1,174
P37,ma-ma.03.rtf,ma-ma,1,151
P01,ma-ma.04.rtf,ma-ma,1,332
P02,ma-ma.04.rtf,ma-ma,1,224
P03,ma-ma.04.rtf,ma-ma,1,0
P04,ma-ma.04.rtf,ma-ma,1,126
P05,ma-ma.04.rtf,ma-ma,1,205
P06,ma-ma.04.rtf,ma-ma,1,176
P07,ma-ma.04.rtf,ma-ma,1,176
P08,ma-ma.04.rtf,ma-ma,1,185
P09,ma-ma.04.rtf,ma-ma,1,205
P10,ma-ma.04.rtf,ma-ma,1,219
P11,ma-ma.04.rtf,ma-ma,1,357
P12,ma-ma.04.rtf,ma-ma,1,239
P13,ma-ma.04.rtf,ma-ma,1,215
P14,ma-ma.04.rtf,ma-ma,1,112
P15,ma-ma.04.rtf,ma-ma,1,146
P16,ma-ma.04.rtf,ma-ma,1,88
P17,ma-ma.04.rtf,ma-ma,1,175
P18,ma-ma.04.rtf,ma-ma,1,381
