Stimulus,Participant,condition,semantic,RT
ma-ma.01.rtf,P02,ma-ma,1,117.2
ma-ma.02.rtf,P02,ma-ma,1,0
ma-ma.01.rtf,P03,ma-ma,1,641.7
ma-ma.01.rtf,P04,ma-ma,1,562.6
ma-ma.01.rtf,P05,ma-ma,1,176.1
ma-ma.01.rtf,P07,ma-ma,1,269
ma-ma.01.rtf,P08,ma-ma,1,298.3
ma-ma.01.rtf,P09,ma-ma,1,278.7
ma-ma.01.rtf,P19,ma-ma,1,757.4
ma-ma.01.rtf,P21,ma-ma,1,992.6
ma-ma.01.rtf,P23,ma-ma,1,911.2
ma-ma.01.rtf,P25,ma-ma,1,467.6
ma-ma.01.rtf,P27,ma-ma,1,425.6
ma-ma.01.rtf,P29,ma-ma,1,401.9
ma-ma.01.rtf,P31,ma-ma,1,860.6
ma-ma.03.rtf,P20,ma-ma,1,78.3
ma-ma.01.rtf,P33,ma-ma,1,293.4
ma-ma.01.rtf,P35,ma-ma,1,381.5
ma-ma.01.rtf,P37,ma-ma,1,449.9
ma-ma.01.rtf,P10,ma-ma,1,244.5
ma-ma.01.rtf,P11,ma-ma,1,396.1
ma-ma.01.rtf,P12,ma-ma,1,645.2
ma-ma.01.rtf,P13,ma-ma,1,415.7
ma-ma.01.rtf,P14,ma-ma,1,1017.3
ma-ma.01.rtf,P15,ma-ma,1,665
ma-ma.01.rtf,P16,ma-ma,1,112.3
ma-ma.01.rtf,P17,ma-ma,1,220.2
ma-ma.01.rtf,P18,ma-ma,1,537.8
ma-ma.01.rtf,P20,ma-ma,1,283.5
ma-ma.01.rtf,P22,ma-ma,1,563.7
ma-ma.01.rtf,P24,ma-ma,1,322.2
ma-ma.01.rtf,P26,ma-ma,1,186.3
ma-ma.01.rtf,P28,ma-ma,1,205.5
ma-ma.01.rtf,P30,ma-ma,1,616.2
ma-ma.01.rtf,P32,ma-ma,1,885.2
ma-ma.01.rtf,P34,ma-ma,1,137
ma-ma.01.rtf,P36,ma-ma,1,151.7
ma-ma.02.rtf,P01,ma-ma,1,674.5
ma-ma.03.rtf,P36,ma-ma,1,53.7
ma-ma.02.rtf,P03,ma-ma,1,366.8
ma-ma.02.rtf,P04,ma-ma,1,269
ma-ma.04.rtf,P04,ma-ma,1,0
ma-ma.02.rtf,P05,ma-ma,1,821.5
ma-ma.02.rtf,P07,ma-ma,1,650.3
ma-ma.04.rtf,P22,ma-ma,1,75.5
ma-ma.02.rtf,P09,ma-ma,1,430.2
ma-ma.02.rtf,P19,ma-ma,1,611.4
ma-ma.02.rtf,P27,ma-ma,1,161.4
ma-ma.02.rtf,P29,ma-ma,1,1002.5
ma-ma.02.rtf,P31,ma-ma,1,352.1
ma-ma.02.rtf,P33,ma-ma,1,591.6
ma-ma.02.rtf,P35,ma-ma,1,161.4
ma-ma.02.rtf,P37,ma-ma,1,547.8
ma-ma.02.rtf,P10,ma-ma,1,503.6
ma-ma.02.rtf,P11,ma-ma,1,836.2
ma-ma.02.rtf,P13,ma-ma,1,372.1
ma-ma.02.rtf,P16,ma-ma,1,185.8
ma-ma.02.rtf,P17,ma-ma,1,254.3
ma-ma.02.rtf,P18,ma-ma,1,357
ma-ma.02.rtf,P20,ma-ma,1,195.6
ma-ma.02.rtf,P22,ma-ma,1,649.2
ma-ma.02.rtf,P24,ma-ma,1,141.2
ma-ma.02.rtf,P26,ma-ma,1,951.4
ma-ma.02.rtf,P28,ma-ma,1,484
ma-ma.02.rtf,P30,ma-ma,1,498.8
ma-ma.02.rtf,P32,ma-ma,1,748.1
ma-ma.02.rtf,P34,ma-ma,1,146.7
ma-ma.02.rtf,P36,ma-ma,1,161.3
ma-ma.03.rtf,P01,ma-ma,1,402.8
ma-ma.03.rtf,P02,ma-ma,1,259.2
ma-ma.03.rtf,P03,ma-ma,1,116.7
ma-ma.03.rtf,P04,ma-ma,1,366.7
ma-ma.03.rtf,P05,ma-ma,1,557.5
ma-ma.03.rtf,P06,ma-ma,1,1002.5
ma-ma.03.rtf,P07,ma-ma,1,523.2
ma-ma.03.rtf,P09,ma-ma,1,273.9
ma-ma.03.rtf,P19,ma-ma,1,728.6
ma-ma.03.rtf,P23,ma-ma,1,347.2
ma-ma.03.rtf,P27,ma-ma,1,405.8
ma-ma.03.rtf,P31,ma-ma,1,665.8
ma-ma.03.rtf,P33,ma-ma,1,318
ma-ma.03.rtf,P35,ma-ma,1,337.4
ma-ma.03.rtf,P37,ma-ma,1,909.4
ma-ma.04.rtf,P36,ma-ma,1,0
ma-ma.03.rtf,P10,ma-ma,1,225
ma-ma.03.rtf,P11,ma-ma,1,577
ma-ma.03.rtf,P12,ma-ma,1,870.4
ma-ma.03.rtf,P13,ma-ma,1,968.3
ma-ma.03.rtf,P16,ma-ma,1,205.4
ma-ma.03.rtf,P17,ma-ma,1,254.6
ma-ma.03.rtf,P18,ma-ma,1,449.9
ma-ma.03.rtf,P22,ma-ma,1,583.8
ma-ma.06.rtf,P36,ma-ma,1,0
ma-ma.03.rtf,P24,ma-ma,1,674.5
ma-ma.03.rtf,P26,ma-ma,1,629.5
ma-ma.03.rtf,P28,ma-ma,1,273.8
ma-ma.03.rtf,P30,ma-ma,1,895.1
ma-ma.03.rtf,P32,ma-ma,1,728.7
ma-ma.03.rtf,P34,ma-ma,1,176.1
ma-ma.04.rtf,P01,ma-ma,1,473.3
ma-ma.04.rtf,P02,ma-ma,1,581.9
ma-ma.04.rtf,P03,ma-ma,1,190.7
ma-ma.04.rtf,P05,ma-ma,1,180.9
ma-ma.04.rtf,P07,ma-ma,1,161.3
ma-ma.04.rtf,P08,ma-ma,1,215.2
ma-ma.04.rtf,P09,ma-ma,1,616.2
ma-ma.04.rtf,P21,ma-ma,1,513.5
ma-ma.04.rtf,P23,ma-ma,1,312.1
ma-ma.07.rtf,P03,ma-ma,1,68.4
ma-ma.08.rtf,P17,ma-ma,1,0
ma-ma.04.rtf,P25,ma-ma,1,427.9
ma-ma.04.rtf,P27,ma-ma,1,136.8
ma-ma.04.rtf,P29,ma-ma,1,370.6
ma-ma.04.rtf,P31,ma-ma,1,215.2
ma-ma.04.rtf,P33,ma-ma,1,283.6
ma-ma.04.rtf,P35,ma-ma,1,459.8
ma-ma.04.rtf,P10,ma-ma,1,166.9
ma-ma.04.rtf,P11,ma-ma,1,709.1
ma-ma.04.rtf,P12,ma-ma,1,528
ma-ma.04.rtf,P13,ma-ma,1,269
ma-ma.09.rtf,P05,ma-ma,1,0
ma-ma.04.rtf,P14,ma-ma,1,699.2
ma-ma.04.rtf,P15,ma-ma,1,792.1
ma-ma.04.rtf,P16,ma-ma,1,146.7
ma-ma.04.rtf,P17,ma-ma,1,357
ma-ma.04.rtf,P18,ma-ma,1,396.1
ma-ma.04.rtf,P20,ma-ma,1,264
ma-ma.04.rtf,P24,ma-ma,1,337.2
ma-ma.09.rtf,P24,ma-ma,1,0
ma-ma.10.rtf,P07,ma-ma,1,0
ma-ma.04.rtf,P26,ma-ma,1,528.7
ma-ma.04.rtf,P28,ma-ma,1,170.8
ma-ma.04.rtf,P30,ma-ma,1,626
ma-ma.04.rtf,P34,ma-ma,1,141.8
ma-ma.05.rtf,P01,ma-ma,1,770.3
ma-ma.05.rtf,P03,ma-ma,1,186.2
ma-ma.05.rtf,P04,ma-ma,1,376.6
ma-ma.05.rtf,P05,ma-ma,1,474.7
ma-ma.05.rtf,P06,ma-ma,1,1012
ma-ma.05.rtf,P07,ma-ma,1,361.8
ma-ma.05.rtf,P08,ma-ma,1,885.7
ma-ma.05.rtf,P09,ma-ma,1,273.9
ma-ma.05.rtf,P19,ma-ma,1,606.4
ma-ma.05.rtf,P21,ma-ma,1,787.5
ma-ma.05.rtf,P23,ma-ma,1,1153.3
ma-ma.05.rtf,P25,ma-ma,1,1172.9
ma-ma.05.rtf,P27,ma-ma,1,464.6
ma-ma.10.rtf,P21,ma-ma,1,0
ma-ma.10.rtf,P31,ma-ma,1,0
ma-ma.05.rtf,P29,ma-ma,1,968.3
ma-ma.05.rtf,P31,ma-ma,1,694.5
ma-ma.05.rtf,P33,ma-ma,1,938.8
ma-ma.05.rtf,P35,ma-ma,1,259.1
