Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,649
P02,ma-ma.01.rtf,ma-ma,2,1,176
P03,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,318
P05,ma-ma.01.rtf,ma-ma,2,1,0
P07,ma-ma.01.rtf,ma-ma,2,1,0
P08,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,308
P14,ma-ma.01.rtf,ma-ma,2,1,391
P15,ma-ma.01.rtf,ma-ma,2,1,616
P16,ma-ma.01.rtf,ma-ma,2,1,107
P17,ma-ma.01.rtf,ma-ma,2,1,846
P18,ma-ma.01.rtf,ma-ma,2,1,0
P19,ma-ma.01.rtf,ma-ma,2,1,327
P20,ma-ma.01.rtf,ma-ma,2,1,0
P21,ma-ma.01.rtf,ma-ma,2,1,1100
P22,ma-ma.01.rtf,ma-ma,2,1,151
P23,ma-ma.01.rtf,ma-ma,2,1,115
P24,ma-ma.01.rtf,ma-ma,2,1,463
P25,ma-ma.01.rtf,ma-ma,2,1,297
P26,ma-ma.01.rtf,ma-ma,2,1,135
P27,ma-ma.01.rtf,ma-ma,2,1,430
P28,ma-ma.01.rtf,ma-ma,2,1,337
P29,ma-ma.01.rtf,ma-ma,2,1,0
P30,ma-ma.01.rtf,ma-ma,2,1,405
P31,ma-ma.01.rtf,ma-ma,2,1,787
P32,ma-ma.01.rtf,ma-ma,2,1,542
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,254
P35,ma-ma.01.rtf,ma-ma,2,1,68
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,185
P01,ma-ma.02.rtf,ma-ma,2,1,297
P02,ma-ma.02.rtf,ma-ma,2,1,792
P03,ma-ma.02.rtf,ma-ma,2,1,474
P04,ma-ma.02.rtf,ma-ma,2,1,234
P05,ma-ma.02.rtf,ma-ma,2,1,396
P07,ma-ma.02.rtf,ma-ma,2,1,0
P08,ma-ma.02.rtf,ma-ma,2,1,639
P09,ma-ma.02.rtf,ma-ma,2,1,146
P10,ma-ma.02.rtf,ma-ma,2,1,88
P11,ma-ma.02.rtf,ma-ma,2,1,234
P12,ma-ma.02.rtf,ma-ma,2,1,1066
P13,ma-ma.02.rtf,ma-ma,2,1,180
P16,ma-ma.02.rtf,ma-ma,2,1,122
P17,ma-ma.02.rtf,ma-ma,2,1,0
P18,ma-ma.02.rtf,ma-ma,2,1,0
P19,ma-ma.02.rtf,ma-ma,2,1,205
P20,ma-ma.02.rtf,ma-ma,2,1,0
P21,ma-ma.02.rtf,ma-ma,2,1,988
P22,ma-ma.02.rtf,ma-ma,2,1,513
P23,ma-ma.02.rtf,ma-ma,2,1,473
P24,ma-ma.02.rtf,ma-ma,2,1,433
P26,ma-ma.02.rtf,ma-ma,2,1,0
P27,ma-ma.02.rtf,ma-ma,2,1,0
P28,ma-ma.02.rtf,ma-ma,2,1,0
P29,ma-ma.02.rtf,ma-ma,2,1,513
P30,ma-ma.02.rtf,ma-ma,2,1,259
P31,ma-ma.02.rtf,ma-ma,2,1,596
P32,ma-ma.02.rtf,ma-ma,2,1,303
P33,ma-ma.02.rtf,ma-ma,2,1,0
P34,ma-ma.02.rtf,ma-ma,2,1,78
P35,ma-ma.02.rtf,ma-ma,2,1,0
P36,ma-ma.02.rtf,ma-ma,2,1,249
P37,ma-ma.02.rtf,ma-ma,2,1,264
P01,ma-ma.03.rtf,ma-ma,2,1,569
P02,ma-ma.03.rtf,ma-ma,2,1,523
P03,ma-ma.03.rtf,ma-ma,2,1,78
P04,ma-ma.03.rtf,ma-ma,2,1,567
P05,ma-ma.03.rtf,ma-ma,2,1,180
P06,ma-ma.03.rtf,ma-ma,2,1,283
P07,ma-ma.03.rtf,ma-ma,2,1,273
P08,ma-ma.03.rtf,ma-ma,2,1,518
P09,ma-ma.03.rtf,ma-ma,2,1,0
P10,ma-ma.03.rtf,ma-ma,2,1,0
P11,ma-ma.03.rtf,ma-ma,2,1,459
P13,ma-ma.03.rtf,ma-ma,2,1,362
P14,ma-ma.03.rtf,ma-ma,2,1,322
P15,ma-ma.03.rtf,ma-ma,2,1,1027
P16,ma-ma.03.rtf,ma-ma,2,1,146
P17,ma-ma.03.rtf,ma-ma,2,1,0
P18,ma-ma.03.rtf,ma-ma,2,1,0
P19,ma-ma.03.rtf,ma-ma,2,1,571
P20,ma-ma.03.rtf,ma-ma,2,1,694
P21,ma-ma.03.rtf,ma-ma,2,1,73
P22,ma-ma.03.rtf,ma-ma,2,1,176
P23,ma-ma.03.rtf,ma-ma,2,1,428
P24,ma-ma.03.rtf,ma-ma,2,1,251
P25,ma-ma.03.rtf,ma-ma,2,1,741
P26,ma-ma.03.rtf,ma-ma,2,1,156
P27,ma-ma.03.rtf,ma-ma,2,1,161
P28,ma-ma.03.rtf,ma-ma,2,1,0
P29,ma-ma.03.rtf,ma-ma,2,1,860
P30,ma-ma.03.rtf,ma-ma,2,1,611
P31,ma-ma.03.rtf,ma-ma,2,1,474
P32,ma-ma.03.rtf,ma-ma,2,1,552
P33,ma-ma.03.rtf,ma-ma,2,1,0
P34,ma-ma.03.rtf,ma-ma,2,1,0
P35,ma-ma.03.rtf,ma-ma,2,1,425
P36,ma-ma.03.rtf,ma-ma,2,1,0
P37,ma-ma.03.rtf,ma-ma,2,1,264
P01,ma-ma.04.rtf,ma-ma,2,1,236
P02,ma-ma.04.rtf,ma-ma,2,1,0
P03,ma-ma.04.rtf,ma-ma,2,1,0
