Participant,Stimulus,condition,parallel,semantic,RT
P01,ma-ma.01.rtf,ma-ma,2,1,246
P02,ma-ma.01.rtf,ma-ma,2,1,171
P03,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,176
P05,ma-ma.01.rtf,ma-ma,2,1,249
P06,ma-ma.01.rtf,ma-ma,2,1,210
P07,ma-ma.01.rtf,ma-ma,2,1,327
P08,ma-ma.01.rtf,ma-ma,2,1,190
P09,ma-ma.01.rtf,ma-ma,2,1,264
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,410
P12,ma-ma.01.rtf,ma-ma,2,1,929
P13,ma-ma.01.rtf,ma-ma,2,1,146
P14,ma-ma.01.rtf,ma-ma,2,1,278
P15,ma-ma.01.rtf,ma-ma,2,1,366
P16,ma-ma.01.rtf,ma-ma,2,1,132
P17,ma-ma.01.rtf,ma-ma,2,1,445
P18,ma-ma.01.rtf,ma-ma,2,1,273
P19,ma-ma.01.rtf,ma-ma,2,1,127
P20,ma-ma.01.rtf,ma-ma,2,1,259
P21,ma-ma.01.rtf,ma-ma,2,1,668
P22,ma-ma.01.rtf,ma-ma,2,1,261
P23,ma-ma.01.rtf,ma-ma,2,1,553
P24,ma-ma.01.rtf,ma-ma,2,1,161
P25,ma-ma.01.rtf,ma-ma,2,1,261
P26,ma-ma.01.rtf,ma-ma,2,1,211
P27,ma-ma.01.rtf,ma-ma,2,1,215
P28,ma-ma.01.rtf,ma-ma,2,1,92
P29,ma-ma.01.rtf,ma-ma,2,1,313
P30,ma-ma.01.rtf,ma-ma,2,1,215
P31,ma-ma.01.rtf,ma-ma,2,1,361
P32,ma-ma.01.rtf,ma-ma,2,1,107
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,210
P35,ma-ma.01.rtf,ma-ma,2,1,78
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,317
P01,ma-ma.02.rtf,ma-ma,2,1,246
P02,ma-ma.02.rtf,ma-ma,2,1,1022
