Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,372
P02,ma-ma.01.rtf,ma-ma,1,117
P03,ma-ma.01.rtf,ma-ma,1,141
P04,ma-ma.01.rtf,ma-ma,1,171
P05,ma-ma.01.rtf,ma-ma,1,176
P06,ma-ma.01.rtf,ma-ma,1,503
P07,ma-ma.01.rtf,ma-ma,1,269
P08,ma-ma.01.rtf,ma-ma,1,141
P09,ma-ma.01.rtf,ma-ma,1,278
P10,ma-ma.01.rtf,ma-ma,1,244
P11,ma-ma.01.rtf,ma-ma,1,396
P12,ma-ma.01.rtf,ma-ma,1,263
P13,ma-ma.01.rtf,ma-ma,1,205
P14,ma-ma.01.rtf,ma-ma,1,293
P15,ma-ma.01.rtf,ma-ma,1,244
P16,ma-ma.01.rtf,ma-ma,1,112
P17,ma-ma.01.rtf,ma-ma,1,88
P18,ma-ma.01.rtf,ma-ma,1,376
P19,ma-ma.01.rtf,ma-ma,1,167
P20,ma-ma.01.rtf,ma-ma,1,136
P21,ma-ma.01.rtf,ma-ma,1,224
P22,ma-ma.01.rtf,ma-ma,1,337
P23,ma-ma.01.rtf,ma-ma,1,271
P24,ma-ma.01.rtf,ma-ma,1,171
P25,ma-ma.01.rtf,ma-ma,1,190
P26,ma-ma.01.rtf,ma-ma,1,186
P27,ma-ma.01.rtf,ma-ma,1,161
P28,ma-ma.01.rtf,ma-ma,1,205
P29,ma-ma.01.rtf,ma-ma,1,171
P30,ma-ma.01.rtf,ma-ma,1,420
P31,ma-ma.01.rtf,ma-ma,1,264
P32,ma-ma.01.rtf,ma-ma,1,156
P33,ma-ma.01.rtf,ma-ma,1,293
P34,ma-ma.01.rtf,ma-ma,1,137
P35,ma-ma.01.rtf,ma-ma,1,249
P36,ma-ma.01.rtf,ma-ma,1,151
P37,ma-ma.01.rtf,ma-ma,1,180
P01,ma-ma.02.rtf,ma-ma,1,80
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,53
P04,ma-ma.02.rtf,ma-ma,1,190
P05,ma-ma.02.rtf,ma-ma,1,122
P06,ma-ma.02.rtf,ma-ma,1,405
P07,ma-ma.02.rtf,ma-ma,1,141
P08,ma-ma.02.rtf,ma-ma,1,596
P09,ma-ma.02.rtf,ma-ma,1,185
P10,ma-ma.02.rtf,ma-ma,1,278
P11,ma-ma.02.rtf,ma-ma,1,523
P12,ma-ma.02.rtf,ma-ma,1,254
P13,ma-ma.02.rtf,ma-ma,1,225
P14,ma-ma.02.rtf,ma-ma,1,72
P15,ma-ma.02.rtf,ma-ma,1,195
