item,subject,condition,semantic,RT
ma-ma.01,1,ma-ma,1,372
ma-ma.01,2,ma-ma,1,117
ma-ma.01,3,ma-ma,1,141
ma-ma.01,4,ma-ma,1,689.7
ma-ma.01,5,ma-ma,1,176
ma-ma.01,7,ma-ma,1,269
ma-ma.01,8,ma-ma,1,621
ma-ma.01,9,ma-ma,1,278
ma-ma.01,10,ma-ma,1,244
ma-ma.01,11,ma-ma,1,396
ma-ma.01,12,ma-ma,1,1124.7
ma-ma.01,13,ma-ma,1,205
ma-ma.01,15,ma-ma,1,244
ma-ma.01,16,ma-ma,1,112
ma-ma.01,17,ma-ma,1,489.2
ma-ma.01,18,ma-ma,1,376
ma-ma.01,19,ma-ma,1,167
ma-ma.01,20,ma-ma,1,581.5
ma-ma.01,21,ma-ma,1,224
ma-ma.01,22,ma-ma,1,337
ma-ma.01,23,ma-ma,1,271
ma-ma.01,24,ma-ma,1,715.4
ma-ma.01,25,ma-ma,1,190
ma-ma.01,26,ma-ma,1,186
ma-ma.01,27,ma-ma,1,557.5
ma-ma.01,28,ma-ma,1,205
ma-ma.01,29,ma-ma,1,454.9
ma-ma.01,30,ma-ma,1,489.1
ma-ma.01,31,ma-ma,1,694.4
ma-ma.01,32,ma-ma,1,156
ma-ma.01,33,ma-ma,1,293
ma-ma.01,34,ma-ma,1,137
ma-ma.01,35,ma-ma,1,249
ma-ma.01,36,ma-ma,1,151
ma-ma.02,1,ma-ma,1,80
ma-ma.02,2,ma-ma,1,0
ma-ma.02,3,ma-ma,1,53
ma-ma.02,4,ma-ma,1,190
ma-ma.02,5,ma-ma,1,753.1
ma-ma.02,6,ma-ma,1,703.9
ma-ma.02,7,ma-ma,1,141
ma-ma.02,8,ma-ma,1,596
ma-ma.02,9,ma-ma,1,185
ma-ma.02,10,ma-ma,1,733.3
ma-ma.02,11,ma-ma,1,1041.6
ma-ma.02,12,ma-ma,1,254
ma-ma.02,13,ma-ma,1,225
ma-ma.02,14,ma-ma,1,830.9
ma-ma.02,15,ma-ma,1,195
ma-ma.02,16,ma-ma,1,185
ma-ma.02,17,ma-ma,1,185
ma-ma.02,18,ma-ma,1,357
ma-ma.02,19,ma-ma,1,73
ma-ma.02,20,ma-ma,1,195
ma-ma.02,21,ma-ma,1,445.1
ma-ma.02,22,ma-ma,1,392
ma-ma.02,23,ma-ma,1,347
ma-ma.02,24,ma-ma,1,554.1
ma-ma.02,25,ma-ma,1,608
ma-ma.02,26,ma-ma,1,276
ma-ma.02,27,ma-ma,1,161
ma-ma.02,28,ma-ma,1,347.2
ma-ma.02,30,ma-ma,1,171
ma-ma.02,31,ma-ma,1,352
ma-ma.02,32,ma-ma,1,435
ma-ma.02,33,ma-ma,1,229
ma-ma.02,34,ma-ma,1,146
ma-ma.02,35,ma-ma,1,821.2
ma-ma.02,36,ma-ma,1,161
ma-ma.02,37,ma-ma,1,758
ma-ma.03,1,ma-ma,1,206
ma-ma.03,2,ma-ma,1,317.9
ma-ma.03,3,ma-ma,1,116
ma-ma.03,4,ma-ma,1,73
ma-ma.03,5,ma-ma,1,884
ma-ma.03,6,ma-ma,1,445
ma-ma.03,7,ma-ma,1,557.4
ma-ma.03,8,ma-ma,1,288
ma-ma.03,9,ma-ma,1,273
ma-ma.03,10,ma-ma,1,225
