Participant,Stimulus,condition,parallel,semantic,RT
P30,ma-ma.03.rtf,ma-ma,2,1,440
P31,ma-ma.03.rtf,ma-ma,2,1,0
P32,ma-ma.03.rtf,ma-ma,2,1,190
P33,ma-ma.03.rtf,ma-ma,2,1,298
P34,ma-ma.03.rtf,ma-ma,2,1,0
P35,ma-ma.03.rtf,ma-ma,2,1,98
P36,ma-ma.03.rtf,ma-ma,2,1,0
P37,ma-ma.03.rtf,ma-ma,2,1,0
P01,ma-ma.04.rtf,ma-ma,2,1,145
P02,ma-ma.04.rtf,ma-ma,2,1,0
P03,ma-ma.04.rtf,ma-ma,2,1,0
P04,ma-ma.04.rtf,ma-ma,2,1,0
P05,ma-ma.04.rtf,ma-ma,2,1,0
P06,ma-ma.04.rtf,ma-ma,2,1,0
P07,ma-ma.04.rtf,ma-ma,2,1,127
P08,ma-ma.04.rtf,ma-ma,2,1,0
P09,ma-ma.04.rtf,ma-ma,2,1,0
P10,ma-ma.04.rtf,ma-ma,2,1,0
P11,ma-ma.04.rtf,ma-ma,2,1,0
P12,ma-ma.04.rtf,ma-ma,2,1,0
P13,ma-ma.04.rtf,ma-ma,2,1,0
P14,ma-ma.04.rtf,ma-ma,2,1,973
P15,ma-ma.04.rtf,ma-ma,2,1,415
P16,ma-ma.04.rtf,ma-ma,2,1,0
P17,ma-ma.04.rtf,ma-ma,2,1,0
P18,ma-ma.04.rtf,ma-ma,2,1,0
P19,ma-ma.04.rtf,ma-ma,2,1,225
P20,ma-ma.04.rtf,ma-ma,2,1,0
P21,ma-ma.04.rtf,ma-ma,2,1,645
P22,ma-ma.04.rtf,ma-ma,2,1,135
P23,ma-ma.04.rtf,ma-ma,2,1,0
P24,ma-ma.04.rtf,ma-ma,2,1,0
P25,ma-ma.04.rtf,ma-ma,2,1,0
P26,ma-ma.04.rtf,ma-ma,2,1,488
P27,ma-ma.04.rtf,ma-ma,2,1,0
P28,ma-ma.04.rtf,ma-ma,2,1,0
P29,ma-ma.04.rtf,ma-ma,2,1,132
P30,ma-ma.04.rtf,ma-ma,2,1,0
P31,ma-ma.04.rtf,ma-ma,2,1,112
P32,ma-ma.04.rtf,ma-ma,2,1,0
P33,ma-ma.04.rtf,ma-ma,2,1,0
P34,ma-ma.04.rtf,ma-ma,2,1,0
P35,ma-ma.04.rtf,ma-ma,2,1,0
P36,ma-ma.04.rtf,ma-ma,2,1,0
P37,ma-ma.04.rtf,ma-ma,2,1,0
P01,ma-ma.05.rtf,ma-ma,2,1,171
P02,ma-ma.05.rtf,ma-ma,2,1,0
P03,ma-ma.05.rtf,ma-ma,2,1,0
P04,ma-ma.05.rtf,ma-ma,2,1,0
P05,ma-ma.05.rtf,ma-ma,2,1,0
P06,ma-ma.05.rtf,ma-ma,2,1,102
P07,ma-ma.05.rtf,ma-ma,2,1,796
P08,ma-ma.05.rtf,ma-ma,2,1,0
P09,ma-ma.05.rtf,ma-ma,2,1,0
P10,ma-ma.05.rtf,ma-ma,2,1,0
P11,ma-ma.05.rtf,ma-ma,2,1,234
P12,ma-ma.05.rtf,ma-ma,2,1,0
P13,ma-ma.05.rtf,ma-ma,2,1,0
P14,ma-ma.05.rtf,ma-ma,2,1,420
P15,ma-ma.05.rtf,ma-ma,2,1,586
P16,ma-ma.05.rtf,ma-ma,2,1,175
P17,ma-ma.05.rtf,ma-ma,2,1,0
P18,ma-ma.05.rtf,ma-ma,2,1,533
P19,ma-ma.05.rtf,ma-ma,2,1,137
P20,ma-ma.05.rtf,ma-ma,2,1,0
P21,ma-ma.05.rtf,ma-ma,2,1,0
P22,ma-ma.05.rtf,ma-ma,2,1,0
P23,ma-ma.05.rtf,ma-ma,2,1,0
P24,ma-ma.05.rtf,ma-ma,2,1,0
P25,ma-ma.05.rtf,ma-ma,2,1,568
P26,ma-ma.05.rtf,ma-ma,2,1,0
P27,ma-ma.05.rtf,ma-ma,2,1,0
P28,ma-ma.05.rtf,ma-ma,2,1,229
P29,ma-ma.05.rtf,ma-ma,2,1,537
P30,ma-ma.05.rtf,ma-ma,2,1,0
P31,ma-ma.05.rtf,ma-ma,2,1,298
P32,ma-ma.05.rtf,ma-ma,2,1,562
P33,ma-ma.05.rtf,ma-ma,2,1,352
P34,ma-ma.05.rtf,ma-ma,2,1,547
P35,ma-ma.05.rtf,ma-ma,2,1,356
P36,ma-ma.05.rtf,ma-ma,2,1,0
P37,ma-ma.05.rtf,ma-ma,2,1,166
P01,ma-ma.06.rtf,ma-ma,2,1,352
P02,ma-ma.06.rtf,ma-ma,2,1,0
P03,ma-ma.06.rtf,ma-ma,2,1,0
