Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,1002
P02,ma-ma.01.rtf,ma-ma,1,0
P03,ma-ma.01.rtf,ma-ma,1,499
P04,ma-ma.01.rtf,ma-ma,1,391
P05,ma-ma.01.rtf,ma-ma,1,0
P07,ma-ma.01.rtf,ma-ma,1,0
P08,ma-ma.01.rtf,ma-ma,1,156
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,0
P11,ma-ma.01.rtf,ma-ma,1,0
P12,ma-ma.01.rtf,ma-ma,1,381
P13,ma-ma.01.rtf,ma-ma,1,210
P14,ma-ma.01.rtf,ma-ma,1,723
P15,ma-ma.01.rtf,ma-ma,1,420
P16,ma-ma.01.rtf,ma-ma,1,0
P17,ma-ma.01.rtf,ma-ma,1,132
P18,ma-ma.01.rtf,ma-ma,1,161
P19,ma-ma.01.rtf,ma-ma,1,590
P20,ma-ma.01.rtf,ma-ma,1,146
P21,ma-ma.01.rtf,ma-ma,1,767
P22,ma-ma.01.rtf,ma-ma,1,226
P23,ma-ma.01.rtf,ma-ma,1,639
P24,ma-ma.01.rtf,ma-ma,1,151
P25,ma-ma.01.rtf,ma-ma,1,276
P26,ma-ma.01.rtf,ma-ma,1,0
P27,ma-ma.01.rtf,ma-ma,1,264
P28,ma-ma.01.rtf,ma-ma,1,0
P29,ma-ma.01.rtf,ma-ma,1,230
P30,ma-ma.01.rtf,ma-ma,1,195
P31,ma-ma.01.rtf,ma-ma,1,596
P32,ma-ma.01.rtf,ma-ma,1,728
P33,ma-ma.01.rtf,ma-ma,1,0
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,132
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,268
P01,ma-ma.02.rtf,ma-ma,1,593
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,313
P04,ma-ma.02.rtf,ma-ma,1,78
P05,ma-ma.02.rtf,ma-ma,1,699
P07,ma-ma.02.rtf,ma-ma,1,508
P08,ma-ma.02.rtf,ma-ma,1,792
P09,ma-ma.02.rtf,ma-ma,1,244
P10,ma-ma.02.rtf,ma-ma,1,225
P11,ma-ma.02.rtf,ma-ma,1,312
P13,ma-ma.02.rtf,ma-ma,1,147
P16,ma-ma.02.rtf,ma-ma,1,0
P17,ma-ma.02.rtf,ma-ma,1,68
P18,ma-ma.02.rtf,ma-ma,1,0
P19,ma-ma.02.rtf,ma-ma,1,537
P20,ma-ma.02.rtf,ma-ma,1,0
P22,ma-ma.02.rtf,ma-ma,1,256
P23,ma-ma.02.rtf,ma-ma,1,1142
P24,ma-ma.02.rtf,ma-ma,1,0
P25,ma-ma.02.rtf,ma-ma,1,785
P26,ma-ma.02.rtf,ma-ma,1,674
P27,ma-ma.02.rtf,ma-ma,1,0
P28,ma-ma.02.rtf,ma-ma,1,273
P29,ma-ma.02.rtf,ma-ma,1,816
P30,ma-ma.02.rtf,ma-ma,1,327
P31,ma-ma.02.rtf,ma-ma,1,0
P32,ma-ma.02.rtf,ma-ma,1,312
P33,ma-ma.02.rtf,ma-ma,1,361
P34,ma-ma.02.rtf,ma-ma,1,0
P35,ma-ma.02.rtf,ma-ma,1,73
P36,ma-ma.02.rtf,ma-ma,1,0
P37,ma-ma.02.rtf,ma-ma,1,210
P01,ma-ma.03.rtf,ma-ma,1,196
P02,ma-ma.03.rtf,ma-ma,1,0
P03,ma-ma.03.rtf,ma-ma,1,0
P04,ma-ma.03.rtf,ma-ma,1,293
P05,ma-ma.03.rtf,ma-ma,1,313
P06,ma-ma.03.rtf,ma-ma,1,753
P07,ma-ma.03.rtf,ma-ma,1,278
P08,ma-ma.03.rtf,ma-ma,1,1095
P09,ma-ma.03.rtf,ma-ma,1,0
P10,ma-ma.03.rtf,ma-ma,1,0
P11,ma-ma.03.rtf,ma-ma,1,200
P12,ma-ma.03.rtf,ma-ma,1,542
P13,ma-ma.03.rtf,ma-ma,1,415
P16,ma-ma.03.rtf,ma-ma,1,0
P17,ma-ma.03.rtf,ma-ma,1,0
P18,ma-ma.03.rtf,ma-ma,1,308
P19,ma-ma.03.rtf,ma-ma,1,498
P20,ma-ma.03.rtf,ma-ma,1,0
P21,ma-ma.03.rtf,ma-ma,1,983
P22,ma-ma.03.rtf,ma-ma,1,317
P23,ma-ma.03.rtf,ma-ma,1,246
P24,ma-ma.03.rtf,ma-ma,1,407
P25,ma-ma.03.rtf,ma-ma,1,1092
P26,ma-ma.03.rtf,ma-ma,1,438
P27,ma-ma.03.rtf,ma-ma,1,210
P28,ma-ma.03.rtf,ma-ma,1,68
P29,ma-ma.03.rtf,ma-ma,1,1007
P30,ma-ma.03.rtf,ma-ma,1,748
P31,ma-ma.03.rtf,ma-ma,1,284
P32,ma-ma.03.rtf,ma-ma,1,640
P33,ma-ma.03.rtf,ma-ma,1,93
P34,ma-ma.03.rtf,ma-ma,1,0
P35,ma-ma.03.rtf,ma-ma,1,224
P36,ma-ma.03.rtf,ma-ma,1,0
P37,ma-ma.03.rtf,ma-ma,1,684
P01,ma-ma.04.rtf,ma-ma,1,0
P02,ma-ma.04.rtf,ma-ma,1,264
P03,ma-ma.04.rtf,ma-ma,1,122
P04,ma-ma.04.rtf,ma-ma,1,0
P05,ma-ma.04.rtf,ma-ma,1,0
P07,ma-ma.04.rtf,ma-ma,1,0
P08,ma-ma.04.rtf,ma-ma,1,0
P09,ma-ma.04.rtf,ma-ma,1,200
P10,ma-ma.04.rtf,ma-ma,1,0
P11,ma-ma.04.rtf,ma-ma,1,508
P12,ma-ma.04.rtf,ma-ma,1,234
P13,ma-ma.04.rtf,ma-ma,1,112
P14,ma-ma.04.rtf,ma-ma,1,567
P15,ma-ma.04.rtf,ma-ma,1,704
P16,ma-ma.04.rtf,ma-ma,1,0
P17,ma-ma.04.rtf,ma-ma,1,112
P18,ma-ma.04.rtf,ma-ma,1,161
P19,ma-ma.04.rtf,ma-ma,1,1168
P20,ma-ma.04.rtf,ma-ma,1,0
P21,ma-ma.04.rtf,ma-ma,1,0
P22,ma-ma.04.rtf,ma-ma,1,0
P23,ma-ma.04.rtf,ma-ma,1,0
P24,ma-ma.04.rtf,ma-ma,1,166
P25,ma-ma.04.rtf,ma-ma,1,171
P26,ma-ma.04.rtf,ma-ma,1,261
P27,ma-ma.04.rtf,ma-ma,1,0
P28,ma-ma.04.rtf,ma-ma,1,0
P29,ma-ma.04.rtf,ma-ma,1,259
P30,ma-ma.04.rtf,ma-ma,1,308
P31,ma-ma.04.rtf,ma-ma,1,0
P32,ma-ma.04.rtf,ma-ma,1,264
P33,ma-ma.04.rtf,ma-ma,1,0
P34,ma-ma.04.rtf,ma-ma,1,0
P35,ma-ma.04.rtf,ma-ma,1,347
P36,ma-ma.04.rtf,ma-ma,1,0
P37,ma-ma.04.rtf,ma-ma,1,992
P01,ma-ma.05.rtf,ma-ma,1,579
P02,ma-ma.05.rtf,ma-ma,1,1022
P03,ma-ma.05.rtf,ma-ma,1,58
P04,ma-ma.05.rtf,ma-ma,1,122
P05,ma-ma.05.rtf,ma-ma,1,156
P06,ma-ma.05.rtf,ma-ma,1,831
P07,ma-ma.05.rtf,ma-ma,1,176
P08,ma-ma.05.rtf,ma-ma,1,680
P09,ma-ma.05.rtf,ma-ma,1,0
P10,ma-ma.05.rtf,ma-ma,1,0
P11,ma-ma.05.rtf,ma-ma,1,0
P12,ma-ma.05.rtf,ma-ma,1,983
P13,ma-ma.05.rtf,ma-ma,1,591
P14,ma-ma.05.rtf,ma-ma,1,753
P15,ma-ma.05.rtf,ma-ma,1,376
P16,ma-ma.05.rtf,ma-ma,1,0
P17,ma-ma.05.rtf,ma-ma,1,0
P18,ma-ma.05.rtf,ma-ma,1,0
P19,ma-ma.05.rtf,ma-ma,1,327
P20,ma-ma.05.rtf,ma-ma,1,381
P21,ma-ma.05.rtf,ma-ma,1,660
P22,ma-ma.05.rtf,ma-ma,1,317
P23,ma-ma.05.rtf,ma-ma,1,860
P24,ma-ma.05.rtf,ma-ma,1,632
P25,ma-ma.05.rtf,ma-ma,1,911
P27,ma-ma.05.rtf,ma-ma,1,332
P28,ma-ma.05.rtf,ma-ma,1,1076
P29,ma-ma.05.rtf,ma-ma,1,875
P30,ma-ma.05.rtf,ma-ma,1,949
P31,ma-ma.05.rtf,ma-ma,1,347
P32,ma-ma.05.rtf,ma-ma,1,518
P33,ma-ma.05.rtf,ma-ma,1,572
P34,ma-ma.05.rtf,ma-ma,1,0
P35,ma-ma.05.rtf,ma-ma,1,0
P36,ma-ma.05.rtf,ma-ma,1,342
P37,ma-ma.05.rtf,ma-ma,1,220
P01,ma-ma.06.rtf,ma-ma,1,1097
P02,ma-ma.06.rtf,ma-ma,1,0
P03,ma-ma.06.rtf,ma-ma,1,0
P04,ma-ma.06.rtf,ma-ma,1,135
P05,ma-ma.06.rtf,ma-ma,1,738
P07,ma-ma.06.rtf,ma-ma,1,518
P08,ma-ma.06.rtf,ma-ma,1,0
