item,subject,semantic,parallel,condition,RT
ma-ma.04,37,1,2,ma-ma,210
ma-ma.05,1,1,2,ma-ma,558.7
ma-ma.05,2,1,2,ma-ma,401
ma-ma.05,3,1,2,ma-ma,0
ma-ma.05,4,1,2,ma-ma,293
ma-ma.05,5,1,2,ma-ma,430
ma-ma.05,6,1,2,ma-ma,180
ma-ma.05,7,1,2,ma-ma,190
ma-ma.05,8,1,2,ma-ma,293
ma-ma.05,9,1,2,ma-ma,0
ma-ma.05,10,1,2,ma-ma,190
ma-ma.05,11,1,2,ma-ma,308
ma-ma.05,12,1,2,ma-ma,288
ma-ma.05,13,1,2,ma-ma,0
ma-ma.05,15,1,2,ma-ma,151
ma-ma.05,16,1,2,ma-ma,904.6
ma-ma.05,17,1,2,ma-ma,234
ma-ma.05,18,1,2,ma-ma,796.2
ma-ma.05,19,1,2,ma-ma,176
ma-ma.05,20,1,2,ma-ma,424
ma-ma.05,21,1,2,ma-ma,381
ma-ma.05,22,1,2,ma-ma,312
ma-ma.05,23,1,2,ma-ma,135
ma-ma.05,24,1,2,ma-ma,407
ma-ma.05,25,1,2,ma-ma,432
ma-ma.05,26,1,2,ma-ma,287
ma-ma.05,27,1,2,ma-ma,166
ma-ma.05,28,1,2,ma-ma,58
ma-ma.05,29,1,2,ma-ma,117
ma-ma.05,30,1,2,ma-ma,0
ma-ma.05,31,1,2,ma-ma,141
ma-ma.05,32,1,2,ma-ma,68
ma-ma.05,33,1,2,ma-ma,136
ma-ma.05,34,1,2,ma-ma,127
ma-ma.05,35,1,2,ma-ma,68
ma-ma.05,36,1,2,ma-ma,405
ma-ma.05,37,1,2,ma-ma,268
ma-ma.06,1,1,2,ma-ma,191
ma-ma.06,2,1,2,ma-ma,0
ma-ma.06,3,1,2,ma-ma,0
ma-ma.06,4,1,2,ma-ma,136
ma-ma.06,5,1,2,ma-ma,73
ma-ma.06,6,1,2,ma-ma,195
ma-ma.06,7,1,2,ma-ma,176
ma-ma.06,8,1,2,ma-ma,308
ma-ma.06,9,1,2,ma-ma,97
ma-ma.06,10,1,2,ma-ma,0
