Participant,Stimulus,condition,semantic,RT
P01,ma-ma.01.rtf,ma-ma,1,362
P02,ma-ma.01.rtf,ma-ma,1,474
P03,ma-ma.01.rtf,ma-ma,1,0
P04,ma-ma.01.rtf,ma-ma,1,670
P05,ma-ma.01.rtf,ma-ma,1,0
P06,ma-ma.01.rtf,ma-ma,1,918
P07,ma-ma.01.rtf,ma-ma,1,0
P08,ma-ma.01.rtf,ma-ma,1,322
P09,ma-ma.01.rtf,ma-ma,1,0
P10,ma-ma.01.rtf,ma-ma,1,151
P11,ma-ma.01.rtf,ma-ma,1,0
P12,ma-ma.01.rtf,ma-ma,1,273
P13,ma-ma.01.rtf,ma-ma,1,811
P14,ma-ma.01.rtf,ma-ma,1,215
P15,ma-ma.01.rtf,ma-ma,1,543
P16,ma-ma.01.rtf,ma-ma,1,53
P17,ma-ma.01.rtf,ma-ma,1,647
P18,ma-ma.01.rtf,ma-ma,1,0
P19,ma-ma.01.rtf,ma-ma,1,401
P20,ma-ma.01.rtf,ma-ma,1,459
P21,ma-ma.01.rtf,ma-ma,1,772
P22,ma-ma.01.rtf,ma-ma,1,568
P23,ma-ma.01.rtf,ma-ma,1,895
P24,ma-ma.01.rtf,ma-ma,1,393
P25,ma-ma.01.rtf,ma-ma,1,140
P26,ma-ma.01.rtf,ma-ma,1,65
P27,ma-ma.01.rtf,ma-ma,1,132
P28,ma-ma.01.rtf,ma-ma,1,293
P29,ma-ma.01.rtf,ma-ma,1,669
P30,ma-ma.01.rtf,ma-ma,1,278
P31,ma-ma.01.rtf,ma-ma,1,689
P32,ma-ma.01.rtf,ma-ma,1,992
P33,ma-ma.01.rtf,ma-ma,1,0
P34,ma-ma.01.rtf,ma-ma,1,0
P35,ma-ma.01.rtf,ma-ma,1,0
P36,ma-ma.01.rtf,ma-ma,1,0
P37,ma-ma.01.rtf,ma-ma,1,1075
P01,ma-ma.02.rtf,ma-ma,1,135
P02,ma-ma.02.rtf,ma-ma,1,0
P03,ma-ma.02.rtf,ma-ma,1,454
P04,ma-ma.02.rtf,ma-ma,1,0
P05,ma-ma.02.rtf,ma-ma,1,889
P07,ma-ma.02.rtf,ma-ma,1,176
P09,ma-ma.02.rtf,ma-ma,1,464
P10,ma-ma.02.rtf,ma-ma,1,229
P11,ma-ma.02.rtf,ma-ma,1,625
P13,ma-ma.02.rtf,ma-ma,1,308
P14,ma-ma.02.rtf,ma-ma,1,909
