Stimulus,Participant,condition,parallel,semantic,RT
ma-ma.01.rtf,P01,ma-ma,2,1,996.9
ma-ma.01.rtf,P02,ma-ma,2,1,0
ma-ma.01.rtf,P35,ma-ma,2,1,0
ma-ma.01.rtf,P03,ma-ma,2,1,170.9
ma-ma.01.rtf,P04,ma-ma,2,1,503.6
ma-ma.01.rtf,P05,ma-ma,2,1,136.9
ma-ma.01.rtf,P06,ma-ma,2,1,718.6
ma-ma.01.rtf,P07,ma-ma,2,1,249.5
ma-ma.01.rtf,P08,ma-ma,2,1,229.7
ma-ma.01.rtf,P09,ma-ma,2,1,97.6
ma-ma.01.rtf,P19,ma-ma,2,1,151.6
ma-ma.01.rtf,P21,ma-ma,2,1,689.6
ma-ma.01.rtf,P23,ma-ma,2,1,558.7
ma-ma.01.rtf,P25,ma-ma,2,1,443
ma-ma.01.rtf,P27,ma-ma,2,1,518.3
ma-ma.01.rtf,P29,ma-ma,2,1,176.3
ma-ma.01.rtf,P31,ma-ma,2,1,308.7
ma-ma.01.rtf,P33,ma-ma,2,1,313.1
ma-ma.01.rtf,P37,ma-ma,2,1,410.7
ma-ma.01.rtf,P10,ma-ma,2,1,205.3
ma-ma.01.rtf,P12,ma-ma,2,1,0
ma-ma.01.rtf,P11,ma-ma,2,1,547.7
ma-ma.01.rtf,P13,ma-ma,2,1,151.7
ma-ma.01.rtf,P14,ma-ma,2,1,870.3
ma-ma.01.rtf,P15,ma-ma,2,1,518.4
ma-ma.01.rtf,P16,ma-ma,2,1,224.9
ma-ma.01.rtf,P22,ma-ma,2,1,0
ma-ma.01.rtf,P17,ma-ma,2,1,327.7
ma-ma.01.rtf,P18,ma-ma,2,1,322.8
ma-ma.01.rtf,P20,ma-ma,2,1,195.6
ma-ma.01.rtf,P24,ma-ma,2,1,382.9
ma-ma.01.rtf,P26,ma-ma,2,1,578.2
ma-ma.01.rtf,P28,ma-ma,2,1,498.6
ma-ma.01.rtf,P32,ma-ma,2,1,792.2
ma-ma.02.rtf,P01,ma-ma,2,1,860.9
ma-ma.02.rtf,P03,ma-ma,2,1,273.9
ma-ma.02.rtf,P04,ma-ma,2,1,568.2
ma-ma.02.rtf,P05,ma-ma,2,1,352.2
ma-ma.01.rtf,P30,ma-ma,2,1,0
ma-ma.01.rtf,P34,ma-ma,2,1,0
ma-ma.02.rtf,P07,ma-ma,2,1,513.5
ma-ma.02.rtf,P08,ma-ma,2,1,1124.8
ma-ma.02.rtf,P09,ma-ma,2,1,684.5
ma-ma.02.rtf,P19,ma-ma,2,1,327.8
ma-ma.02.rtf,P21,ma-ma,2,1,572.1
ma-ma.02.rtf,P23,ma-ma,2,1,886.2
ma-ma.02.rtf,P25,ma-ma,2,1,951.4
ma-ma.02.rtf,P27,ma-ma,2,1,611.5
ma-ma.02.rtf,P29,ma-ma,2,1,625.9
ma-ma.02.rtf,P31,ma-ma,2,1,464.7
ma-ma.02.rtf,P33,ma-ma,2,1,523.1
ma-ma.02.rtf,P37,ma-ma,2,1,361.9
ma-ma.02.rtf,P10,ma-ma,2,1,342.4
ma-ma.02.rtf,P11,ma-ma,2,1,733.6
ma-ma.02.rtf,P12,ma-ma,2,1,929.3
ma-ma.02.rtf,P13,ma-ma,2,1,547.7
ma-ma.02.rtf,P15,ma-ma,2,1,601.5
ma-ma.01.rtf,P36,ma-ma,2,1,67.6
ma-ma.02.rtf,P35,ma-ma,2,1,0
ma-ma.02.rtf,P16,ma-ma,2,1,474.4
ma-ma.02.rtf,P17,ma-ma,2,1,166.2
ma-ma.02.rtf,P18,ma-ma,2,1,435.3
ma-ma.02.rtf,P20,ma-ma,2,1,469.6
ma-ma.02.rtf,P22,ma-ma,2,1,669.8
ma-ma.02.rtf,P24,ma-ma,2,1,669.5
ma-ma.02.rtf,P26,ma-ma,2,1,422.9
ma-ma.02.rtf,P28,ma-ma,2,1,268.9
ma-ma.03.rtf,P03,ma-ma,2,1,0
ma-ma.02.rtf,P30,ma-ma,2,1,366.7
ma-ma.02.rtf,P32,ma-ma,2,1,322.7
ma-ma.02.rtf,P34,ma-ma,2,1,391.2
ma-ma.02.rtf,P36,ma-ma,2,1,259.2
ma-ma.03.rtf,P01,ma-ma,2,1,357.7
ma-ma.03.rtf,P02,ma-ma,2,1,391.2
ma-ma.03.rtf,P04,ma-ma,2,1,185.7
ma-ma.03.rtf,P05,ma-ma,2,1,288.5
ma-ma.03.rtf,P08,ma-ma,2,1,949
ma-ma.03.rtf,P06,ma-ma,2,1,0
ma-ma.03.rtf,P09,ma-ma,2,1,200.5
ma-ma.03.rtf,P19,ma-ma,2,1,611.3
ma-ma.03.rtf,P21,ma-ma,2,1,644.4
ma-ma.03.rtf,P25,ma-ma,2,1,896
ma-ma.03.rtf,P27,ma-ma,2,1,200.7
ma-ma.03.rtf,P29,ma-ma,2,1,641.8
ma-ma.03.rtf,P31,ma-ma,2,1,244.5
ma-ma.03.rtf,P33,ma-ma,2,1,498.9
ma-ma.03.rtf,P07,ma-ma,2,1,0
ma-ma.03.rtf,P35,ma-ma,2,1,210.7
ma-ma.03.rtf,P10,ma-ma,2,1,264.1
ma-ma.03.rtf,P11,ma-ma,2,1,904.8
ma-ma.03.rtf,P12,ma-ma,2,1,322.7
ma-ma.03.rtf,P13,ma-ma,2,1,117.3
ma-ma.03.rtf,P14,ma-ma,2,1,660.2
ma-ma.03.rtf,P15,ma-ma,2,1,229.8
ma-ma.03.rtf,P16,ma-ma,2,1,875.3
ma-ma.03.rtf,P23,ma-ma,2,1,50.3
ma-ma.03.rtf,P17,ma-ma,2,1,322.5
ma-ma.03.rtf,P18,ma-ma,2,1,518.4
ma-ma.03.rtf,P20,ma-ma,2,1,454.8
ma-ma.03.rtf,P22,ma-ma,2,1,276.9
ma-ma.03.rtf,P24,ma-ma,2,1,563.7
ma-ma.03.rtf,P26,ma-ma,2,1,634.4
ma-ma.03.rtf,P30,ma-ma,2,1,596.5
ma-ma.03.rtf,P32,ma-ma,2,1,572.1
ma-ma.03.rtf,P34,ma-ma,2,1,229.8
ma-ma.03.rtf,P36,ma-ma,2,1,200.5
ma-ma.04.rtf,P01,ma-ma,2,1,553.7
ma-ma.04.rtf,P04,ma-ma,2,1,122.2
ma-ma.04.rtf,P05,ma-ma,2,1,117.9
ma-ma.04.rtf,P06,ma-ma,2,1,694.2
ma-ma.04.rtf,P07,ma-ma,2,1,401
ma-ma.04.rtf,P08,ma-ma,2,1,743.6
ma-ma.03.rtf,P37,ma-ma,2,1,0
ma-ma.04.rtf,P09,ma-ma,2,1,141.9
ma-ma.04.rtf,P19,ma-ma,2,1,528.2
ma-ma.04.rtf,P21,ma-ma,2,1,767.1
ma-ma.04.rtf,P23,ma-ma,2,1,171.2
ma-ma.04.rtf,P25,ma-ma,2,1,317.1
ma-ma.04.rtf,P27,ma-ma,2,1,386.3
ma-ma.04.rtf,P29,ma-ma,2,1,264.2
ma-ma.04.rtf,P31,ma-ma,2,1,200.4
ma-ma.04.rtf,P33,ma-ma,2,1,298.3
ma-ma.03.rtf,P28,ma-ma,2,1,0
ma-ma.04.rtf,P35,ma-ma,2,1,210.3
ma-ma.04.rtf,P37,ma-ma,2,1,210.2
ma-ma.04.rtf,P10,ma-ma,2,1,171.3
ma-ma.04.rtf,P11,ma-ma,2,1,160.4
ma-ma.04.rtf,P12,ma-ma,2,1,298.4
ma-ma.04.rtf,P14,ma-ma,2,1,1183.4
ma-ma.04.rtf,P15,ma-ma,2,1,718.7
ma-ma.04.rtf,P16,ma-ma,2,1,146.7
ma-ma.04.rtf,P18,ma-ma,2,1,313
ma-ma.04.rtf,P02,ma-ma,2,1,0
ma-ma.04.rtf,P20,ma-ma,2,1,283.6
ma-ma.04.rtf,P22,ma-ma,2,1,438
ma-ma.04.rtf,P24,ma-ma,2,1,251.7
ma-ma.04.rtf,P26,ma-ma,2,1,563.6
ma-ma.04.rtf,P28,ma-ma,2,1,225
ma-ma.04.rtf,P30,ma-ma,2,1,117.4
ma-ma.04.rtf,P32,ma-ma,2,1,581.8
ma-ma.04.rtf,P34,ma-ma,2,1,92.9
ma-ma.05.rtf,P01,ma-ma,2,1,271.8
ma-ma.05.rtf,P02,ma-ma,2,1,401
ma-ma.05.rtf,P04,ma-ma,2,1,293.6
ma-ma.05.rtf,P05,ma-ma,2,1,430.3
ma-ma.04.rtf,P03,ma-ma,2,1,0
ma-ma.05.rtf,P06,ma-ma,2,1,283.6
ma-ma.05.rtf,P07,ma-ma,2,1,987.7
ma-ma.05.rtf,P08,ma-ma,2,1,293.4
ma-ma.05.rtf,P19,ma-ma,2,1,313
ma-ma.05.rtf,P21,ma-ma,2,1,381.5
ma-ma.05.rtf,P23,ma-ma,2,1,135.9
ma-ma.05.rtf,P25,ma-ma,2,1,1001.6
ma-ma.05.rtf,P27,ma-ma,2,1,166.3
ma-ma.05.rtf,P29,ma-ma,2,1,655.1
ma-ma.05.rtf,P31,ma-ma,2,1,440.1
ma-ma.05.rtf,P33,ma-ma,2,1,489.1
ma-ma.05.rtf,P35,ma-ma,2,1,425.3
ma-ma.05.rtf,P37,ma-ma,2,1,435.2
ma-ma.05.rtf,P10,ma-ma,2,1,190.7
ma-ma.05.rtf,P11,ma-ma,2,1,542.9
ma-ma.05.rtf,P12,ma-ma,2,1,288.6
ma-ma.05.rtf,P14,ma-ma,2,1,582
ma-ma.05.rtf,P15,ma-ma,2,1,738.5
ma-ma.05.rtf,P16,ma-ma,2,1,361.6
ma-ma.05.rtf,P17,ma-ma,2,1,234.4
ma-ma.05.rtf,P18,ma-ma,2,1,659.2
ma-ma.05.rtf,P20,ma-ma,2,1,424.6
ma-ma.05.rtf,P22,ma-ma,2,1,312.1
ma-ma.04.rtf,P13,ma-ma,2,1,68.5
ma-ma.04.rtf,P17,ma-ma,2,1,58.7
ma-ma.05.rtf,P24,ma-ma,2,1,407.8
ma-ma.05.rtf,P26,ma-ma,2,1,287.1
ma-ma.05.rtf,P28,ma-ma,2,1,288.5
ma-ma.05.rtf,P32,ma-ma,2,1,630.9
ma-ma.05.rtf,P34,ma-ma,2,1,674.8
ma-ma.05.rtf,P36,ma-ma,2,1,405.8
