Stimulus,Participant,condition,parallel,semantic,RT
ma-ma.01.rtf,P01,ma-ma,2,1,896
ma-ma.01.rtf,P02,ma-ma,2,1,347.1
ma-ma.01.rtf,P03,ma-ma,2,1,0
ma-ma.01.rtf,P04,ma-ma,2,1,494.2
ma-ma.01.rtf,P05,ma-ma,2,1,249.4
ma-ma.01.rtf,P07,ma-ma,2,1,327.5
ma-ma.01.rtf,P08,ma-ma,2,1,190.8
ma-ma.01.rtf,P09,ma-ma,2,1,264
ma-ma.01.rtf,P19,ma-ma,2,1,454.8
ma-ma.01.rtf,P23,ma-ma,2,1,669.6
ma-ma.01.rtf,P25,ma-ma,2,1,559.1
ma-ma.01.rtf,P27,ma-ma,2,1,645.9
ma-ma.01.rtf,P29,ma-ma,2,1,313.4
ma-ma.01.rtf,P31,ma-ma,2,1,1149.1
ma-ma.01.rtf,P35,ma-ma,2,1,146.5
ma-ma.01.rtf,P37,ma-ma,2,1,503.7
ma-ma.01.rtf,P11,ma-ma,2,1,410.8
ma-ma.01.rtf,P12,ma-ma,2,1,929.2
ma-ma.01.rtf,P13,ma-ma,2,1,454.8
ma-ma.01.rtf,P14,ma-ma,2,1,670
ma-ma.01.rtf,P33,ma-ma,2,1,0
ma-ma.01.rtf,P15,ma-ma,2,1,982.9
ma-ma.01.rtf,P16,ma-ma,2,1,239.6
ma-ma.01.rtf,P18,ma-ma,2,1,273.9
ma-ma.01.rtf,P20,ma-ma,2,1,259.3
ma-ma.01.rtf,P22,ma-ma,2,1,412.9
ma-ma.01.rtf,P24,ma-ma,2,1,624.3
ma-ma.01.rtf,P26,ma-ma,2,1,347.3
ma-ma.01.rtf,P28,ma-ma,2,1,430.5
ma-ma.01.rtf,P30,ma-ma,2,1,621
ma-ma.01.rtf,P32,ma-ma,2,1,650.3
ma-ma.01.rtf,P34,ma-ma,2,1,464.5
ma-ma.02.rtf,P01,ma-ma,2,1,543.6
ma-ma.02.rtf,P03,ma-ma,2,1,532.9
ma-ma.02.rtf,P04,ma-ma,2,1,303.1
ma-ma.02.rtf,P05,ma-ma,2,1,689.5
ma-ma.01.rtf,P10,ma-ma,2,1,0
ma-ma.01.rtf,P36,ma-ma,2,1,0
ma-ma.02.rtf,P07,ma-ma,2,1,484.2
ma-ma.02.rtf,P08,ma-ma,2,1,1089.1
ma-ma.02.rtf,P09,ma-ma,2,1,464.7
ma-ma.02.rtf,P19,ma-ma,2,1,293.5
ma-ma.02.rtf,P23,ma-ma,2,1,699.7
ma-ma.02.rtf,P29,ma-ma,2,1,606.4
ma-ma.02.rtf,P31,ma-ma,2,1,684.8
ma-ma.02.rtf,P35,ma-ma,2,1,88
ma-ma.02.rtf,P37,ma-ma,2,1,733.5
ma-ma.02.rtf,P10,ma-ma,2,1,464.7
ma-ma.02.rtf,P11,ma-ma,2,1,875.2
ma-ma.02.rtf,P13,ma-ma,2,1,366.8
ma-ma.02.rtf,P16,ma-ma,2,1,180.9
ma-ma.02.rtf,P17,ma-ma,2,1,176
ma-ma.02.rtf,P27,ma-ma,2,1,0
ma-ma.02.rtf,P20,ma-ma,2,1,293.9
ma-ma.02.rtf,P22,ma-ma,2,1,639.5
ma-ma.02.rtf,P24,ma-ma,2,1,644
ma-ma.02.rtf,P26,ma-ma,2,1,246.6
ma-ma.02.rtf,P33,ma-ma,2,1,0
ma-ma.02.rtf,P28,ma-ma,2,1,152
ma-ma.02.rtf,P30,ma-ma,2,1,469.5
ma-ma.02.rtf,P32,ma-ma,2,1,474.3
ma-ma.02.rtf,P34,ma-ma,2,1,523.5
ma-ma.02.rtf,P36,ma-ma,2,1,454.6
ma-ma.03.rtf,P01,ma-ma,2,1,1042.1
ma-ma.03.rtf,P02,ma-ma,2,1,753.1
ma-ma.03.rtf,P03,ma-ma,2,1,161.3
ma-ma.03.rtf,P04,ma-ma,2,1,826.5
ma-ma.03.rtf,P05,ma-ma,2,1,630.7
ma-ma.03.rtf,P06,ma-ma,2,1,410.3
ma-ma.02.rtf,P18,ma-ma,2,1,0
ma-ma.03.rtf,P09,ma-ma,2,1,0
ma-ma.03.rtf,P07,ma-ma,2,1,586.8
ma-ma.03.rtf,P08,ma-ma,2,1,909.3
ma-ma.03.rtf,P19,ma-ma,2,1,875.1
ma-ma.03.rtf,P21,ma-ma,2,1,278.8
ma-ma.03.rtf,P23,ma-ma,2,1,493.6
ma-ma.03.rtf,P27,ma-ma,2,1,283.6
ma-ma.03.rtf,P29,ma-ma,2,1,992.4
ma-ma.03.rtf,P31,ma-ma,2,1,601.4
ma-ma.03.rtf,P35,ma-ma,2,1,518.3
ma-ma.03.rtf,P37,ma-ma,2,1,660.4
ma-ma.03.rtf,P10,ma-ma,2,1,151.6
ma-ma.03.rtf,P11,ma-ma,2,1,1001.8
ma-ma.03.rtf,P13,ma-ma,2,1,528.3
ma-ma.03.rtf,P14,ma-ma,2,1,508.7
ma-ma.03.rtf,P16,ma-ma,2,1,298.4
ma-ma.03.rtf,P33,ma-ma,2,1,0
ma-ma.03.rtf,P18,ma-ma,2,1,264.1
ma-ma.03.rtf,P17,ma-ma,2,1,0
ma-ma.03.rtf,P20,ma-ma,2,1,831.3
ma-ma.03.rtf,P22,ma-ma,2,1,589
ma-ma.03.rtf,P24,ma-ma,2,1,820.6
ma-ma.03.rtf,P26,ma-ma,2,1,271.9
ma-ma.03.rtf,P28,ma-ma,2,1,112.4
ma-ma.03.rtf,P30,ma-ma,2,1,748
ma-ma.03.rtf,P32,ma-ma,2,1,850.9
ma-ma.03.rtf,P34,ma-ma,2,1,244.6
ma-ma.04.rtf,P01,ma-ma,2,1,543.3
ma-ma.04.rtf,P02,ma-ma,2,1,225
ma-ma.04.rtf,P04,ma-ma,2,1,581.9
ma-ma.04.rtf,P05,ma-ma,2,1,220
ma-ma.04.rtf,P07,ma-ma,2,1,440.2
ma-ma.04.rtf,P08,ma-ma,2,1,391.2
ma-ma.04.rtf,P09,ma-ma,2,1,122.3
ma-ma.03.rtf,P36,ma-ma,2,1,0
ma-ma.04.rtf,P03,ma-ma,2,1,0
ma-ma.04.rtf,P19,ma-ma,2,1,577.1
ma-ma.04.rtf,P21,ma-ma,2,1,753.2
ma-ma.04.rtf,P23,ma-ma,2,1,1193
ma-ma.04.rtf,P25,ma-ma,2,1,216.6
ma-ma.04.rtf,P27,ma-ma,2,1,405.9
ma-ma.04.rtf,P29,ma-ma,2,1,406.1
ma-ma.04.rtf,P31,ma-ma,2,1,758.5
ma-ma.04.rtf,P33,ma-ma,2,1,210.2
ma-ma.04.rtf,P35,ma-ma,2,1,112.6
ma-ma.04.rtf,P37,ma-ma,2,1,586.7
ma-ma.05.rtf,P03,ma-ma,2,1,58.7
ma-ma.04.rtf,P10,ma-ma,2,1,308.1
ma-ma.04.rtf,P11,ma-ma,2,1,278.7
ma-ma.04.rtf,P12,ma-ma,2,1,914.4
ma-ma.04.rtf,P13,ma-ma,2,1,900.1
ma-ma.04.rtf,P14,ma-ma,2,1,586.6
ma-ma.04.rtf,P15,ma-ma,2,1,616.2
ma-ma.04.rtf,P16,ma-ma,2,1,557.3
ma-ma.06.rtf,P03,ma-ma,2,1,0
ma-ma.06.rtf,P09,ma-ma,2,1,0
ma-ma.04.rtf,P17,ma-ma,2,1,141.8
ma-ma.04.rtf,P18,ma-ma,2,1,322.9
ma-ma.04.rtf,P20,ma-ma,2,1,268.9
ma-ma.04.rtf,P22,ma-ma,2,1,800.1
ma-ma.04.rtf,P24,ma-ma,2,1,650.2
ma-ma.04.rtf,P26,ma-ma,2,1,508.2
ma-ma.04.rtf,P28,ma-ma,2,1,303.1
ma-ma.04.rtf,P30,ma-ma,2,1,1090.9
