Stimulus,Participant,condition,semantic,RT
ma-ma.01.rtf,P01,ma-ma,1,553.7
ma-ma.01.rtf,P36,ma-ma,1,0
ma-ma.02.rtf,P35,ma-ma,1,0
ma-ma.01.rtf,P02,ma-ma,1,92.9
ma-ma.03.rtf,P03,ma-ma,1,73.2
ma-ma.01.rtf,P03,ma-ma,1,151.6
ma-ma.01.rtf,P04,ma-ma,1,441.4
ma-ma.01.rtf,P05,ma-ma,1,220.1
ma-ma.01.rtf,P07,ma-ma,1,176.1
ma-ma.01.rtf,P08,ma-ma,1,283.2
ma-ma.01.rtf,P09,ma-ma,1,185.7
ma-ma.01.rtf,P19,ma-ma,1,386.3
ma-ma.01.rtf,P21,ma-ma,1,678.5
ma-ma.01.rtf,P23,ma-ma,1,629.4
ma-ma.01.rtf,P25,ma-ma,1,639.4
ma-ma.01.rtf,P27,ma-ma,1,146.7
ma-ma.03.rtf,P07,ma-ma,1,63.6
ma-ma.01.rtf,P29,ma-ma,1,83.1
ma-ma.01.rtf,P31,ma-ma,1,498.8
ma-ma.04.rtf,P03,ma-ma,1,0
ma-ma.01.rtf,P33,ma-ma,1,303.2
ma-ma.01.rtf,P35,ma-ma,1,258.9
ma-ma.01.rtf,P37,ma-ma,1,175.2
ma-ma.01.rtf,P10,ma-ma,1,156.6
ma-ma.01.rtf,P11,ma-ma,1,393.7
ma-ma.01.rtf,P12,ma-ma,1,242.2
ma-ma.01.rtf,P13,ma-ma,1,404.2
ma-ma.01.rtf,P14,ma-ma,1,112.3
ma-ma.01.rtf,P15,ma-ma,1,704.3
ma-ma.01.rtf,P16,ma-ma,1,248.9
ma-ma.01.rtf,P17,ma-ma,1,345.1
ma-ma.01.rtf,P18,ma-ma,1,263
ma-ma.01.rtf,P20,ma-ma,1,320
ma-ma.01.rtf,P22,ma-ma,1,393.8
ma-ma.01.rtf,P24,ma-ma,1,166.1
ma-ma.01.rtf,P26,ma-ma,1,166.1
ma-ma.05.rtf,P02,ma-ma,1,0
ma-ma.01.rtf,P28,ma-ma,1,614.8
ma-ma.01.rtf,P30,ma-ma,1,385.2
ma-ma.01.rtf,P32,ma-ma,1,397.5
ma-ma.01.rtf,P34,ma-ma,1,88
ma-ma.02.rtf,P01,ma-ma,1,664.7
ma-ma.02.rtf,P02,ma-ma,1,161.5
ma-ma.02.rtf,P03,ma-ma,1,213.1
ma-ma.02.rtf,P04,ma-ma,1,181
ma-ma.02.rtf,P05,ma-ma,1,572.5
ma-ma.05.rtf,P16,ma-ma,1,0
ma-ma.02.rtf,P06,ma-ma,1,528.1
ma-ma.02.rtf,P07,ma-ma,1,532.8
ma-ma.02.rtf,P08,ma-ma,1,997.1
ma-ma.02.rtf,P09,ma-ma,1,390.6
ma-ma.02.rtf,P19,ma-ma,1,268.9
ma-ma.02.rtf,P21,ma-ma,1,396.1
ma-ma.02.rtf,P23,ma-ma,1,987
ma-ma.02.rtf,P25,ma-ma,1,1061.6
ma-ma.02.rtf,P27,ma-ma,1,156.4
ma-ma.02.rtf,P31,ma-ma,1,234.6
ma-ma.02.rtf,P33,ma-ma,1,258
ma-ma.02.rtf,P37,ma-ma,1,625.3
ma-ma.02.rtf,P10,ma-ma,1,117.2
ma-ma.02.rtf,P11,ma-ma,1,542.4
ma-ma.02.rtf,P12,ma-ma,1,1173.8
ma-ma.02.rtf,P13,ma-ma,1,161.4
ma-ma.02.rtf,P14,ma-ma,1,542.7
ma-ma.02.rtf,P16,ma-ma,1,136.9
ma-ma.02.rtf,P17,ma-ma,1,215.2
ma-ma.06.rtf,P31,ma-ma,1,68.5
ma-ma.02.rtf,P18,ma-ma,1,298.3
ma-ma.02.rtf,P20,ma-ma,1,586.7
ma-ma.02.rtf,P22,ma-ma,1,573.7
