Participant,Stimulus,condition,semantic,RT
P05,ma-ma.04.rtf,ma-ma,1,0
P07,ma-ma.04.rtf,ma-ma,1,0
P08,ma-ma.04.rtf,ma-ma,1,0
P09,ma-ma.04.rtf,ma-ma,1,322
P10,ma-ma.04.rtf,ma-ma,1,0
P11,ma-ma.04.rtf,ma-ma,1,166
P12,ma-ma.04.rtf,ma-ma,1,0
P13,ma-ma.04.rtf,ma-ma,1,234
P14,ma-ma.04.rtf,ma-ma,1,63
P15,ma-ma.04.rtf,ma-ma,1,0
P16,ma-ma.04.rtf,ma-ma,1,0
P17,ma-ma.04.rtf,ma-ma,1,0
P18,ma-ma.04.rtf,ma-ma,1,0
P19,ma-ma.04.rtf,ma-ma,1,127
P20,ma-ma.04.rtf,ma-ma,1,0
P21,ma-ma.04.rtf,ma-ma,1,0
P22,ma-ma.04.rtf,ma-ma,1,0
P23,ma-ma.04.rtf,ma-ma,1,312
P24,ma-ma.04.rtf,ma-ma,1,0
P25,ma-ma.04.rtf,ma-ma,1,0
P26,ma-ma.04.rtf,ma-ma,1,137
P27,ma-ma.04.rtf,ma-ma,1,0
P28,ma-ma.04.rtf,ma-ma,1,0
P29,ma-ma.04.rtf,ma-ma,1,493
P30,ma-ma.04.rtf,ma-ma,1,445
P31,ma-ma.04.rtf,ma-ma,1,0
P32,ma-ma.04.rtf,ma-ma,1,146
P33,ma-ma.04.rtf,ma-ma,1,0
P34,ma-ma.04.rtf,ma-ma,1,141
P35,ma-ma.04.rtf,ma-ma,1,229
P36,ma-ma.04.rtf,ma-ma,1,0
P37,ma-ma.04.rtf,ma-ma,1,557
P01,ma-ma.05.rtf,ma-ma,1,563
P02,ma-ma.05.rtf,ma-ma,1,0
P03,ma-ma.05.rtf,ma-ma,1,73
P04,ma-ma.05.rtf,ma-ma,1,141
P05,ma-ma.05.rtf,ma-ma,1,244
P07,ma-ma.05.rtf,ma-ma,1,0
P08,ma-ma.05.rtf,ma-ma,1,557
P09,ma-ma.05.rtf,ma-ma,1,264
P10,ma-ma.05.rtf,ma-ma,1,0
P11,ma-ma.05.rtf,ma-ma,1,0
P12,ma-ma.05.rtf,ma-ma,1,469
P13,ma-ma.05.rtf,ma-ma,1,195
P14,ma-ma.05.rtf,ma-ma,1,595
P15,ma-ma.05.rtf,ma-ma,1,0
P16,ma-ma.05.rtf,ma-ma,1,0
P17,ma-ma.05.rtf,ma-ma,1,0
P18,ma-ma.05.rtf,ma-ma,1,259
P19,ma-ma.05.rtf,ma-ma,1,0
P20,ma-ma.05.rtf,ma-ma,1,239
P21,ma-ma.05.rtf,ma-ma,1,249
P22,ma-ma.05.rtf,ma-ma,1,0
P23,ma-ma.05.rtf,ma-ma,1,1147
P24,ma-ma.05.rtf,ma-ma,1,196
P25,ma-ma.05.rtf,ma-ma,1,327
P26,ma-ma.05.rtf,ma-ma,1,775
P27,ma-ma.05.rtf,ma-ma,1,0
P28,ma-ma.05.rtf,ma-ma,1,161
P29,ma-ma.05.rtf,ma-ma,1,450
P30,ma-ma.05.rtf,ma-ma,1,689
P31,ma-ma.05.rtf,ma-ma,1,459
P32,ma-ma.05.rtf,ma-ma,1,0
P33,ma-ma.05.rtf,ma-ma,1,278
P34,ma-ma.05.rtf,ma-ma,1,0
P35,ma-ma.05.rtf,ma-ma,1,332
P36,ma-ma.05.rtf,ma-ma,1,332
P37,ma-ma.05.rtf,ma-ma,1,0
P01,ma-ma.06.rtf,ma-ma,1,745
P02,ma-ma.06.rtf,ma-ma,1,0
P03,ma-ma.06.rtf,ma-ma,1,58
P04,ma-ma.06.rtf,ma-ma,1,156
P05,ma-ma.06.rtf,ma-ma,1,932
P06,ma-ma.06.rtf,ma-ma,1,987
P07,ma-ma.06.rtf,ma-ma,1,322
P08,ma-ma.06.rtf,ma-ma,1,0
P09,ma-ma.06.rtf,ma-ma,1,293
P10,ma-ma.06.rtf,ma-ma,1,0
P11,ma-ma.06.rtf,ma-ma,1,0
P12,ma-ma.06.rtf,ma-ma,1,0
P13,ma-ma.06.rtf,ma-ma,1,401
P15,ma-ma.06.rtf,ma-ma,1,655
P16,ma-ma.06.rtf,ma-ma,1,0
P17,ma-ma.06.rtf,ma-ma,1,0
P18,ma-ma.06.rtf,ma-ma,1,0
P19,ma-ma.06.rtf,ma-ma,1,293
P20,ma-ma.06.rtf,ma-ma,1,0
P21,ma-ma.06.rtf,ma-ma,1,479
P22,ma-ma.06.rtf,ma-ma,1,226
P23,ma-ma.06.rtf,ma-ma,1,745
