subjects,items,condition,parallel,semantic,RT
P10,ma-ma.04.rtf,ma-ma,2,1,836.4
P11,ma-ma.04.rtf,ma-ma,2,1,659.1
P12,ma-ma.04.rtf,ma-ma,2,1,1643.1
P13,ma-ma.04.rtf,ma-ma,2,1,1737
P14,ma-ma.04.rtf,ma-ma,2,1,2850.8
P15,ma-ma.04.rtf,ma-ma,2,1,1887.5
P16,ma-ma.04.rtf,ma-ma,2,1,1316.2
P17,ma-ma.04.rtf,ma-ma,2,1,1100.2
P18,ma-ma.04.rtf,ma-ma,2,1,1139.8
P19,ma-ma.04.rtf,ma-ma,2,1,2034.2
P20,ma-ma.04.rtf,ma-ma,2,1,1202.9
P21,ma-ma.04.rtf,ma-ma,2,1,2928.6
P22,ma-ma.04.rtf,ma-ma,2,1,1887.5
P23,ma-ma.04.rtf,ma-ma,2,1,2780.3
P24,ma-ma.04.rtf,ma-ma,2,1,1989.2
P25,ma-ma.04.rtf,ma-ma,2,1,901.8
P26,ma-ma.04.rtf,ma-ma,2,1,1635.7
P27,ma-ma.04.rtf,ma-ma,2,1,1227.3
P28,ma-ma.04.rtf,ma-ma,2,1,860.6
P29,ma-ma.04.rtf,ma-ma,2,1,1584.9
P30,ma-ma.04.rtf,ma-ma,2,1,1785.9
P31,ma-ma.04.rtf,ma-ma,2,1,958.9
P32,ma-ma.04.rtf,ma-ma,2,1,1427.9
P33,ma-ma.04.rtf,ma-ma,2,1,837
P34,ma-ma.04.rtf,ma-ma,2,1,650.1
P35,ma-ma.04.rtf,ma-ma,2,1,900.8
P36,ma-ma.04.rtf,ma-ma,2,1,489.8
P37,ma-ma.04.rtf,ma-ma,2,1,1608.5
P01,ma-ma.05.rtf,ma-ma,2,1,1287.8
P02,ma-ma.05.rtf,ma-ma,2,1,850.9
P03,ma-ma.05.rtf,ma-ma,2,1,318.1
P04,ma-ma.05.rtf,ma-ma,2,1,1535.3
P05,ma-ma.05.rtf,ma-ma,2,1,905.4
P06,ma-ma.05.rtf,ma-ma,2,1,2216.1
P07,ma-ma.05.rtf,ma-ma,2,1,2298.2
P08,ma-ma.05.rtf,ma-ma,2,1,1496.3
P09,ma-ma.05.rtf,ma-ma,2,1,1096.5
P10,ma-ma.05.rtf,ma-ma,2,1,1295.7
P12,ma-ma.05.rtf,ma-ma,2,1,2435.3
P14,ma-ma.05.rtf,ma-ma,2,1,2680.1
P16,ma-ma.05.rtf,ma-ma,2,1,2552.5
P18,ma-ma.05.rtf,ma-ma,2,1,2219.3
P19,ma-ma.05.rtf,ma-ma,2,1,1286.2
P21,ma-ma.05.rtf,ma-ma,2,1,2244.6
P22,ma-ma.05.rtf,ma-ma,2,1,1354.4
P23,ma-ma.05.rtf,ma-ma,2,1,2753.4
P25,ma-ma.05.rtf,ma-ma,2,1,2400.6
P26,ma-ma.05.rtf,ma-ma,2,1,856
P27,ma-ma.05.rtf,ma-ma,2,1,2694.6
P29,ma-ma.05.rtf,ma-ma,2,1,1858.1
P30,ma-ma.05.rtf,ma-ma,2,1,2000.4
P31,ma-ma.05.rtf,ma-ma,2,1,2313.1
P33,ma-ma.05.rtf,ma-ma,2,1,1824
P34,ma-ma.05.rtf,ma-ma,2,1,2151.7
P35,ma-ma.05.rtf,ma-ma,2,1,1398
P37,ma-ma.05.rtf,ma-ma,2,1,1555.2
P01,ma-ma.06.rtf,ma-ma,2,1,1324
P02,ma-ma.06.rtf,ma-ma,2,1,572.2
P04,ma-ma.06.rtf,ma-ma,2,1,1198.8
P05,ma-ma.06.rtf,ma-ma,2,1,2508.1
P06,ma-ma.06.rtf,ma-ma,2,1,2689.3
P07,ma-ma.06.rtf,ma-ma,2,1,2811.7
P08,ma-ma.06.rtf,ma-ma,2,1,1682
P09,ma-ma.06.rtf,ma-ma,2,1,1070.9
P19,ma-ma.06.rtf,ma-ma,2,1,2632.3
P21,ma-ma.06.rtf,ma-ma,2,1,908
P23,ma-ma.06.rtf,ma-ma,2,1,2188.8
P25,ma-ma.06.rtf,ma-ma,2,1,3227.1
P27,ma-ma.06.rtf,ma-ma,2,1,2870.3
P29,ma-ma.06.rtf,ma-ma,2,1,1876.5
P31,ma-ma.06.rtf,ma-ma,2,1,2034.5
P33,ma-ma.06.rtf,ma-ma,2,1,1114.8
P35,ma-ma.06.rtf,ma-ma,2,1,1027
P37,ma-ma.06.rtf,ma-ma,2,1,1466.9
P01,ma-ma.07.rtf,ma-ma,2,1,3040.5
P02,ma-ma.07.rtf,ma-ma,2,1,1902.1
P03,ma-ma.07.rtf,ma-ma,2,1,670
P04,ma-ma.07.rtf,ma-ma,2,1,1608.5
P05,ma-ma.07.rtf,ma-ma,2,1,880.4
P06,ma-ma.07.rtf,ma-ma,2,1,2229.1
P07,ma-ma.07.rtf,ma-ma,2,1,1300.7
P08,ma-ma.07.rtf,ma-ma,2,1,1335
P09,ma-ma.07.rtf,ma-ma,2,1,244.6
P11,ma-ma.07.rtf,ma-ma,2,1,2014.4
P13,ma-ma.07.rtf,ma-ma,2,1,674.3
P17,ma-ma.07.rtf,ma-ma,2,1,777.6
P19,ma-ma.07.rtf,ma-ma,2,1,2499.3
P20,ma-ma.07.rtf,ma-ma,2,1,1217.1
P21,ma-ma.07.rtf,ma-ma,2,1,1877.8
P23,ma-ma.07.rtf,ma-ma,2,1,1590.6
P24,ma-ma.07.rtf,ma-ma,2,1,2118.6
P25,ma-ma.07.rtf,ma-ma,2,1,689.7
P27,ma-ma.07.rtf,ma-ma,2,1,855.8
P28,ma-ma.07.rtf,ma-ma,2,1,1330.2
P29,ma-ma.07.rtf,ma-ma,2,1,1043.9
P31,ma-ma.07.rtf,ma-ma,2,1,918.9
P32,ma-ma.07.rtf,ma-ma,2,1,2459.8
P33,ma-ma.07.rtf,ma-ma,2,1,753
P35,ma-ma.07.rtf,ma-ma,2,1,1266.7
P36,ma-ma.07.rtf,ma-ma,2,1,1872.3
P37,ma-ma.07.rtf,ma-ma,2,1,919.3
P01,ma-ma.08.rtf,ma-ma,2,1,2425.9
P02,ma-ma.08.rtf,ma-ma,2,1,581.9
P03,ma-ma.08.rtf,ma-ma,2,1,308.1
P04,ma-ma.08.rtf,ma-ma,2,1,1081.4
P05,ma-ma.08.rtf,ma-ma,2,1,807.1
P06,ma-ma.08.rtf,ma-ma,2,1,2684.5
P07,ma-ma.08.rtf,ma-ma,2,1,1116.2
P08,ma-ma.08.rtf,ma-ma,2,1,2127.1
P09,ma-ma.08.rtf,ma-ma,2,1,552.4
P10,ma-ma.08.rtf,ma-ma,2,1,1579.8
P11,ma-ma.08.rtf,ma-ma,2,1,2400.4
P12,ma-ma.08.rtf,ma-ma,2,1,792.2
P13,ma-ma.08.rtf,ma-ma,2,1,762.8
P14,ma-ma.08.rtf,ma-ma,2,1,1721.8
P15,ma-ma.08.rtf,ma-ma,2,1,1496.5
P16,ma-ma.08.rtf,ma-ma,2,1,2411.1
P17,ma-ma.08.rtf,ma-ma,2,1,1090.6
P18,ma-ma.08.rtf,ma-ma,2,1,161.4
P19,ma-ma.08.rtf,ma-ma,2,1,934.2
P20,ma-ma.08.rtf,ma-ma,2,1,1861.9
P22,ma-ma.08.rtf,ma-ma,2,1,2099
P24,ma-ma.08.rtf,ma-ma,2,1,1510.4
P25,ma-ma.08.rtf,ma-ma,2,1,3493.5
P26,ma-ma.08.rtf,ma-ma,2,1,1294.6
P27,ma-ma.08.rtf,ma-ma,2,1,1916.8
P28,ma-ma.08.rtf,ma-ma,2,1,2185.7
P29,ma-ma.08.rtf,ma-ma,2,1,1442.5
P30,ma-ma.08.rtf,ma-ma,2,1,1227.1
P31,ma-ma.08.rtf,ma-ma,2,1,1408.2
P32,ma-ma.08.rtf,ma-ma,2,1,2704.4
P33,ma-ma.08.rtf,ma-ma,2,1,1603.2
P34,ma-ma.08.rtf,ma-ma,2,1,1290.8
P35,ma-ma.08.rtf,ma-ma,2,1,753.1
P36,ma-ma.08.rtf,ma-ma,2,1,968.8
P37,ma-ma.08.rtf,ma-ma,2,1,2346.5
P01,ma-ma.09.rtf,ma-ma,2,1,1188.4
P02,ma-ma.09.rtf,ma-ma,2,1,968.1
P03,ma-ma.09.rtf,ma-ma,2,1,68.5
P04,ma-ma.09.rtf,ma-ma,2,1,1325
P05,ma-ma.09.rtf,ma-ma,2,1,645.6
P06,ma-ma.09.rtf,ma-ma,2,1,1780.6
P07,ma-ma.09.rtf,ma-ma,2,1,1482.3
P08,ma-ma.09.rtf,ma-ma,2,1,1599
P09,ma-ma.09.rtf,ma-ma,2,1,660
P10,ma-ma.09.rtf,ma-ma,2,1,860.7
P11,ma-ma.09.rtf,ma-ma,2,1,1227.3
P12,ma-ma.09.rtf,ma-ma,2,1,1706.1
P13,ma-ma.09.rtf,ma-ma,2,1,1921.3
P14,ma-ma.09.rtf,ma-ma,2,1,2258.2
P15,ma-ma.09.rtf,ma-ma,2,1,2533.4
P16,ma-ma.09.rtf,ma-ma,2,1,904.4
P17,ma-ma.09.rtf,ma-ma,2,1,840.9
P18,ma-ma.09.rtf,ma-ma,2,1,1706.8
P19,ma-ma.09.rtf,ma-ma,2,1,1291.3
P20,ma-ma.09.rtf,ma-ma,2,1,2224.7
P21,ma-ma.09.rtf,ma-ma,2,1,3233
P22,ma-ma.09.rtf,ma-ma,2,1,1394.6
P23,ma-ma.09.rtf,ma-ma,2,1,1953.6
P24,ma-ma.09.rtf,ma-ma,2,1,861
P25,ma-ma.09.rtf,ma-ma,2,1,1385.4
P26,ma-ma.09.rtf,ma-ma,2,1,1878.1
P27,ma-ma.09.rtf,ma-ma,2,1,1829.3
P28,ma-ma.09.rtf,ma-ma,2,1,1476.8
P29,ma-ma.09.rtf,ma-ma,2,1,2523.2
P30,ma-ma.09.rtf,ma-ma,2,1,2454.9
P31,ma-ma.09.rtf,ma-ma,2,1,1237.6
P32,ma-ma.09.rtf,ma-ma,2,1,1393.7
P33,ma-ma.09.rtf,ma-ma,2,1,800.8
P34,ma-ma.09.rtf,ma-ma,2,1,1046.5
P35,ma-ma.09.rtf,ma-ma,2,1,1081.5
P36,ma-ma.09.rtf,ma-ma,2,1,420.6
P37,ma-ma.09.rtf,ma-ma,2,1,2049.2
P01,ma-ma.10.rtf,ma-ma,2,1,2623.1
P02,ma-ma.10.rtf,ma-ma,2,1,1437.8
P03,ma-ma.10.rtf,ma-ma,2,1,1168.5
P04,ma-ma.10.rtf,ma-ma,2,1,699.3
P05,ma-ma.10.rtf,ma-ma,2,1,1012.2
P06,ma-ma.10.rtf,ma-ma,2,1,2131.5
P07,ma-ma.10.rtf,ma-ma,2,1,2368.5
P08,ma-ma.10.rtf,ma-ma,2,1,2420.1
P09,ma-ma.10.rtf,ma-ma,2,1,665.3
P10,ma-ma.10.rtf,ma-ma,2,1,689.7
P11,ma-ma.10.rtf,ma-ma,2,1,1124.7
P12,ma-ma.10.rtf,ma-ma,2,1,1168.8
P13,ma-ma.10.rtf,ma-ma,2,1,738.5
P15,ma-ma.10.rtf,ma-ma,2,1,2097.8
P16,ma-ma.10.rtf,ma-ma,2,1,919.6
P17,ma-ma.10.rtf,ma-ma,2,1,504.4
P18,ma-ma.10.rtf,ma-ma,2,1,1242.1
P19,ma-ma.10.rtf,ma-ma,2,1,2733.3
P20,ma-ma.10.rtf,ma-ma,2,1,1858.1
P21,ma-ma.10.rtf,ma-ma,2,1,3350.4
P22,ma-ma.10.rtf,ma-ma,2,1,1308.7
P23,ma-ma.10.rtf,ma-ma,2,1,2305.4
P24,ma-ma.10.rtf,ma-ma,2,1,1928.1
P25,ma-ma.10.rtf,ma-ma,2,1,2582.7
P26,ma-ma.10.rtf,ma-ma,2,1,1177.8
P27,ma-ma.10.rtf,ma-ma,2,1,2322.7
P28,ma-ma.10.rtf,ma-ma,2,1,2489.6
P29,ma-ma.10.rtf,ma-ma,2,1,2029.8
P30,ma-ma.10.rtf,ma-ma,2,1,2728.1
P31,ma-ma.10.rtf,ma-ma,2,1,1760.3
P32,ma-ma.10.rtf,ma-ma,2,1,2318.6
P33,ma-ma.10.rtf,ma-ma,2,1,1750.6
P34,ma-ma.10.rtf,ma-ma,2,1,968.3
P35,ma-ma.10.rtf,ma-ma,2,1,1222.5
P36,ma-ma.10.rtf,ma-ma,2,1,914.5
P37,ma-ma.10.rtf,ma-ma,2,1,2004.9
P01,ma-ma.11.rtf,ma-ma,2,1,3186
P02,ma-ma.11.rtf,ma-ma,2,1,1168.7
P03,ma-ma.11.rtf,ma-ma,2,1,728.5
P04,ma-ma.11.rtf,ma-ma,2,1,1353.8
P05,ma-ma.11.rtf,ma-ma,2,1,811.9
P07,ma-ma.11.rtf,ma-ma,2,1,1232.5
P08,ma-ma.11.rtf,ma-ma,2,1,1676.8
P09,ma-ma.11.rtf,ma-ma,2,1,454.8
P10,ma-ma.11.rtf,ma-ma,2,1,1261.8
P11,ma-ma.11.rtf,ma-ma,2,1,1428
P12,ma-ma.11.rtf,ma-ma,2,1,1614
P13,ma-ma.11.rtf,ma-ma,2,1,1907.1
P15,ma-ma.11.rtf,ma-ma,2,1,2342.1
P16,ma-ma.11.rtf,ma-ma,2,1,934
P17,ma-ma.11.rtf,ma-ma,2,1,3085.6
P18,ma-ma.11.rtf,ma-ma,2,1,1344.6
P20,ma-ma.11.rtf,ma-ma,2,1,2366.8
P21,ma-ma.11.rtf,ma-ma,2,1,3134.6
P22,ma-ma.11.rtf,ma-ma,2,1,1233.2
P23,ma-ma.11.rtf,ma-ma,2,1,2002.7
P24,ma-ma.11.rtf,ma-ma,2,1,1188
P25,ma-ma.11.rtf,ma-ma,2,1,915.7
P26,ma-ma.11.rtf,ma-ma,2,1,1163.8
P27,ma-ma.11.rtf,ma-ma,2,1,1119.6
P28,ma-ma.11.rtf,ma-ma,2,1,1212.6
P29,ma-ma.11.rtf,ma-ma,2,1,1433.3
P30,ma-ma.11.rtf,ma-ma,2,1,1354.5
P31,ma-ma.11.rtf,ma-ma,2,1,1706.7
P32,ma-ma.11.rtf,ma-ma,2,1,1662.5
P33,ma-ma.11.rtf,ma-ma,2,1,743.8
P34,ma-ma.11.rtf,ma-ma,2,1,1124.2
P35,ma-ma.11.rtf,ma-ma,2,1,234.7
P36,ma-ma.11.rtf,ma-ma,2,1,875.1
