subjects,items,condition,parallel,semantic,RT
P19,ma-ma.01.rtf,ma-ma,2,1,259
P34,ma-ma.01.rtf,ma-ma,2,1,254
P04,ma-ma.01.rtf,ma-ma,2,1,235
P25,ma-ma.01.rtf,ma-ma,2,1,231
P29,ma-ma.01.rtf,ma-ma,2,1,230
P22,ma-ma.01.rtf,ma-ma,2,1,226
P19,ma-ma.01.rtf,ma-ma,2,1,225
P31,ma-ma.01.rtf,ma-ma,2,1,220
P17,ma-ma.01.rtf,ma-ma,2,1,220
P14,ma-ma.01.rtf,ma-ma,2,1,215
P13,ma-ma.01.rtf,ma-ma,2,1,210
P13,ma-ma.01.rtf,ma-ma,2,1,210
P22,ma-ma.01.rtf,ma-ma,2,1,206
P30,ma-ma.01.rtf,ma-ma,2,1,195
P21,ma-ma.01.rtf,ma-ma,2,1,195
P01,ma-ma.01.rtf,ma-ma,2,1,191
P17,ma-ma.01.rtf,ma-ma,2,1,185
P37,ma-ma.01.rtf,ma-ma,2,1,185
P22,ma-ma.01.rtf,ma-ma,2,1,181
P23,ma-ma.01.rtf,ma-ma,2,1,181
P02,ma-ma.01.rtf,ma-ma,2,1,176
P28,ma-ma.01.rtf,ma-ma,2,1,176
P32,ma-ma.01.rtf,ma-ma,2,1,171
P03,ma-ma.01.rtf,ma-ma,2,1,166
P18,ma-ma.01.rtf,ma-ma,2,1,161
P18,ma-ma.01.rtf,ma-ma,2,1,161
P08,ma-ma.01.rtf,ma-ma,2,1,156
P22,ma-ma.01.rtf,ma-ma,2,1,151
P22,ma-ma.01.rtf,ma-ma,2,1,151
P24,ma-ma.01.rtf,ma-ma,2,1,151
P10,ma-ma.01.rtf,ma-ma,2,1,151
P29,ma-ma.01.rtf,ma-ma,2,1,146
P20,ma-ma.01.rtf,ma-ma,2,1,146
P25,ma-ma.01.rtf,ma-ma,2,1,140
P26,ma-ma.01.rtf,ma-ma,2,1,135
P03,ma-ma.01.rtf,ma-ma,2,1,132
P17,ma-ma.01.rtf,ma-ma,2,1,132
P35,ma-ma.01.rtf,ma-ma,2,1,132
P27,ma-ma.01.rtf,ma-ma,2,1,132
P16,ma-ma.01.rtf,ma-ma,2,1,122
P15,ma-ma.01.rtf,ma-ma,2,1,117
P23,ma-ma.01.rtf,ma-ma,2,1,115
P16,ma-ma.01.rtf,ma-ma,2,1,107
P31,ma-ma.01.rtf,ma-ma,2,1,98
P12,ma-ma.01.rtf,ma-ma,2,1,97
P02,ma-ma.01.rtf,ma-ma,2,1,92
P37,ma-ma.01.rtf,ma-ma,2,1,83
P19,ma-ma.01.rtf,ma-ma,2,1,73
P35,ma-ma.01.rtf,ma-ma,2,1,68
P26,ma-ma.01.rtf,ma-ma,2,1,65
P26,ma-ma.01.rtf,ma-ma,2,1,65
P01,ma-ma.01.rtf,ma-ma,2,1,60
P16,ma-ma.01.rtf,ma-ma,2,1,53
P08,ma-ma.01.rtf,ma-ma,2,1,53
P16,ma-ma.01.rtf,ma-ma,2,1,53
P02,ma-ma.01.rtf,ma-ma,2,1,0
P03,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,0
P05,ma-ma.01.rtf,ma-ma,2,1,0
